iso3_o	iso3_d	emp	pi	txc	revt	t_at
ARG	ARG	159354.0	11306557354.446901	726257990.825	60260525369.63	95458452741.145
ARG	AUS	1.0	6242739.331	0.0	6582965.292	429644.666
ARG	BOL	154.0	1628878.592	1106430.583	118091525.107	76601774.858
ARG	BRA	5868.0	158624294.844	20175099.716	933775420.164	892570977.454
ARG	CHL	2221.0	-1002866699.538	-164426.636	1943391667.461	2179786237.198
ARG	CHN	8.0	46990.22	0.0	2014.26	2750.569
ARG	COL	63.0	327361.771	18434.211	27170699.36	30626556.935
ARG	CYM	1.0	886183.2080999999	0.0	1320.982	0.0
ARG	ECU	70.0	24264986.166	690530.548	160572542.639	8537026.565
ARG	ESP	77.0	104562590.896	4667446.124	140627736.558	129158405.548
ARG	FJT	31819.0	-129390514.758	223751598.257	31326358215.007	29649765570.804
ARG	MEX	1082.0	8633761.7	477138.478	135197516.714	51194705.654
ARG	NLD	0.0	15728047.905600002	967.141	0.0	81614.438
ARG	OAF	15.0	148858.00705	87770.377	7922826.885	7108936.771
ARG	OAM	14.0	28223423.141749997	21.479	6621204.161	12333618.421
ARG	OAS	19990.0	49292240.64215	194549633.606	18793795371.764	16651020209.886
ARG	OTE	20.0	20979086.453099996	0.0	39072656.828	123549.822
ARG	PAN	1.0	-1943847.795	0.0	119310.1	5876762.411
ARG	PER	351.0	10202103.485	72011.771	48249108.001	27368498.898
ARG	PRY	651.0	85264347.653	-4673276.351	359445599.751	2110428844.808
ARG	URY	1042.0	476130693.385	1355268.67	8111035372.048	5004559974.218
ARG	USA	189.0	-122088143.208	5387950.605	494648758.499	2461955133.748
ARG	VEN	0.0	-641126.387	0.0	32894.381	347.937
ARG	ZAF	1.0	-75079.765	597.937	1704.054	0.0
AUS	ARE	413.0	9169170.3	612811.0	128956813.0	45658577.0
AUS	ARG	1225.0	25646938.0	6791801.0	611761327.0	224404609.0
AUS	AUS	1184558.0	58131806729.75	22888649555.0	483138488185.0	422770810614.0
AUS	AUT	345.0	19038055.0	3808137.0	239538864.0	75184907.0
AUS	BEL	1569.0	135854603.0	36635053.0	1120726870.0	507702679.0
AUS	BGR	123.0	3292269.0	513749.0	22625901.0	3880904.0
AUS	BMU	25.0	328684095.0	137878.0	234733104.0	170336801.0
AUS	BRA	4932.0	-437410809.0	75196131.0	1415402634.0	1301570054.0
AUS	BWA	1.0	2011892.0	447793.0	3790512.0	655637.0
AUS	CAN	12964.0	465376680.0	105793139.0	3232711723.0	5956397570.0
AUS	CHE	3840.0	1838153247.3	155344230.0	924081127.0	2490381139.0
AUS	CHL	21626.0	3810420381.0	1041091122.0	10735472726.0	17370434904.0
AUS	CHN	18753.0	299033177.0	74308343.0	2006405422.0	1803747412.0
AUS	COL	2265.0	104668490.0	9003756.0	274170622.0	816244435.0
AUS	CRI	17.0	958051.0	228531.0	3030311.0	3182792.0
AUS	CYM	3.0	530896677.3	1856337.0	624072895.0	121022296.0
AUS	CZE	939.0	14769309.0	1324403.0	102221765.0	40596845.0
AUS	DEU	13097.0	1447530790.0	239558197.0	3407973908.0	3056382107.0
AUS	DNK	427.0	50589397.0	1547901.0	149634566.0	67317352.0
AUS	DOM	163.0	6782002.0	-831956.0	29097287.0	8033596.0
AUS	ECU	103.0	-14023472.0	5083631.0	112899186.0	46064589.0
AUS	EGY	73.0	-50863.0	158992.0	13133707.0	1146951.0
AUS	ESP	1503.0	75492518.0	20065437.0	925397511.0	226976747.0
AUS	FIN	334.0	-1103017.0	278057.0	86960763.0	33382699.0
AUS	FJI	2090.0	22463341.0	15710447.0	282786022.0	154573040.0
AUS	FJT	455262.0	31737826499.0	4727675014.0	179672645742.0	121473147900.0
AUS	FRA	24605.0	267896214.0	62060566.0	4434506928.0	1649913216.0
AUS	GBR	33592.0	5476771925.0	311614156.0	13301832637.0	10743619223.0
