iso3	year	resource_revenue	resource_taxes	total_taxes_revenue	cit_revenue	greenfieldfdi_outward	greenfieldfdi_inward	ip_payments	ip_receipts	fdi_inflows_wdi	external_debt_stocks	new_businesses_registered	imports	exports	gdp_pc	gdp_deflator	govt_exp_gdp	govt_exp_educ_gdp	physicians_per_1000	nurses_per_1000	health_exp_gdp	population	month_wage	who_gvt_health_expenditure	gdp	cthi_2021_rank	cthi_2021_share	cthi_2021_score	fsi_2022_rank	fsi_2022_score	region	region_tjn	eu28	oecd	g20	ukt	oecd_oct	physicians	nurses	resource_revenue_gdp	cit
ABW	2017.5		0.0	593780485.2567223		50000.0	21912500.0	12933585.088188378	867280.3679721991	116798779.12674546			2199972975.2139874	2127040731.6648035	28373.18598115277	102.01681895643837		177502952.22574633				105310.7	2196.767583088045		2999138318.427697	56.0	0.002126485232601	70.13456512076104	75.0	70.925	Americas	Caribbean/American isl.	0.0	0.0	0.0	0.0	1.0				0.25
AFG	2017.5			1518994132.5910182	224725656.96850684	8112500.0	54137500.0	3100610.5905567254	60295.319685150454	64663245.77895844	2774874106.5	2942.6666666666665			534.579299916538	106.6991362932783	765627280277.2827	614551480.8779949	0.26575000000000004	0.2927888888888889	2349952830.3802133	36191798.0	80.6129538443387	95046952.71065895	18506963857.46857						Asia	Asia	0.0	0.0	0.0	0.0	0.0	9617.970318500002	10596.556323311112		0.2
AGO	2017.5	13005364997.078562	11702588611.586067	17421860463.866627		103291250.0	4054488750.0000005	201151727.565	8958874.7667	-2392948929.718342	58072262853.62222		22719651114.888836	33111896268.876125	2826.8768618841223	1543.3813028973457	1664688640726.6338	2300371856.400099	0.2143	0.40750000000000003	2176342007.102637	30682958.9	295.39719722201056	1056650300.0317265	81220828534.365				33.0	79.45	Africa	Africa	0.0	0.0	0.0	0.0	0.0	6575.358092269999	12503.30575175	0.16012352042894903	0.300000011920929
AIA	2017.5		0.0	57501754.7137914	0.0																				302892455.5555556	39.0	0.0057597872833982	100.0	58.0	75.45	Americas	Caribbean/American isl.	0.0	0.0	0.0	1.0	1.0				0.0
ALA	2017.5																														Europe	Europe	0.0	0.0	0.0	0.0					
ALB	2017.5		0.0	2732795699.3088727	276014926.60750765	93097125.0	125097736.25	26659168.22431191	9429308.28750556	1128282348.6831038	9379266226.511112	2764.25	6250658112.026996	4079050765.6340246	4900.942728972081	108.01704347531799	346919552050.0908	501552416.2660248	1.5493999999999999	4.57657	940748325.9311465	2859620.5	434.15166666666664	390608101.3844651	14447381161.34434				123.0	54.45	Europe	Europe	0.0	0.0	0.0	0.0	0.0	4430.6960027000005	13087.253391685		0.15
AND	2017.5					14800000.0	33349226.25	373663.717110398							41495.38594964637	103.590202240656		95532157.90131097	3.3333	4.0128	228195423.71970573	74823.5	2981.1388615964556	134083583.91424736	3107720947.080245	62.0	0.0015139748201028	61.29441797701632	114.0	54.95	Europe	Europe	0.0	0.0	0.0	0.0	0.0	249.40917255	300.25174080000005		0.0
ANT	2017.5																								3847834800.0							Caribbean/American isl.	0.0	0.0	0.0	0.0	1.0				
ARE	2017.5	73637919085.18788		58327921371.0644	3577877132.495006	18710749612.500004	10122962617.500004			13128653772.133333		17205.0	272740166504.42474	378960074880.8715	43586.931792545685	101.86104691844398	1673937298414.2915	8595313503.975714	2.36865	5.22074	16098567010.779709	9093666.1	2763.8066152698098	9660374315.496151	396892684690.5736	10.0	0.0376033631656434	98.33333333333334	8.0	79.225	Asia	Asia	0.0	0.0	0.0	0.0	0.0	21539.712207765002	47475.666354914	0.18553609558865428	0.0
ARG	2017.5		0.0	123199733852.82227	14990893740.292297	683632321.25	5252498992.500001	1928371938.958768	229880036.17105454	7921552508.057508	216571551479.90002	5470.666666666667	74150950267.19019	74535504293.21788	11944.30821451297	2315.567063605271	12592992532622.453	27460741221.584396	4.02257	2.7988750000000002	50819216378.90732	44206705.1	690.6128571428571	32527369925.140022	520682339588.8197	68.0	0.0008184604914828	32.13101476340773	111.0	49.125	Americas	Latin America	0.0	0.0	1.0	0.0	0.0	177824.56573410702	123729.0417367625		0.300000011920929
