hq_iso3,market_iso3,n_groups,n_entities
AFG,AFG,1,1
AGO,AGO,1,1
ARE,ARE,51,652
ARE,AUS,2,38
ARE,AUT,1,1
ARE,BEL,1,2
ARE,BGD,1,13
ARE,BGR,1,1
ARE,BHR,9,19
ARE,BMU,1,1
ARE,BRA,1,2
ARE,BRB,1,2
ARE,CAN,3,3
ARE,CHE,2,2
ARE,CHN,3,5
ARE,COG,1,1
ARE,CUW,1,1
ARE,CYM,10,25
ARE,CYP,2,7
ARE,CZE,1,2
ARE,DEU,4,10
ARE,DJI,2,2
ARE,DZA,1,5
ARE,EGY,12,42
ARE,ESP,1,1
ARE,FRA,4,14
ARE,GBR,7,16
ARE,GEO,1,1
ARE,GRC,1,1
ARE,HKG,4,7
ARE,HUN,1,1
ARE,IDN,2,2
ARE,IND,8,307
ARE,IRL,1,3
ARE,IRN,2,4
ARE,IRQ,2,2
ARE,ISR,1,1
ARE,ITA,3,6
ARE,JOR,5,8
ARE,KEN,2,2
ARE,KWT,3,4
ARE,LBN,2,3
ARE,LBY,2,2
ARE,MAR,3,7
ARE,MDV,1,1
ARE,MLT,1,1
ARE,MUS,2,4
ARE,MYS,1,1
ARE,NGA,1,1
ARE,NLD,3,24
ARE,NPL,1,1
ARE,NZL,1,20
ARE,OMN,3,3
ARE,PAK,3,4
ARE,POL,1,1
ARE,PRT,1,1
ARE,PSE,1,3
ARE,QAT,4,4
ARE,ROU,1,3
ARE,RUS,1,1
ARE,SAU,11,23
ARE,SDN,2,2
ARE,SGP,2,4
ARE,SVK,1,1
ARE,SYR,3,6
ARE,THA,2,5
ARE,TUR,3,5
ARE,USA,6,169
ARE,VGB,7,9
ARE,YY,5,49
ARE,ZAF,1,23
ARG,ARG,40,125
ARG,BHS,1,1
ARG,BMU,1,4
ARG,BOL,2,3
ARG,BRA,4,12
ARG,CHL,3,3
ARG,CHN,1,1
ARG,ECU,1,1
ARG,ESP,1,1
ARG,GBR,1,1
ARG,HKG,1,1
ARG,ISR,1,113
ARG,NLD,1,1
ARG,PRY,3,4
ARG,URY,4,18
ARG,USA,3,32
ARG,YY,1,7
ATG,ATG,1,1
ATG,CHN,1,5
ATG,HKG,1,1
ATG,SGP,1,1
AUS,ABW,1,1
AUS,ALB,1,3
AUS,ARE,9,14
AUS,ARG,9,23
AUS,AUS,152,44386
AUS,AUT,7,12
AUS,BEL,19,77
AUS,BFA,3,5
AUS,BGD,4,6
AUS,BGR,4,6
AUS,BHR,1,1
AUS,BHS,2,2
AUS,BIH,1,1
AUS,BMU,16,45
AUS,BOL,3,3
AUS,BRA,30,259
AUS,BRB,2,3
AUS,BWA,6,11
AUS,CAN,40,462
AUS,CHE,13,77
AUS,CHL,14,47
AUS,CHN,43,181
AUS,CIV,4,7
AUS,CMR,1,1
AUS,COD,2,4
AUS,COL,10,16
AUS,CRI,2,2
AUS,CUW,2,3
AUS,CYM,12,84
AUS,CYP,2,4
AUS,CZE,11,24
AUS,DEU,26,423
AUS,DNK,12,95
AUS,DOM,1,1
AUS,ECU,5,14
AUS,EGY,3,7
AUS,ESP,18,205
AUS,ETH,1,1
AUS,FIN,9,11
AUS,FJI,9,18
AUS,FRA,28,498
AUS,GBR,69,1723
AUS,GEO,1,1
AUS,GHA,6,15
AUS,GIB,2,3
AUS,GIN,4,4
AUS,GRC,2,2
AUS,GTM,1,4
AUS,HKG,45,130
AUS,HND,1,1
AUS,HRV,2,2
AUS,HUN,6,12
AUS,IDN,23,53
AUS,IND,25,63
AUS,IRL,20,124
AUS,ISR,3,4
AUS,ITA,17,79
AUS,JAM,1,1
AUS,JOR,1,1
AUS,JPN,18,37
AUS,KAZ,2,3
AUS,KGZ,1,1
AUS,KHM,1,1
AUS,KIR,1,1
AUS,KOR,10,28
AUS,LAO,1,1
AUS,LBR,3,4
AUS,LBY,1,1
AUS,LCA,1,1
AUS,LKA,2,5
AUS,LSO,1,1
AUS,LTU,1,1
AUS,LUX,12,284
AUS,MAC,4,6
AUS,MAR,2,3
AUS,MDG,1,2
AUS,MEX,19,71
AUS,MLI,3,9
AUS,MLT,5,8
AUS,MNG,5,6
AUS,MOZ,3,3
AUS,MRT,3,3
AUS,MUS,5,11
AUS,MYS,21,59
AUS,NAM,6,9
AUS,NLD,30,222
AUS,NOR,13,45
AUS,NPL,1,1
AUS,NZL,80,540
AUS,OMN,2,2
AUS,PAK,1,1
AUS,PAN,6,10
AUS,PER,7,10
AUS,PHL,15,33
AUS,PNG,17,69
AUS,POL,9,13
AUS,PRT,8,15
AUS,PRY,1,1
AUS,QAT,2,2
AUS,ROU,6,19
AUS,RUS,7,18
AUS,SAU,5,6
AUS,SEN,2,3
AUS,SGP,66,272
AUS,SLB,3,3
AUS,SLE,1,2
AUS,SRB,2,2
AUS,SVK,6,8
AUS,SVN,1,4
AUS,SWE,15,239
AUS,SWZ,1,1
AUS,THA,15,29
AUS,TLS,1,1
AUS,TON,1,1
AUS,TTO,1,3
AUS,TUR,8,21
AUS,TWN,11,22
AUS,TZA,6,8
AUS,UKR,4,5
AUS,URY,2,3
AUS,USA,80,5546
AUS,VEN,3,3
AUS,VGB,12,44
AUS,VNM,12,18
AUS,VUT,6,9
AUS,WSM,3,5
AUS,YY,37,187
AUS,ZAF,21,144
AUS,ZMB,5,6
AUS,ZWE,1,1
AUT,AGO,1,1
AUT,ALB,5,14
AUT,ARE,10,25
AUT,ARG,5,5
AUT,AUS,12,107
AUT,AUT,144,5004
AUT,AZE,1,1
AUT,BEL,20,132
AUT,BGR,19,128
AUT,BIH,9,28
AUT,BLR,3,9
AUT,BRA,18,186
AUT,BRN,1,1
AUT,CAN,10,119
AUT,CHE,19,118
AUT,CHL,7,18
AUT,CHN,13,109
AUT,CIV,1,1
AUT,COD,1,1
AUT,COL,7,7
AUT,CRI,1,1
AUT,CYM,3,4
AUT,CYP,5,42
AUT,CZE,29,748
AUT,DEU,36,1759
AUT,DNK,11,42
AUT,ECU,4,5
AUT,EGY,2,2
AUT,ESP,20,72
AUT,EST,6,20
AUT,FIN,14,65
AUT,FRA,23,148
AUT,GBR,23,199
AUT,GIB,1,1
AUT,GRC,6,8
AUT,HKG,13,23
AUT,HRV,22,90
AUT,HUN,19,1193
AUT,IDN,5,8
AUT,IND,11,27
AUT,IRL,9,17
AUT,IRN,3,3
AUT,ISL,1,1
AUT,ISR,1,1
AUT,ITA,26,402
AUT,JPN,6,8
AUT,KAZ,1,4
AUT,KEN,2,2
AUT,KOR,7,13
AUT,KV,3,109
AUT,LBN,3,3
AUT,LBY,1,2
AUT,LIE,3,4
AUT,LKA,2,3
AUT,LTU,4,7
AUT,LUX,6,19
AUT,LVA,8,11
AUT,MAR,1,1
AUT,MDA,5,37
AUT,MEX,7,22
AUT,MKD,5,11
AUT,MLT,3,15
AUT,MNE,6,12
AUT,MUS,1,1
AUT,MYS,9,19
AUT,NAM,1,1
AUT,NLD,15,111
AUT,NOR,13,39
AUT,NPL,1,1
AUT,NZL,4,11
AUT,OMN,2,2
AUT,PAK,4,5
AUT,PAN,1,1
AUT,PER,3,3
AUT,PHL,3,4
AUT,POL,25,163
AUT,PRT,7,13
AUT,QAT,1,1
AUT,ROU,25,368
AUT,RUS,19,104
AUT,SAU,6,9
AUT,SGP,14,26
AUT,SMR,1,1
AUT,SRB,22,187
AUT,SVK,27,425
AUT,SVN,21,39
AUT,SWE,17,92
AUT,THA,8,11
AUT,TUN,2,3
AUT,TUR,18,50
AUT,TWN,4,10
AUT,UKR,16,73
AUT,URY,2,5
AUT,USA,21,1553
AUT,UZB,1,1
AUT,VEN,1,2
AUT,VGB,1,2
AUT,VNM,4,4
AUT,YEM,1,1
AUT,YY,4,7
AUT,ZAF,8,23
BEL,AGO,2,3
BEL,ALB,3,6
BEL,ARE,12,45
BEL,ARG,12,28
BEL,AUS,21,323
BEL,AUT,18,117
BEL,AZE,1,2
BEL,BDI,1,1
BEL,BEL,121,5920
BEL,BEN,1,3
BEL,BFA,1,3
BEL,BGR,10,318
BEL,BHR,3,5
BEL,BIH,2,2
BEL,BLR,2,2
BEL,BMU,1,9
BEL,BOL,1,2
BEL,BRA,25,783
BEL,CAN,19,295
BEL,CHE,24,57
BEL,CHL,16,56
BEL,CHN,24,262
BEL,CIV,6,8
BEL,CMR,3,5
BEL,COD,2,7
BEL,COG,1,2
BEL,COL,13,37
BEL,CRI,5,8
BEL,CUB,1,1
BEL,CUW,2,2
BEL,CYM,2,7
BEL,CYP,7,28
BEL,CZE,22,111
BEL,DEU,43,634
BEL,DNK,22,71
BEL,DOM,3,6
BEL,DZA,5,22
BEL,ECU,7,14
BEL,EGY,5,17
BEL,ESP,37,491
BEL,EST,3,3
BEL,ETH,2,2
BEL,FIN,18,57
BEL,FRA,48,1434
BEL,GAB,1,1
BEL,GBR,40,906
BEL,GEO,2,2
BEL,GHA,3,6
BEL,GIN,1,2
BEL,GNQ,1,1
BEL,GRC,13,237
BEL,GTM,5,7
BEL,HKG,23,85
BEL,HND,3,12
BEL,HRV,6,9
BEL,HUN,13,241
BEL,IDN,9,18
BEL,IND,21,56
BEL,IRL,15,60
BEL,IRN,2,2
BEL,ISL,1,1
BEL,ISR,2,2
BEL,ITA,33,496
BEL,JAM,3,3
BEL,JOR,1,1
BEL,JPN,12,27
BEL,KAZ,5,5
BEL,KEN,4,5
BEL,KHM,1,1
BEL,KOR,13,38
BEL,KP,1,1
BEL,KV,2,6
BEL,LAO,1,1
