year,hq_iso3,commodity,revenue_usd,share
2016,CHN,oil_gas,270376493733,0.080613
2016,GBR,oil_gas,245422057591,0.073173
2016,USA,oil_gas,785069432771,0.234070
2016,SAU,oil_gas,128892228056,0.038429
2016,FRA,oil_gas,78883874229,0.023519
2016,NOR,oil_gas,115422272977,0.034413
2016,BRA,oil_gas,131065317092,0.039077
2016,RUS,oil_gas,163916080512,0.048872
2016,ITA,oil_gas,64833228778,0.019330
2016,JPN,oil_gas,128094191316,0.038192
2016,MEX,oil_gas,51138626785,0.015247
2016,THA,oil_gas,45121749944,0.013453
2016,EGY,oil_gas,46449151360,0.013849
2016,IDN,oil_gas,30292713790,0.009032
2016,MYS,oil_gas,37974970828,0.011322
2016,ESP,oil_gas,27634222726,0.008239
2016,CAN,oil_gas,199188136594,0.059388
2016,NLD,oil_gas,58937913838,0.017572
2016,CUW,oil_gas,28871618408,0.008608
2016,TWN,oil_gas,42388174055,0.012638
2016,KOR,oil_gas,72139599698,0.021509
2016,AUT,oil_gas,22631780389,0.006748
2016,PAN,oil_gas,21802910648,0.006501
2016,POL,oil_gas,5589106719,0.001666
2016,ARE,oil_gas,36496465695,0.010881
2016,CHL,oil_gas,18171244244,0.005418
2016,CYP,oil_gas,20655483801,0.006158
2016,IRL,oil_gas,22494259497,0.006707
2016,PRT,oil_gas,14601129159,0.004353
2016,CHE,oil_gas,28548876177,0.008512
2016,ARG,oil_gas,16773167220,0.005001
2016,KWT,oil_gas,18932427401,0.005645
2016,AUS,oil_gas,45473087576,0.013558
2016,FIN,oil_gas,21675036888,0.006462
2016,HUN,oil_gas,14167299280,0.004224
2016,ZAF,oil_gas,12253646333,0.003653
2016,IND,oil_gas,29032914180,0.008656
2016,DEU,oil_gas,41758745842,0.012450
2016,GRC,oil_gas,18026487267,0.005375
2016,PHL,oil_gas,11372199626,0.003391
2016,UKR,oil_gas,10981823028,0.003274
2016,LBY,oil_gas,5678085422,0.001693
2016,KAZ,oil_gas,6020477656,0.001795
2016,VNM,oil_gas,15052248436,0.004488
2016,VGB,oil_gas,9421623911,0.002809
2016,BMU,oil_gas,16964821377,0.005058
2016,SVN,oil_gas,4068943414,0.001213
2016,QAT,oil_gas,3818710077,0.001139
2016,HKG,oil_gas,5780098472,0.001723
2016,CYM,oil_gas,10213550876,0.003045
2016,NZL,oil_gas,3770015608,0.001124
2016,LUX,oil_gas,4659088917,0.001389
2016,DNK,oil_gas,2893140421,0.000863
2016,JOR,oil_gas,2499036652,0.000745
2016,PAK,oil_gas,7124985564,0.002124
2016,HRV,oil_gas,2221173196,0.000662
2016,NGA,oil_gas,3469100823,0.001034
2016,CRI,oil_gas,2125645560,0.000634
2016,SGP,oil_gas,7603209421,0.002267
2016,PER,oil_gas,3010441500,0.000898
2016,SWE,oil_gas,4962853805,0.001480
2016,CZE,oil_gas,3865342058,0.001152
2016,MLT,oil_gas,3683232379,0.001098
2016,BGD,oil_gas,1919465882,0.000572
2016,LBR,oil_gas,1368050464,0.000408
2016,TUR,oil_gas,6715034816,0.002002
2016,MAR,oil_gas,2926339885,0.000872
2016,OMN,oil_gas,2390488960,0.000713
2016,IRN,oil_gas,2155441151,0.000643
2016,BEL,oil_gas,7100846075,0.002117
2016,ISR,oil_gas,2325777680,0.000693
2016,ROU,oil_gas,1494249682,0.000446
2016,COL,oil_gas,3167311237,0.000944
2016,BGR,oil_gas,2223918589,0.000663
2016,SVK,oil_gas,869206910,0.000259
2016,SYC,oil_gas,480000000,0.000143
2016,BHS,oil_gas,747154009,0.000223
2016,HND,oil_gas,405360704,0.000121
2016,LTU,oil_gas,448513772,0.000134
2016,SRB,oil_gas,627885711,0.000187
2016,MH,oil_gas,294112000,0.000088
2016,BOL,oil_gas,287115045,0.000086
2016,MKD,oil_gas,328128630,0.000098
2016,ISL,oil_gas,275171990,0.000082
2016,DZA,oil_gas,267422598,0.000080
2016,LI,oil_gas,323376007,0.000096
2016,BIH,oil_gas,383686374,0.000114
2016,BLR,oil_gas,201164985,0.000060
2016,CIV,oil_gas,150082504,0.000045
2016,MNG,oil_gas,302040217,0.000090
2016,EST,oil_gas,197676670,0.000059
2016,ALB,oil_gas,124546434,0.000037
2016,AZE,oil_gas,124516303,0.000037
2016,ECU,oil_gas,124234000,0.000037
2016,LVA,oil_gas,122105612,0.000036
2016,LKA,oil_gas,121546864,0.000036
2016,LAO,oil_gas,112701421,0.000034
2016,WS,oil_gas,103892836,0.000031
2016,MDA,oil_gas,93911368,0.000028
2016,KV,oil_gas,155595886,0.000046
2016,MOZ,oil_gas,70813000,0.000021
2016,IRQ,oil_gas,12353467,0.000004
2016,GBR,minerals,167596071122,0.221112
2016,JPN,minerals,17172826358,0.022656
2016,LUX,minerals,2898861843,0.003825
2016,AUS,minerals,50695399101,0.066883
2016,CHN,minerals,76103060418,0.100404
2016,IRL,minerals,29146103929,0.038453
2016,CHE,minerals,26969993594,0.035582
