Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Population total,SP.POP.TOTL,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17152234636.8715,..
Albania,ALB,Population total,SP.POP.TOTL,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972,2714617
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,11988668784.6628,13258268435.6048,15379508329.7568,15585111614.0376,15241455556.3737,18032009220.4405,19017244116.7203,23547180412.3404,27177735527.5667
Algeria,DZA,Population total,SP.POP.TOTL,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219,46814308
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,180763839522.151,189880896903.073,194554483655.528,193459662090.677,164873415325.201,186231205262.082,225638456572.143,247626161016.414,263619794506.723
American Samoa,ASM,Population total,SP.POP.TOTL,52245,51586,50908,50209,49761,49225,48342,47521,46765
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,671000000,612000000,639000000,647000000,721000000,750000000,871000000,..,..
Andorra,AND,Population total,SP.POP.TOTL,72181,73763,75162,76474,77380,78364,79705,80856,81938
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2896610479.73077,3000162081.11976,3218419896.9641,3155149347.80639,2891001149.3611,3324647529.381,3380612573.32922,3785067331.7625,4039844390.22543
Angola,AGO,Population total,SP.POP.TOTL,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,52761617225.9253,73690154990.7312,79450688259.3664,70897962732.0277,48501561203.5686,66505129987.7235,104399746853.401,84875162197.0107,80396942241.6233
Antigua and Barbuda,ATG,Population total,SP.POP.TOTL,89969,90468,90926,91364,91846,92349,92840,93316,93772
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1489603703.7037,1534855555.55556,1661529629.62963,1726448148.14815,1411637037.03704,1602125925.92593,1866566666.66667,2005785185.18518,2224814814.81481
Argentina,ARG,Population total,SP.POP.TOTL,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,45696159
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,486564085480.036,632790070063.124,646075277525.125,633266692533.689
Armenia,ARM,Population total,SP.POP.TOTL,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2964300,3033500
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,24085749592.3359,25786585949.6346
Aruba,ABW,Population total,SP.POP.TOTL,108727,108735,108908,109203,108587,107700,107310,107359,107624
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2983635195.53073,3092429050.27933,3276184357.5419,3395798882.68156,2481857122.8401,2929446578.25104,3279343543.60416,3648573136.15155,..
Australia,AUS,Population total,SP.POP.TOTL,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26652777,27204809
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1206836962281.84,1325582658156.54,1427809041019.44,1392723834562.64,1328414058378.38,1556735770437.26,1690858246994.43,1728057316695.61,1752193307380.34
Austria,AUT,Population total,SP.POP.TOTL,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761,9178482
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,393687359770.273,414926138132.691,452582294972.775,442983642371.842,434397601557.696,480467037338.783,471773629830.381,511685203845.001,521642466921.745
Azerbaijan,AZE,Population total,SP.POP.TOTL,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958,10202850
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,37866996882.9157,40866627351.9817,47112470051.7701,48174235294.1176,42693000000,54825411764.7059,78807470588.2353,72428470588.2353,74315882352.9412
Bahamas, BHS,Population total,SP.POP.TOTL,388055,390485,392717,394675,395863,396373,397538,399440,401283
Bahamas, BHS,GDP (current US$),NY.GDP.MKTP.CD,11880900000,12446900000,12819200000,13277000000,10363200000,12037000000,13896800000,15271300000,15832800000
Bahrain,BHR,Population total,SP.POP.TOTL,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059,1588670
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,33884680851.0638,37204813829.7872,39567978723.4043,40446808510.6383,35837632978.7234,40840212765.9574,46458191489.3617,46192260638.2979,47736702127.6596
Bangladesh,BGD,Population total,SP.POP.TOTL,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,173562364
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,265224515675.034,293732446624.596,321362752441.78,351231654603.692,373979442362.193,416271647911.014,460131689083.083,437415333018.291,450119424622.389
Barbados,BRB,Population total,SP.POP.TOTL,279598,280171,280711,281207,281698,282147,282318,282336,282467
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,5330761500,5517340450,5629916200,5788288000,5168344450,5275242050,6257303500,6720733200,7165000000
Belarus,BLR,Population total,SP.POP.TOTL,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298,9133712
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,47723545321.259,54725405751.1559,60031026576.26,64410170653.4569,61371673344.7424,69673747131.87,73775179924.603,72478760370.4258,75961865471.9129
Belgium,BEL,Population total,SP.POP.TOTL,11331422,11375158,11427054,11488980,11538604,11586195,11680210,11787423,11876844
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,474271566739.729,500908767351.53,542638913427.921,536726344405.489,529694473501.791,598522422241.851,593614574325.878,644655275111.58,664564181486.953
Belize,BLZ,Population total,SP.POP.TOTL,364705,373202,380226,385829,390812,395346,402733,411106,417072
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2240200000,2266300000,2293250000,2388300000,2042850000,2420550000,2846700000,3066850000,3515783328.91079
Benin,BEN,Population total,SP.POP.TOTL,11697842,12039780,12383347,12726755,13070169,13413417,13759501,14111034,14462724
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,11821065853.3838,12701655836.9467,14262408089.9261,14391686313.4641,15686741893.5187,17687623534.6665,17425405083.8797,19673290995.8491,21482643720.2743
Bermuda,BMU,Population total,SP.POP.TOTL,63449,63578,63831,64107,64382,64648,64749,64698,64636
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,6899911000,7142316000,7225977000,7423465000,6887364000,7290037000,7874381000,8579242000,8980200000
Bhutan,BTN,Population total,SP.POP.TOTL,747866,754335,759759,764824,770006,775442,780914,786385,791524
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2357504760.78592,2591358009.20276,2583335721.85904,2735683570.46155,2457604333.90927,2768802960.11204,2898227743.75576,3019253885.46989,..
Bolivia,BOL,Population total,SP.POP.TOTL,11180020,11344587,11508368,11671386,11816299,11937360,12077154,12244159,12413315
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,33941126193.9219,37508642170.767,40287647930.5355,40895322850.9407,36629843806.0781,40406111693.1983,44008282879.8842,45135398002.8944,49668296743.8495
Bosnia and Herzegovina,BIH,Population total,SP.POP.TOTL,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073,3164253
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,17116926327.6247,18326373366.1105,20484053868.9246,20482608755.379,20226036564.4129,23672712242.2149,24534663636.1778,27592361387.8597,28343394203.4694
Botswana,BWA,Population total,SP.POP.TOTL,2234776,2266747,2299141,2332083,2365894,2401441,2439892,2480244,2521139
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,15082637184.0496,16105155856.7708,17031943186.1353,16725908148.5481,14960251610.8975,18750182234.5317,20321150598.0672,19411266967.1044,19400774882.4495
Brazil,BRA,Population total,SP.POP.TOTL,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729,211998573
