iso3,year,corruption_index,government_effectiveness_index,political_stability_index,total_population,gdp,gdp_hand,pop_hand,incomeclass,ip_payments_wb,fdi_net_wdi_wb,current_account_balance_wb,ip_receipts_wb,pe_inflows_wb,fdi_inflows_wdi_wb,external_debt_stocks_wb,debt_service_on_external_debt_wb,govt_exp_gdp_wb,total_reserves_wb,number_of_new_businesses_registered_wb,imports_wb,exports_wb,gdp_wb,gdp_pc_wb,gdp_deflator_wb,gnp_wb,gnp_pc_wb,school_enroll_prim_wb,govt_exp_educ_gdp_wb,govt_exp_educ_govtexp_wb,under5_mortality_wb,physicians_per_1000_wb,nurses_per_1000_wb,health_exp_gdp_wb,health_exp_pc_wb,private_health_exp_pctofhealthexp_wb,private_health_exp_pc_wb,hospital_beds_per_1000_wb,pov_hr_190_wb,pov_hr_320_wb,pov_gap_320_wb,pov_gap_550_wb,gini_wb,incsh_first20_wb,incsh_second20_wb,incsh_third20_wb,incsh_fourth20_wb,incsh_fifth20_wb,incsh_first10_wb,pop_wb,cpi,inflation
ABW,1998,,,,84355.0,1665363128.49162,,,H,,-82178770.9497207,-18770949.7206704,,,113463687.150838,,,,222190000.0,,1392737430.1676,1326256983.24022,1665363128.49162,19742.3167386832,73.6622256573217,1659776536.31285,28640.0,,4.76390981674194,22.082389831543,,,,,,,,,,,,,,,,,,,,84355.0,67.6881693768789,1.8694885361554
ABW,1999,,,,86867.0,1722905027.93296,,,H,480446.927374302,-469329608.938547,-435513966.480447,0.0,-22346.3687150838,467541899.441341,,,,219910000.0,,1458100558.65922,1377094972.06704,1722905027.93296,19833.8267458639,75.2754730834044,1680223463.68715,27880.0,97.82877,4.39554023742676,19.2816600799561,,,,,,,,,,,,,,,,,,,,86867.0,69.2317114268757,2.28037198258756
ABW,2000,,,,89101.0,1873184357.5419,,,H,458100.558659218,130558659.217877,207145251.396648,0.0,0.0,-127932960.893855,,,,208010000.0,,1324022346.36872,1393854748.60335,1873184357.5419,21023.1575127316,76.0489907008392,1849162011.17318,30320.0,98.08635,4.71468019485474,21.807710647583,,,,,,,,,,,,,,,,,,,,89101.0,72.0314565915752,4.04402131190514
ABW,2001,,,,90691.0,1896648044.69274,,,H,1564245.81005587,263240223.463687,308759776.536313,0.0,0.0,-266927374.301676,,,,293710614.52514,,1316201117.31844,1346368715.0838,1896648044.69274,20913.2994971137,73.9007400957771,1839385474.86034,31210.0,94.53929,4.73986005783081,21.3231792449951,,,,,,,,,,,,,,,,,,,,90691.0,74.1085587734806,2.8836043031626
ABW,2002,,,,91781.0,1962011173.18436,,,H,3391061.45251397,-338659217.877095,-340251396.648045,0.0,0.0,332513966.480447,,,,339727932.960894,,1346927374.30168,1266480446.92737,1962011173.18436,21377.0951851076,77.1868131868132,1826312849.16201,29780.0,95.31814,4.92364978790283,19.7571506500244,,,,,,,,,,,,,,,,,,,,91781.0,76.5654403862613,3.31524678585428
ABW,2003,,,,92701.0,2044134078.21229,,,H,4217877.09497207,-163016759.776536,-165553072.625698,156424.581005587,0.0,159776536.312849,,,,295220700.0,,1432402234.63687,1282122905.02793,2044134078.21229,22050.8309318377,79.5261899587046,1990837988.82682,31810.0,93.9307,,,,,,,,,,,,,,,,,,,,,,92701.0,79.3649524114213,3.65636507938414
ABW,2004,85.2216720581055,88.059700012207,80.5825271606445,93540.0,2254748603.35196,,,H,4547486.03351955,97541899.4413408,270888268.156425,0.0,0.0,-105698324.022346,,,,295424000.0,,1527932960.89385,1458100558.65922,2254748603.35196,24104.6461765229,81.7666126418152,2180446927.3743,34480.0,94.63489,4.40848016738892,14.9029102325439,,,,,,,,,,,,,,,,,,,,93540.0,81.3721948111764,2.52912946932762
ABW,2005,88.2926864624023,88.2352905273438,96.1165084838867,94483.0,2359776536.31285,,,H,6771959.27880357,198934471.098667,104963491.341427,29713.2392925923,0.0,-207798005.868163,,,,273513400.0,,1816759776.53631,1606703910.61453,2359776536.31285,24975.6732567007,85.9060402684564,1880837988.82682,28900.0,97.80506,4.68132019042969,18.8882808685303,,,,,,,,,,,,,,,,,,,,94483.0,84.1370484876733,3.39778677828806
ABW,2006,88.2926864624023,87.8048782348633,96.1352691650391,95606.0,2469832402.23464,,,H,10347511.9994435,-233138804.458988,310555693.72256,71831.445994457,0.0,220316139.723839,,,,337819600.0,,1888268156.42458,1595530726.25698,2469832402.23464,25833.445623022,88.9000603257591,2363966480.44693,35760.0,98.6384,,,,,,,,,,,,,,,,,,,,,,95606.0,87.1727337163219,3.60802438784541
ABW,2007,88.3495178222656,87.3786392211914,96.6183547973633,96787.0,2677653631.28492,,,H,9832402.23463687,510558659.217877,258268156.424581,55865.9217877095,0.0,-471005586.592179,,,,372082100.0,,2005586592.17877,1741899441.34078,2677653631.28492,27665.4264651752,93.485469085235,2293016759.77654,33470.0,98.86144,4.81504011154175,20.7926406860352,,,,,,,,,,,,,,,,,,,,96787.0,91.8735825241023,5.39256784475512
ABW,2008,87.3786392211914,86.4077682495117,96.1538467407227,97996.0,2843016759.77654,,,H,11955307.2625698,-16089385.4748603,111731.843575411,55865.9217877095,0.0,18882681.5642458,,,,604898900.0,,2092178770.94972,1863128491.62011,2843016759.77654,29011.5592450359,97.4717487071442,2726368715.0838,38420.0,99.05832,4.9992299079895,19.028829574585,,,,,,,,,,,,,,,,,,,,97996.0,100.101768678965,8.9559870517779
ABW,2009,83.2535858154297,89.9521560668945,88.6255950927734,99212.0,2553631284.9162,,,H,13184357.5418994,12122905.027933,171675977.653631,0.0,0.0,-10614525.1396648,,,,578220110.0,,1906145251.39665,1606703910.61453,2553631284.9162,25739.1372506975,99.1325092170896,2464860335.19553,33950.0,95.89151,5.9247899055481,21.5635509490967,,,,,,,,,,,,,,,,,,,,99212.0,97.9641667608969,-2.13542872046934
ABW,2010,83.3333358764648,85.6459350585938,88.1516571044922,100341.0,2453631284.9162,,,H,14748603.3519553,-184022346.368715,-460111731.843575,0.0,0.0,186759776.536313,,,,568163690.0,,1846368715.0838,1477653631.28492,2453631284.9162,24452.9283634427,97.9264214046823,2313407821.22905,32270.0,98.91975,6.92926979064941,22.1767807006836,,,,,,,,,,,,,,,,,,,,100341.0,100.0,2.07814071860782
ABW,2011,82.9383850097656,85.3080596923828,93.8388595581055,101288.0,2637988826.81564,,,H,10558659.2178771,-485027932.960894,-260558659.217877,0.0,0.0,488156424.581006,,,,536675980.0,,2234078212.2905,1839664804.46927,2637988826.81564,26044.4359333351,101.855047454702,2391955307.26257,32440.0,,6.11913013458252,21.7505397796631,,,,,,,,,,,,,,,,,,,,101288.0,104.316297421952,4.31629742195207
ABW,2012,82.4644546508789,85.7819900512695,93.3649291992188,102112.0,2615083798.88268,,,H,9720670.39106145,317486033.519553,90837988.8268156,0.0,0.0,-314692737.430168,,,,602222300.0,,2184916201.11732,1911731843.57542,2615083798.88268,25609.9557239373,102.027027027027,2498994413.40782,33240.0,,6.54905986785889,20.6340808868408,,,,,,,,,,,,,,,,,,,,102112.0,104.970852972298,0.627471992893334
