Country,Region,Total 2021,Total 2022,Needs,Annual average,Pct need met,ID,Missing data
Algeria,Northern Africa,46.4270493,77.9631178,,62.1950836,,1.0,no
Angola,Central Africa,265.649185,564.068051,6908.97,414.858618,6.0,2.0,no
Benin,Western Africa,403.597688,703.509332,1072.66,553.55351,51.6,3.0,no
Botswana,Southern Africa,322.867496,10.9438327,1495.31,166.905664,11.2,4.0,no
Burkina Faso,Western Africa,1377.32056,650.973357,401.57,1014.14696,252.5,5.0,no
Burundi,Eastern Africa,194.511707,215.083173,391.0,204.79744,52.4,6.0,no
Cameroon,Western Africa,423.458305,1004.60084,7772.05,714.029573,9.2,7.0,no
Cape Verde,Central Africa,58.2901696,86.9311755,232.26,72.6106726,31.3,8.0,no
Central African Republic,Western Africa,94.2341943,137.569768,173.44,115.901981,66.8,9.0,no
Chad,Central Africa,268.611044,725.048712,1151.08,496.829878,43.2,10.0,no
Comoros,Central Africa,34.3819087,100.189501,166.19,67.2857048,40.5,11.0,no
Republic of the Congo,Eastern Africa,143.626005,70.7270835,799.64,107.176544,13.4,12.0,no
Ivory Coast,Central Africa,1106.32419,2294.10596,2000.0,1700.21507,85.0,13.0,no
Democratic Republic of the Congo,Central Africa,1038.07468,1664.07681,4788.33,1351.07575,28.2,14.0,no
Djibouti,Eastern Africa,78.9815359,115.780097,773.05,97.3808164,12.6,15.0,no
Egypt,Northern Africa,3519.06548,5321.39158,26240.0,4420.22853,16.8,16.0,no
Equatorial Guinea,Central Africa,0.56614054,1.08601831,96.9,0.82607943,0.9,17.0,no
Eritrea,Eastern Africa,24.0492314,22.1730687,1238.5,23.1111501,1.9,18.0,no
Eswatini,Southern Africa,20.3418329,11.1624837,147.27,15.7521583,10.7,19.0,no
Ethiopia,Eastern Africa,1593.73294,2164.57292,31025.45,1879.15293,6.1,20.0,no
Gabon,Central Africa,474.626355,169.445217,180.51,322.035786,178.4,21.0,no
Gambia,Western Africa,52.093243,114.618361,12.87,83.3558019,647.7,22.0,no
Ghana,Western Africa,656.869608,1210.77142,905.99,933.820515,103.1,23.0,no
Guinea,Western Africa,252.255213,326.460827,1701.22,289.35802,17.0,24.0,no
Guinea-Bissau,Western Africa,4.66913164,73.9519131,68.14,39.3105224,57.7,25.0,no
Kenya,Eastern Africa,1224.86699,2185.10792,6374.73,1704.98745,26.7,26.0,no
Lesotho,Southern Africa,60.289982,99.9845212,,80.1372516,,27.0,no
Liberia,Western Africa,121.019939,286.055914,48.17,203.537927,422.6,28.0,no
Libya,Northern Africa,16.5529164,34.5717391,,25.5623278,,29.0,no
Madagascar,Eastern Africa,745.66849,960.945693,2249.32,853.307091,37.9,30.0,no
Malawi,Eastern Africa,333.499573,684.047349,1770.31,508.773461,28.7,31.0,no
Mali,Western Africa,551.674871,513.885323,939.46,532.780097,56.7,32.0,no
Mauritania,Western Africa,97.4407943,870.795056,4525.62,484.117925,10.7,33.0,no
Mauritius,Eastern Africa,499.618243,57.5058035,638.18,278.562023,43.6,34.0,no
Morocco,Northern Africa,1832.28709,2107.39388,7448.37,1969.84048,26.4,35.0,no
Mozambique,Eastern Africa,1058.58941,1182.22994,614.47,1120.40968,182.3,36.0,no
Namibia,Southern Africa,132.604963,165.90018,1755.12,149.252572,8.5,37.0,no
Niger,Western Africa,1147.46917,878.879312,1070.07,1013.17424,94.7,38.0,no
Nigeria,Western Africa,2761.29691,2326.38532,19116.0,2543.84112,13.3,39.0,no
Rwanda,Eastern Africa,597.17403,1348.99814,1033.64,973.086086,94.1,40.0,no
Sao Tome and Principe,Central Africa,14.3508489,20.6562463,14.73,17.5035476,118.9,41.0,no
Senegal,Western Africa,894.266336,944.877346,1262.24,919.571841,72.9,42.0,no
Seychelles,Eastern Africa,0.12,,777.06,0.12,0.0,43.0,no
Sierra Leone,Western Africa,157.606803,327.299114,271.37,242.452958,89.3,44.0,no
Somalia,Eastern Africa,310.526949,561.973419,5445.16,436.250184,8.0,45.0,no
South Africa,Southern Africa,1950.00136,5010.49065,36182.27,3480.24601,9.6,46.0,no
South Sudan,Eastern Africa,169.085139,355.045229,1053.74,262.065184,24.9,47.0,no
Sudan,Eastern Africa,591.722813,336.796797,808.23,464.259805,57.4,48.0,no
Tanzania,Eastern Africa,1211.57079,2512.81624,1888.25,1862.19351,98.6,49.0,no
Togo,Western Africa,252.363014,252.82112,637.62,252.592067,39.6,50.0,no
Tunisia,Northern Africa,359.810005,1214.24458,1766.4,787.027292,44.6,51.0,no
Uganda,Eastern Africa,473.634452,1745.09861,2545.45,1109.36653,43.6,52.0,no
Zambia,Eastern Africa,89.3978645,505.69383,3436.36,297.545847,8.7,53.0,no
Zimbabwe,Eastern Africa,218.155975,622.852304,474.73,420.50414,88.6,54.0,no
