Total IMF Credit Outstanding				
"Movement From July 01, 2026 to July 16, 2026"				
				
Member	Total IMF Credit Outstanding as of 06/30/2026	Total Disbursements	Total Repayments	Total IMF Credit Outstanding as of 07/16/2026
"Afghanistan, Islamic Republic of"	"319,207,000"	0	0	"319,207,000"
Albania	"11,934,170"	0	0	"11,934,170"
Angola	"2,259,116,679"	0	"28,208,333"	"2,230,908,346"
Argentina	"42,552,000,000"	0	0	"42,552,000,000"
"Armenia, Republic of"	"36,062,674"	0	0	"36,062,674"
Bangladesh	"2,868,796,000"	0	0	"2,868,796,000"
Barbados	"389,545,860"	0	0	"389,545,860"
Benin	"789,458,800"	0	"3,183,400"	"786,275,400"
Bosnia and Herzegovina	"26,421,875"	0	0	"26,421,875"
Burkina Faso	"402,284,000"	0	"1,806,000"	"400,478,000"
Burundi	"100,100,000"	0	0	"100,100,000"
Cabo Verde	"79,520,000"	0	0	"79,520,000"
Cameroon	"1,139,190,000"	0	"17,940,000"	"1,121,250,000"
Central African Republic	"201,356,800"	0	"8,148,800"	"193,208,000"
Chad	"411,021,000"	0	"3,054,188"	"407,966,812"
Comoros	"25,818,900"	0	0	"25,818,900"
"Congo, Democratic Republic of"	"2,426,925,004"	0	0	"2,426,925,004"
"Congo, Republic of"	"346,680,000"	0	0	"346,680,000"
Costa Rica	"1,774,395,000"	0	0	"1,774,395,000"
Cote d'Ivoire	"4,143,977,044"	0	0	"4,143,977,044"
Djibouti	"25,440,000"	0	0	"25,440,000"
Dominica	"8,224,000"	0	0	"8,224,000"
Ecuador	"7,118,100,012"	0	0	"7,118,100,012"
Egypt	"6,861,634,192"	0	"74,623,333"	"6,787,010,859"
El Salvador	"172,320,000"	0	0	"172,320,000"
Equatorial Guinea	"22,990,335"	0	0	"22,990,335"
Ethiopia	"1,756,984,500"	"342,050,000"	"13,364,000"	"2,085,670,500"
Gabon	"331,752,500"	0	0	"331,752,500"
"Gambia, The"	"150,778,750"	"16,580,000"	"1,166,250"	"166,192,500"
Georgia	"289,750,001"	0	0	"289,750,001"
Ghana	"2,727,468,500"	0	0	"2,727,468,500"
Grenada	"13,720,000"	0	0	"13,720,000"
Guinea	"273,794,900"	0	"1,721,300"	"272,073,600"
Guinea-Bissau	"56,330,400"	0	"303,000"	"56,027,400"
Haiti	"150,491,250"	0	0	"150,491,250"
Honduras	"439,713,097"	"178,420,000"	0	"618,133,097"
Jamaica	"883,030,000"	0	0	"883,030,000"
Jordan	"1,729,341,086"	0	0	"1,729,341,086"
Kenya	"2,845,599,901"	0	0	"2,845,599,901"
Kosovo	"142,072,000"	0	0	"142,072,000"
Kyrgyz Republic	"54,019,800"	0	0	"54,019,800"
Lesotho	"10,494,000"	0	0	"10,494,000"
Liberia	"189,839,000"	0	0	"189,839,000"
Madagascar	"683,144,600"	0	"6,197,800"	"676,946,800"
Malawi	"250,023,000"	0	0	"250,023,000"
Maldives	"16,960,000"	0	0	"16,960,000"
Mali	"333,174,080"	0	0	"333,174,080"
Mauritania	"438,164,002"	0	0	"438,164,002"
"Moldova, Republic of"	"696,197,930"	0	"800,000"	"695,397,930"
Mongolia	"45,280,553"	0	0	"45,280,553"
Morocco	"937,500,000"	0	0	"937,500,000"
Myanmar	"163,647,000"	0	"8,613,000"	"155,034,000"
Nepal	"407,940,000"	0	0	"407,940,000"
Nicaragua	"38,997,000"	0	0	"38,997,000"
Niger	"462,322,800"	0	"3,384,000"	"458,938,800"
"North Macedonia, Republic of"	"182,395,000"	0	0	"182,395,000"
Pakistan	"8,148,350,008"	0	"59,666,666"	"8,088,683,342"
Papua New Guinea	"952,790,000"	0	0	"952,790,000"
Paraguay	"231,600,000"	0	0	"231,600,000"
Rwanda	"595,143,000"	0	0	"595,143,000"
St. Lucia	"17,120,000"	0	0	"17,120,000"
St. Vincent and the Grenadines	"17,532,450"	0	0	"17,532,450"
Samoa	"12,960,000"	0	0	"12,960,000"
Sao Tome & Principe	"30,014,410"	0	0	"30,014,410"
Senegal	"808,082,600"	0	"29,057,014"	"779,025,586"
"Serbia, Republic of"	"753,020,000"	0	0	"753,020,000"
Seychelles	"131,409,500"	0	"272,500"	"131,137,000"
Sierra Leone	"356,490,200"	0	"3,999,500"	"352,490,700"
Solomon Islands	"5,544,000"	0	0	"5,544,000"
Somalia	"116,300,000"	0	0	"116,300,000"
South Sudan	"245,581,925"	0	"3,271,925"	"242,310,000"
Sri Lanka	"2,200,541,180"	0	0	"2,200,541,180"
Sudan	"991,551,000"	0	0	"991,551,000"
Suriname	"427,416,667"	0	0	"427,416,667"
"Tajikistan, Republic of"	"111,360,000"	0	0	"111,360,000"
Tanzania	"1,335,730,000"	"326,490,000"	0	"1,662,220,000"
Togo	"287,240,000"	"80,740,000"	"2,517,000"	"365,463,000"
Tonga	"13,800,000"	0	0	"13,800,000"
Tunisia	"332,519,302"	0	"14,731,866"	"317,787,436"
Uganda	"920,550,000"	0	0	"920,550,000"
Ukraine	"10,562,265,007"	0	"125,737,500"	"10,436,527,507"
"Uzbekistan, Republic of"	"73,640,000"	0	0	"73,640,000"
Zambia	"1,271,660,000"	0	0	"1,271,660,000"
Total	"122,163,656,244"	"944,280,000"	"411,767,375"	"122,696,168,869"
