# Liabilities to the IMF - World Bank International Debt Statistics (IDS dimensional API,
# source=6, counterpart WLD), fetched 2026-07-17. Current US$ (not millions).
# imf_liab_incl_sdr_usd  = DT.DOD.DIMF.CD 'Use of IMF credit' - since the IDS 2022 revision
#                          this INCLUDES cumulative SDR allocations (BPM6 treatment).
# sdr_allocations_usd    = DT.DOD.DSDR.CD 'SDR allocations' (no repayment obligation).
# imf_credit_excl_sdr_usd = difference = credit outstanding from actual IMF lending -
#                          matches the IMF's 'Total IMF Credit Outstanding' concept
#                          (https://www.imf.org/external/np/fin/tad/balmov2.aspx?type=TOTAL).
# Verification: CHN/IND/BRA (no programs) net to ~0; ARG 2024 nets to $40.6bn (its EFF).
# WB aggregates dropped (pycountry filter). Refresh: delete file, re-run 9t.
iso3,country_name,year,imf_liab_incl_sdr_usd,sdr_allocations_usd,imf_credit_excl_sdr_usd
AFG,Afghanistan,2019,276923268.4,214772172.6,62151095.79999998
AFG,Afghanistan,2020,628740557.2,223693856.5,405046700.70000005
AFG,Afghanistan,2021,1185327218.0,651737665.7,533589552.29999995
AFG,Afghanistan,2022,1122111569.9,619723370.8,502388199.10000014
AFG,Afghanistan,2023,1127013175.2,624764537.0,502248638.20000005
AFG,Afghanistan,2024,1089028054.5,607285939.3,481742115.20000005
AGO,Angola,2019,1861295679.9,377523829.5,1483771850.4
AGO,Angola,2020,2992458754.3,393206253.6,2599252500.7000003
AGO,Angola,2021,5872361240.8,1374906402.2,4497454838.6
AGO,Angola,2022,5583902379.9,1307369015.0,4276533364.8999996
AGO,Angola,2023,5449429790.4,1318003864.0,4131425926.3999996
AGO,Angola,2024,5063751317.2,1281130997.7,3782620319.5
ALB,Albania,2019,447707759.2,64232248.3,383475510.9
ALB,Albania,2020,627019436.4,66900470.2,560118966.1999999
ALB,Albania,2021,733945608.9,251875105.8,482070503.09999996
ALB,Albania,2022,632366386.6,239502637.1,392863749.5
ALB,Albania,2023,524728311.9,241450881.5,283277430.4
ALB,Albania,2024,360122432.1,234695980.1,125426452.00000003
ARG,Argentina,2019,46924457621.2,2793362990.3,44131094630.899994
ARG,Argentina,2020,48873710059.5,2909399912.1,45964310147.4
ARG,Argentina,2021,48055342739.5,7102832358.0,40952510381.5
ARG,Argentina,2022,52289985533.7,6753930979.8,45536054553.899994
ARG,Argentina,2023,47612397026.8,6808871119.2,40803525907.600006
ARG,Argentina,2024,47176971069.0,6618384125.0,40558586944.0
ARM,Armenia,2019,374965602.2,121673440.2,253292162.0
ARM,Armenia,2020,645508162.7,126727782.1,518780380.6
ARM,Armenia,2021,734925324.6,295927321.9,438998002.70000005
ARM,Armenia,2022,757666658.2,281390944.7,476275713.50000006
ARM,Armenia,2023,669625942.5,283679931.3,385946011.2
ARM,Armenia,2024,483244478.3,275743617.6,207500860.7
AZE,Azerbaijan,2019,212368821.7,212368821.7,0.0
AZE,Azerbaijan,2020,221190669.9,221190669.9,0.0
AZE,Azerbaijan,2021,740389339.0,740389339.0,0.0
AZE,Azerbaijan,2022,704020345.9,704020345.9,0.0
AZE,Azerbaijan,2023,709747229.5,709747229.5,0.0
AZE,Azerbaijan,2024,689891130.8,689891130.8,0.0
BDI,Burundi,2019,149136356.3,102120286.5,47016069.80000001
BDI,Burundi,2020,132373634.4,106362385.9,26011248.5
BDI,Burundi,2021,399936738.4,309942854.6,89993883.79999995
BDI,Burundi,2022,376431821.6,294718014.2,81713807.40000004
BDI,Burundi,2023,435441543.4,297115410.4,138326133.0
BDI,Burundi,2024,419999165.3,288803221.7,131195943.60000002
BEN,Benin,2019,266700038.9,81817641.3,184882397.60000002
BEN,Benin,2020,562509811.8,85216364.3,477293447.49999994
BEN,Benin,2021,699330854.2,248881374.6,450449479.6
BEN,Benin,2022,944060643.8,236655962.2,707404681.5999999
BEN,Benin,2023,1141974132.6,238581050.3,903393082.3
BEN,Benin,2024,1182098926.5,231906436.2,950192490.3
BFA,Burkina Faso,2019,309646453.0,79628628.4,230017824.6
BFA,Burkina Faso,2020,466379093.0,82936419.3,383442673.7
BFA,Burkina Faso,2021,586009940.0,242104541.3,343905398.7
BFA,Burkina Faso,2022,534010377.9,230212016.7,303798361.2
BFA,Burkina Faso,2023,632346311.8,232084686.2,400261625.59999996
BFA,Burkina Faso,2024,656217070.6,225591816.3,430625254.3
BGD,Bangladesh,2019,1413763539.6,705801091.6,707962447.9999999
BGD,Bangladesh,2020,2108913101.4,735120226.4,1373792875.0
BGD,Bangladesh,2021,3301006447.9,2145147678.1,1155858769.8000002
BGD,Bangladesh,2022,2980685464.4,2039774927.7,940910536.7
BGD,Bangladesh,2023,3932112861.3,2056367563.8,1875745297.5000002
BGD,Bangladesh,2024,4667059645.9,1998838016.0,2668221629.8999996
BIH,Bosnia and Herzegovina,2019,397854131.2,222477276.7,175376854.5
BIH,Bosnia and Herzegovina,2020,796340277.8,231719032.4,564621245.4
BIH,Bosnia and Herzegovina,2021,1114810082.1,580926615.1,533883466.9999999
BIH,Bosnia and Herzegovina,2022,1038951135.4,552390661.2,486560474.1999999
BIH,Bosnia and Herzegovina,2023,930090965.2,556884106.6,373206858.6
BIH,Bosnia and Herzegovina,2024,703575415.5,541304552.0,162270863.5
BLR,Belarus,2019,509770354.2,509770354.2,0.0
BLR,Belarus,2020,530946328.4,530946328.4,0.0
BLR,Belarus,2021,1430148370.9,1430148370.9,0.0
BLR,Belarus,2022,1359897418.6,1359897418.6,0.0
BLR,Belarus,2023,1370959562.1,1370959562.1,0.0
BLR,Belarus,2024,1332605191.5,1332605191.5,0.0
BLZ,Belize,2019,24744281.0,24744281.0,0.0
BLZ,Belize,2020,25772163.9,25772163.9,0.0
BLZ,Belize,2021,60861338.0,60861338.0,0.0
BLZ,Belize,2022,57871741.3,57871741.3,0.0
BLZ,Belize,2023,58342501.4,58342501.4,0.0
BLZ,Belize,2024,56710294.3,56710294.3,0.0
BOL,Bolivia,2019,226964545.7,226964545.7,0.0
BOL,Bolivia,2020,582201162.3,236392703.6,345808458.6999999
BOL,Bolivia,2021,551798268.1,551798268.1,0.0
BOL,Bolivia,2022,524693140.7,524693140.7,0.0
BOL,Bolivia,2023,528961279.4,528961279.4,0.0
BOL,Bolivia,2024,514162902.1,514162902.1,0.0
BRA,Brazil,2019,3992325318.0,3992325318.0,0.0
BRA,Brazil,2020,4158167402.4,4158167402.4,0.0
BRA,Brazil,2021,18853002058.8,18853002058.8,0.0
BRA,Brazil,2022,17926915383.6,17926915383.6,0.0
BRA,Brazil,2023,18072742640.9,18072742640.9,0.0
BRA,Brazil,2024,17567134242.4,17567134242.4,0.0
BTN,Bhutan,2019,8281742.4,8281742.4,0.0
BTN,Bhutan,2020,8625767.8,8625767.8,0.0
BTN,Bhutan,2021,35748425.8,35748425.8,0.0
BTN,Bhutan,2022,33992411.5,33992411.5,0.0
BTN,Bhutan,2023,34268924.2,34268924.2,0.0
BTN,Bhutan,2024,33310206.7,33310206.7,0.0
BWA,Botswana,2019,79418438.9,79418438.9,0.0
BWA,Botswana,2020,82717498.5,82717498.5,0.0
BWA,Botswana,2021,344914505.8,344914505.8,0.0
BWA,Botswana,2022,327971807.4,327971807.4,0.0
BWA,Botswana,2023,330639708.1,330639708.1,0.0
BWA,Botswana,2024,321389633.7,321389633.7,0.0
CAF,Central African Republic,2019,296484719.1,73800018.5,222684700.60000002
CAF,Central African Republic,2020,355383363.5,76865687.8,278517675.7
CAF,Central African Republic,2021,518257001.8,224132356.8,294124645.0
CAF,Central African Republic,2022,482794186.3,213122651.9,269671534.4
CAF,Central African Republic,2023,504139050.6,214856307.2,289282743.40000004
CAF,Central African Republic,2024,480660987.6,208845423.5,271815564.1
CHN,China,2019,9665491725.9,9665491725.9,0.0
CHN,China,2020,10066998408.5,10066998408.5,0.0
CHN,China,2021,50673914230.1,50673914230.1,0.0
CHN,China,2022,48184738416.0,48184738416.0,0.0
CHN,China,2023,48576699224.5,48576699224.5,0.0
CHN,China,2024,47217703105.9,47217703105.9,0.0
CIV,Cote d'Ivoire,2019,1914817944.1,429926005.0,1484891939.1
CIV,Cote d'Ivoire,2020,3047380511.8,447785227.2,2599595284.6000004
CIV,Cote d'Ivoire,2021,3647029432.0,1307616729.6,2339412702.4
CIV,Cote d'Ivoire,2022,3303123623.4,1243384708.3,2059738915.1000001
CIV,Cote d'Ivoire,2023,4002292913.2,1253499074.2,2748793839.0
CIV,Cote d'Ivoire,2024,4787624283.9,1218430813.0,3569193470.8999996
CMR,Cameroon,2019,760370154.8,245129342.6,515240812.1999999
CMR,Cameroon,2020,1268973016.6,255312070.2,1013660946.3999999
CMR,Cameroon,2021,1777204255.4,618340557.6,1158863697.8000002
CMR,Cameroon,2022,1873561856.9,587966776.8,1285595080.1000001
CMR,Cameroon,2023,2055437786.8,592749617.6,1462688169.1999998
CMR,Cameroon,2024,2032128660.7,576166678.8,1455961981.9
COD,"Congo, Dem. Rep.",2019,1129700742.7,706426128.8,423274613.9000001
COD,"Congo, Dem. Rep.",2020,1510562208.8,735771227.8,774790981.0
COD,"Congo, Dem. Rep.",2021,3317275326.7,2144975528.1,1172299798.6
COD,"Congo, Dem. Rep.",2022,3559700986.0,2039611233.9,1520089752.1
COD,"Congo, Dem. Rep.",2023,3997330077.5,2056202538.4,1941127539.1
COD,"Congo, Dem. Rep.",2024,4083988878.4,1998677607.5,2085311270.9
COG,"Congo, Rep.",2019,157171955.8,110195987.9,46975967.900000006
COG,"Congo, Rep.",2020,162308174.3,114773553.8,47534620.500000015
COG,"Congo, Rep.",2021,374192609.3,328845769.0,45346840.30000001
COG,"Congo, Rep.",2022,528289080.6,312692390.1,215596690.5
COG,"Congo, Rep.",2023,706466847.4,315235999.7,391230847.7
COG,"Congo, Rep.",2024,728956483.6,306416864.0,422539619.6
COL,Colombia,2019,1020971932.8,1020971932.8,0.0
COL,Colombia,2020,6464390082.4,1063383334.7,5401006747.7
COL,Colombia,2021,9024420113.3,3775943221.3,5248476891.999999
COL,Colombia,2022,8581127570.7,3590463439.7,4990664131.0
COL,Colombia,2023,8650931118.7,3619670217.6,5031260901.1
COL,Colombia,2024,5963657680.3,3518405252.0,2445252428.3
COM,Comoros,2019,30741595.5,11758165.9,18983429.6
COM,Comoros,2020,41921894.3,12246602.8,29675291.499999996
COM,Comoros,2021,62872554.4,35779216.9,27093337.5
COM,Comoros,2022,57346057.9,34021690.1,23324367.799999997
COM,Comoros,2023,60773606.7,34298441.0,26475165.700000003
COM,Comoros,2024,61595582.6,33338897.6,28256685.0
CPV,Cabo Verde,2019,12679127.8,12679127.8,0.0
CPV,Cabo Verde,2020,47340184.2,13205821.6,34134362.6
CPV,Cabo Verde,2021,77795023.9,44624649.9,33170374.000000007
CPV,Cabo Verde,2022,88958920.8,42432622.7,46526298.099999994
CPV,Cabo Verde,2023,110827273.5,42777792.7,68049480.8
CPV,Cabo Verde,2024,126328913.2,41581028.5,84747884.7
DJI,Djibouti,2019,31639049.4,20960870.2,10678179.2
DJI,Djibouti,2020,72343244.8,21831589.4,50511655.4
DJI,Djibouti,2021,109255094.2,63873264.0,45381830.2
DJI,Djibouti,2022,103056548.9,60735717.1,42320831.800000004
DJI,Djibouti,2023,103894866.7,61229774.3,42665092.400000006
DJI,Djibouti,2024,100988273.2,59516792.0,41471481.2
DMA,Dominica,2019,20760360.5,10838586.9,9921773.6
DMA,Dominica,2020,35838200.2,11288824.2,24549376.000000004
DMA,Dominica,2021,47957082.9,26396339.8,21560743.099999998
DMA,Dominica,2022,43691600.9,25099713.5,18591887.4
DMA,Dominica,2023,42396758.6,25303888.2,17092870.400000002
DMA,Dominica,2024,39606568.7,24595979.1,15010589.600000001
DOM,Dominican Republic,2019,288769935.2,288769935.2,0.0
DOM,Dominican Republic,2020,988349668.4,300765502.7,687584165.7
DOM,Dominican Republic,2021,1600845634.6,932679536.4,668166098.1999999
DOM,Dominican Republic,2022,1522209786.3,886864971.3,635344815.0
DOM,Dominican Republic,2023,1374464003.0,894079212.2,480384790.79999995
DOM,Dominican Republic,2024,1024714655.3,869066187.4,155648467.89999998
DZA,Algeria,2019,1656880871.0,1656880871.0,0.0
DZA,Algeria,2020,1725708072.0,1725708072.0,0.0
DZA,Algeria,2021,4306075776.8,4306075776.8,0.0
DZA,Algeria,2022,4094555118.9,4094555118.9,0.0
DZA,Algeria,2023,4127862452.0,4127862452.0,0.0
DZA,Algeria,2024,4012380150.0,4012380150.0,0.0
ECU,Ecuador,2019,2114249049.6,398748819.4,1715500230.1999998
ECU,Ecuador,2020,6780523249.5,415312934.3,6365210315.2
ECU,Ecuador,2021,8182616204.8,1339512073.6,6843104131.200001
ECU,Ecuador,2022,9387002713.6,1273713307.0,8113289406.6
ECU,Ecuador,2023,9233103013.4,1284074382.2,7949028631.2
ECU,Ecuador,2024,9920738609.7,1248150737.1,8672587872.6
EGY,"Egypt, Arab Rep.",2019,13129959331.1,1242402410.5,11887556920.6
EGY,"Egypt, Arab Rep.",2020,20362115178.3,1294012083.9,19068103094.399998
EGY,"Egypt, Arab Rep.",2021,23680972381.8,3990131463.8,19690840918.0
EGY,"Egypt, Arab Rep.",2022,21752962125.5,3794130446.6,17958831678.9
EGY,"Egypt, Arab Rep.",2023,19319376392.0,3824993962.5,15494382429.5
EGY,"Egypt, Arab Rep.",2024,15117662938.6,3717984799.0,11399678139.6
ERI,Eritrea,2019,20960870.2,20960870.2,0.0
ERI,Eritrea,2020,21831589.4,21831589.4,0.0
ERI,Eritrea,2021,42544853.5,42544853.5,0.0
ERI,Eritrea,2022,40454988.9,40454988.9,0.0
ERI,Eritrea,2023,40784071.7,40784071.7,0.0
ERI,Eritrea,2024,39643084.4,39643084.4,0.0
ETH,Ethiopia,2019,318290495.6,176906259.6,141384236.00000003
ETH,Ethiopia,2020,939747809.0,184254985.1,755492823.9
ETH,Ethiopia,2021,1316581128.2,582424180.5,734156947.7
ETH,Ethiopia,2022,1251908762.6,553814664.0,698094098.5999999
ETH,Ethiopia,2023,1161232457.6,558319693.0,602912764.5999999
ETH,Ethiopia,2024,2246343206.5,542699976.0,1703643230.5
FJI,Fiji,2019,92779299.7,92779299.7,0.0
FJI,Fiji,2020,96633372.5,96633372.5,0.0
FJI,Fiji,2021,225902843.0,225902843.0,0.0
FJI,Fiji,2022,214806169.3,214806169.3,0.0
FJI,Fiji,2023,216553519.2,216553519.2,0.0
FJI,Fiji,2024,210495153.8,210495153.8,0.0
GAB,Gabon,2019,721529349.8,202886786.7,518642563.09999996
GAB,Gabon,2020,1062599828.6,211314749.1,851285079.5
GAB,Gabon,2021,1427381374.0,495100721.8,932280652.2
GAB,Gabon,2022,1480089911.8,470780659.6,1009309252.1999999
GAB,Gabon,2023,1373901843.5,474610245.0,899291598.5
GAB,Gabon,2024,1113097163.3,461332408.3,651764755.0
GEO,Georgia,2019,447978793.0,199070188.1,248908604.9
GEO,Georgia,2020,792088605.3,207339608.1,584748997.1999999
GEO,Georgia,2021,1157629256.0,483724823.1,673904432.9
GEO,Georgia,2022,1084129288.8,459963561.5,624165727.3
GEO,Georgia,2023,1062760619.3,463705154.7,599055464.5999999
GEO,Georgia,2024,977928825.5,450732402.0,527196423.5
GHA,Ghana,2019,1575603914.5,489339106.2,1086264808.3
GHA,Ghana,2020,2611634488.7,509666361.8,2101968126.8999999
GHA,Ghana,2021,3411399411.9,1485260177.5,1926139234.4
GHA,Ghana,2022,3123720560.0,1412302053.6,1711418506.4
GHA,Ghana,2023,3630001073.4,1423790484.9,2206210588.5
GHA,Ghana,2024,4663101597.3,1383958100.8,3279143496.5
GIN,Guinea,2019,481053215.3,141692606.2,339360609.1
GIN,Guinea,2020,668071408.5,147578548.6,520492859.9
GIN,Guinea,2021,885577605.4,430748796.7,454828808.7
GIN,Guinea,2022,884227238.9,409589794.0,474637444.9
GIN,Guinea,2023,845336356.6,412921619.7,432414736.90000004
GIN,Guinea,2024,842537480.8,401369602.2,441167878.59999996
GMB,"Gambia, The",2019,77241871.4,41163951.9,36077919.50000001
GMB,"Gambia, The",2020,103378149.7,42873911.7,60504238.0
GMB,"Gambia, The",2021,227659333.3,125101295.6,102558037.70000002
GMB,"Gambia, The",2022,247789801.2,118956139.4,128833661.79999998
GMB,"Gambia, The",2023,251088094.1,119923793.2,131164300.89999999
GMB,"Gambia, The",2024,271428236.1,116568769.6,154859466.50000003
GNB,Guinea-Bissau,2019,50290600.8,18813342.1,31477258.699999996
GNB,Guinea-Bissau,2020,48861107.7,19594852.5,29266255.200000003
GNB,Guinea-Bissau,2021,102650410.8,57138418.4,45511992.4
GNB,Guinea-Bissau,2022,94925093.4,54331696.8,40593396.60000001
GNB,Guinea-Bissau,2023,108381409.8,54773660.3,53607749.5
GNB,Guinea-Bissau,2024,122201327.1,53241296.2,68960030.89999999
GNQ,Equatorial Guinea,2019,83767425.3,43268612.5,40498812.8
GNQ,Equatorial Guinea,2020,87247142.9,45066000.3,42181142.60000001
GNQ,Equatorial Guinea,2021,362192491.8,255071778.2,107120713.60000002
GNQ,Equatorial Guinea,2022,344401073.7,242542284.2,101858789.5
GNQ,Equatorial Guinea,2023,347202619.0,244515254.8,102687364.19999999
GNQ,Equatorial Guinea,2024,323421475.4,237674623.6,85746851.79999998
GRD,Grenada,2019,35609141.6,15439247.6,20169894.0
GRD,Grenada,2020,58758632.6,16080597.4,42678035.2
GRD,Grenada,2021,76568979.6,37626680.7,38942298.89999999
GRD,Grenada,2022,69336960.4,35778403.9,33558556.50000001
GRD,Grenada,2023,66133576.6,36069444.8,30064131.800000004
GRD,Grenada,2024,60621394.1,35060355.4,25561038.700000003
GTM,Guatemala,2019,277824870.7,277824870.7,0.0
GTM,Guatemala,2020,289365777.8,289365777.8,0.0
GTM,Guatemala,2021,856138548.6,856138548.6,0.0
GTM,Guatemala,2022,814083787.3,814083787.3,0.0
GTM,Guatemala,2023,820705986.5,820705986.5,0.0
GTM,Guatemala,2024,797745672.9,797745672.9,0.0
GUY,Guyana,2019,120423365.9,120423365.9,0.0
GUY,Guyana,2020,125425779.4,125425779.4,0.0
GUY,Guyana,2021,365758656.8,365758656.8,0.0
GUY,Guyana,2022,347792063.6,347792063.6,0.0
GUY,Guyana,2023,350621193.0,350621193.0,0.0
GUY,Guyana,2024,340812110.7,340812110.7,0.0
HND,Honduras,2019,171262948.4,171262948.4,0.0
HND,Honduras,2020,664078984.3,178377249.5,485701734.79999995
HND,Honduras,2021,1102784771.9,508433252.7,594351519.2
HND,Honduras,2022,1048614392.0,483458277.4,565156114.6
HND,Honduras,2023,1102822872.7,487390989.3,615431883.4000001
HND,Honduras,2024,1082410875.4,473755594.7,608655280.7
HTI,Haiti,2019,185491424.1,107030433.1,78460991.0
HTI,Haiti,2020,291051204.7,110505854.1,180545350.6
HTI,Haiti,2021,502450027.3,331793436.9,170656590.40000004
HTI,Haiti,2022,444693167.9,301415675.7,143277492.2
HTI,Haiti,2023,552721343.4,309680855.3,243040488.09999996
HTI,Haiti,2024,559218512.8,319429618.5,239788894.29999995
IDN,Indonesia,2019,2738601714.4,2738601714.4,0.0
IDN,Indonesia,2020,2852363840.6,2852363840.6,0.0
IDN,Indonesia,2021,9007395453.8,9007395453.8,0.0
IDN,Indonesia,2022,8564939187.1,8564939187.1,0.0
