Tabelle: 71231-0001
Non-personal taxes, trade tax apportionment, municipalities';;;;;;;;;;;
share of income tax, municipalities' share of turnover tax,;;;;;;;;;;;
municipal fiscal capacity: Germany, years;;;;;;;;;;;
Comparison of non-personal taxes;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;
;Non-personal taxes;Non-personal taxes;Non-personal taxes;Non-personal taxes;Non-personal taxes;Non-personal taxes;Non-personal taxes;Non-personal taxes;Non-personal taxes;Non-personal taxes;Non-personal taxes;Non-personal taxes;Trade tax apportionment;Trade tax apportionment;Municipalities' share of income tax;Municipalities' share of income tax;Municipalities' share of turnover tax;Municipalities' share of turnover tax;Municipal fiscal capacity;Municipal fiscal capacity;Municipal fiscal capacity per capita;Municipal fiscal capacity per capita
;Actual tax revenue;Actual tax revenue;Actual tax revenue;Actual tax revenue;Actual tax revenue;Actual tax revenue;Basic amount;Basic amount;Basic amount;Basic amount;Basic amount;Basic amount;;;;;;;;;;
;Category A real property tax;Category A real property tax;Category B real property tax;Category B real property tax;Trade tax;Trade tax;Category A real property tax;Category A real property tax;Category B real property tax;Category B real property tax;Trade tax;Trade tax;;;;;;;;;;
;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;EUR;EUR
2000;331506;e;8516048;e;27024729;e;119409;e;2320759;e;6953733;e;5449984;e;23044973;e;2928805;e;42996654;e;523.18;e
2001;332222;e;8738165;e;24533929;e;118724;e;2374123;e;6377112;e;5567262;e;22275477;e;2882896;e;40733255;e;494.73;e
2002;336623;e;8914451;e;23487154;e;119558;e;2391375;e;6084594;e;6016800;e;21969610;e;2868703;e;39270091;e;476.15;e
2003;340323;e;9316965;e;24127772;e;119149;e;2447359;e;6231826;e;6927587;e;21554546;e;2845941;e;38406387;e;465.43;e
2004;347375;e;9590799;e;28544204;e;120172;e;2491749;e;7347492;e;5755113;e;20187702;e;2850760;e;41101060;e;498.20;e
2005;348901;e;9896028;e;32128927;e;119446;e;2523712;e;8263495;e;6254422;e;20096543;e;2907810;e;42923466;e;520.49;e
2006;352093;e;10042628;e;38357008;e;119700;e;2550756;e;9809916;e;6527515;e;21898229;e;3036023;e;48503578;e;588.84;e
2007;353894;e;10359224;e;40113541;e;119879;e;2589425;e;10322466;e;7072580;e;24908083;e;3234187;e;52529431;e;638.57;e
2008;354644;e;10446563;e;41090178;e;119816;e;2610904;e;10596398;e;6417449;e;27793265;e;3514916;e;57080296;e;695.03;e
2009;354655;e;10586897;e;32449960;e;119499;e;2642108;e;8377206;e;5112187;e;25724303;e;3532863;e;50851520;e;621.19;e
2010;359955;e;10956121;e;35737207;e;119696;e;2674375;e;9155361;e;6000399;e;24907246;e;3592607;e;51219496;e;626.53;e
2011;366612;e;11305907;e;40452130;e;119652;e;2703046;e;10314960;e;6752855;e;26724494;e;3783862;e;55434673;e;677.95;e
2012;373222;e;11606774;e;42293443;e;119889;e;2728897;e;10760700;e;7023871;e;28914886;e;3894719;e;58633968;e;729.28;e
2013;377474;e;11986893;e;43037559;e;119524;e;2749389;e;10899548;e;6988644;e;31036106;e;3934707;e;61219898;e;759.69;e
2014;382010;e;12313755;e;43789122;e;119509;e;2794752;e;11040168;e;7000788;e;32960758;e;4047891;e;63692377;e;787.05;e
2015;392591;e;12818354;e;45738206;e;119970;e;2820045;e;11471033;e;7341123;e;35125277;e;4698987;e;67298766;e;826.09;e
2016;393227;e;13257611;e;50103431;e;118392;e;2855810;e;12531368;e;8007795;e;36330856;e;4834259;e;70696045;e;860.30;e
2017;402552;e;13557500;e;52869270;e;119650;e;2887330;e;13156925;e;8548609;e;39217309;e;6039212;e;75878986;e;918.92;e
2018;404338;e;13796175;e;55844093;e;119164;e;2920900;e;13889533;e;8996000;e;41053700;e;7455913;e;80585831;e;972.23;e
2019;405717;e;14033412;e;55373305;e;118691;e;2953637;e;13732647;e;8086373;e;43232903;e;8281947;e;84176377;e;1013.33;e
2020;408940;e;14265458;e;45303845;e;118631;e;2983989;e;11321650;e;3919554;e;41137833;e;9049461;e;81051778;e;975.08;e
2021;410779;e;14572370;e;61114076;e;118422;e;3031012;e;15152742;e;5212067;e;44549562;e;9103845;e;92901480;e;1117.42;e
2022;412166;e;14864771;e;70238498;e;117726;e;3056872;e;17432531;e;6217248;e;45891655;e;8126939;e;98014011;e;1169.43;e
2023;415269;e;15059643;e;75111796;e;116885;e;3054053;e;18469947;e;6389452;e;48212792;e;8235618;e;102857732;e;1217.46;e
2024;426833;e;15649506;e;75283858;e;117961;e;3094657;e;18415784;e;6595650;r;50833642;r;8389707;r;105378267;r;1261.85;r
__________
"Municipal fiscal capacity per capita:
From 2012, calculation has used intercensal population
updates as at 30 June of any year, based on the 2011 Census."
© Federal Statistical Office, Wiesbaden 2026
created: 2026-06-06 / 10:46:31
