Tabelle: 71231-0002
Average assessment rates of non-personal taxes: Germany,;;;
years, types of non-personal taxes;;;
Comparison of non-personal taxes;;;;;;
Germany;;;;;;
;Average assessment rates;Average assessment rates;Average assessment rates;Average assessment rates;Average assessment rates;Average assessment rates
;Category A real property tax;Category A real property tax;Category B real property tax;Category B real property tax;Trade tax;Trade tax
;percent;percent;percent;percent;percent;percent
1999;276;e;367;e;389;e
2000;278;e;367;e;389;e
2001;280;e;368;e;385;e
2002;282;e;373;e;386;e
2003;286;e;381;e;387;e
2004;289;e;385;e;388;e
2005;292;e;392;e;389;e
2006;294;e;394;e;391;e
2007;295;e;400;e;389;e
2008;296;e;400;e;388;e
2009;297;e;401;e;387;e
2010;301;e;410;e;390;e
2011;306;e;418;e;392;e
2012;311;e;425;e;393;e
2013;316;e;436;e;395;e
2014;320;e;441;e;397;e
2015;327;e;455;e;399;e
2016;332;e;464;e;400;e
2017;336;e;470;e;402;e
2018;339;e;472;e;402;e
2019;342;e;475;e;403;e
2020;345;e;478;e;400;e
2021;347;e;481;e;403;e
2022;350;e;486;e;403;e
2023;355;e;493;e;407;e
2024;362;e;506;e;409;e
__________
© Federal Statistical Office, Wiesbaden 2026
created: 2026-06-06 / 10:46:48
