Tabelle: 71231-0003
Capacity of non-personal taxes: Germany, years, types of;;;
non-personal taxes;;;
Comparison of non-personal taxes;;;;;;
Germany;;;;;;
Capacity of non-personal taxes (EUR 1000);;;;;;
;Types of non-personal taxes;Types of non-personal taxes;Types of non-personal taxes;Types of non-personal taxes;Types of non-personal taxes;Types of non-personal taxes
;Category A real property tax;Category A real property tax;Category B real property tax;Category B real property tax;Trade tax;Trade tax
1999;212857;e;4752383;e;17337873;e
2000;214936;e;4873594;e;17384332;e
2001;213703;e;4985659;e;15942781;e
2002;215205;e;5021888;e;15211485;e
2003;214467;e;5139454;e;15579566;e
2004;216309;e;5232673;e;18368730;e
2005;215002;e;5299794;e;20658739;e
2006;215461;e;5356588;e;24524791;e
2007;215783;e;5437793;e;25806165;e
2008;215669;e;5482898;e;26490996;e
2009;215098;e;5548426;e;20943016;e
2010;215453;e;5616187;e;22888403;e
2011;215374;e;5676397;e;25787401;e
2012;215800;e;5730684;e;26901750;e
2013;215143;e;5773718;e;27248869;e
2014;215116;e;5868980;e;27600419;e
2015;215946;e;5922095;e;28677583;e
2016;213105;e;5997201;e;31328420;e
2017;215370;e;6063393;e;32892311;e
2018;214496;e;6133890;e;34723833;e
2019;213644;e;6202637;e;34331618;e
2020;213535;e;6266377;e;28304126;e
2021;213160;e;6365125;e;37881856;e
2022;211906;e;6419431;e;43581327;e
2023;210394;e;6413512;e;46174868;e
2024;212329;e;6498780;e;46039459;e
__________
© Federal Statistical Office, Wiesbaden 2026
created: 2026-06-06 / 10:47:09
