iso3,year,fsi_indicator_si01,fsi_indicator_si02,fsi_indicator_si03,fsi_indicator_si04,fsi_indicator_si05,fsi_indicator_si06,fsi_indicator_si07,fsi_indicator_si08,fsi_indicator_si09,fsi_indicator_si10,fsi_indicator_si11,fsi_indicator_si12,fsi_indicator_si13,fsi_indicator_si14,fsi_indicator_si15,fsi_indicator_si16,fsi_indicator_si17,fsi_indicator_si18,fsi_indicator_si19,fsi_indicator_si20
ABW,2025,40.0,50.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,40.0,100.0,15.03,61.810344827586206,0.0,65.0
AGO,2025,60.0,50.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,37.5,100.0,60.0,100.0,52.120000000000005,100.0,100.0,63.5
AIA,2025,44.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,17.32,57.241379310344826,0.0,69.0
ALB,2025,47.0,50.0,0.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,40.0,40.0,10.0,44.0,35.172413793103445,0.0,30.0
AND,2025,50.0,0.0,0.0,50.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,75.0,40.0,60.0,100.0,41.99,14.482758620689658,0.0,57.5
ARE,2025,47.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,90.0,60.0,50.0,41.67,49.22413793103448,0.0,59.5
ARG,2025,40.0,50.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,0.0,0.0,30.0,90.0,20.92,2.155172413793103,0.0,48.0
ASM,2025,41.0,100.0,0.0,75.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,80.0,90.0,100.0,17.32,100.0,100.0,78.0
ATG,2025,61.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,100.0,44.61,49.05172413793103,0.0,17.5
AUS,2025,27.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,30.0,75.0,80.0,0.0,90.0,16.99,20.86206896551725,0.0,0.0
AUT,2025,30.0,75.0,50.0,75.0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,65.0,75.0,40.0,20.0,100.0,65.36,0.0,0.0,48.0
BEL,2025,17.0,100.0,0.0,75.0,100.0,100.0,100.0,100.0,0.0,50.0,50.0,65.0,37.5,90.0,10.0,80.0,63.07,0.0,0.0,30.0
BGD,2025,60.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,75.0,90.0,50.0,50.0,19.61,100.0,100.0,57.5
BGR,2025,43.0,0.0,50.0,75.0,100.0,100.0,12.5,100.0,25.0,50.0,50.0,65.0,75.0,70.0,30.0,100.0,49.510000000000005,0.0,0.0,14.0
BHR,2025,34.0,75.0,0.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.0,100.0,16.67,52.241379310344826,0.0,57.5
BHS,2025,37.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.0,100.0,41.010000000000005,55.25862068965517,0.0,59.5
BLZ,2025,20.0,75.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,0.0,6.54,59.6551724137931,0.0,29.5
BMU,2025,20.0,100.0,0.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,100.0,9.15,39.22413793103448,0.0,53.5
BOL,2025,60.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,37.5,100.0,40.0,100.0,43.3,100.0,100.0,57.5
BRA,2025,50.0,50.0,0.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,0.0,0.0,10.0,80.0,44.93,0.0,0.0,30.0
BRB,2025,60.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,75.0,100.0,60.0,100.0,22.88,5.775862068965516,0.0,59.5
