iso3,iso2,cthi_2019_rank,cthi_2019_share,cthi_2019_score,cthi_2021_rank,cthi_2021_share,cthi_2021_score,fsi_2009_rank,fsi_2009_score,fsi_2009_gsw,fsi_2009_value,fsi_2011_rank,fsi_2011_score,fsi_2011_gsw,fsi_2011_value,fsi_2013_rank,fsi_2013_score,fsi_2013_gsw,fsi_2013_value,fsi_2015_rank,fsi_2015_score,fsi_2015_gsw,fsi_2015_value,fsi_2018_rank,fsi_2018_score,fsi_2018_gsw,fsi_2018_value,region,subregion,continent,country,region_tjn,g7,g24,g77,eu27,g20,gafilat,cfatf,ukt,mena,latam,gbr_ot,gbr_cd,gbr_oct,nld_oct,fra_oct,dnk_oct,eu28_oct,usa_oct,oecd_oct,opec,efta,fsi_2020_rank,fsi_2020_score,fsi_2020_gsw,fsi_2020_value,fsi_2022_rank,fsi_2022_score,fsi_2022_gsw,fsi_2022_value,legal_old,legal_new,gmt_offset_2020,continent_cepii,eu28,oecd,amount_swissleaks,share_swissleaks,n_realestateowners_dubai,n_properties_dubai,propertyvalue_usd_dubai,n_villas_dubai,n_buildings_dubai,profits_c16,taxrate_c16,excessincome_c16,tre_c16,treshareofcorp_c16,tre_cj18,ps_cj18,trl_cj18,grossprofit_cj19,efftaxrate_cj19,addgrossprofit_cj19,tre_cj19,ps_cj19,trl_cj19,ectr_garcia2019,ps_garcia2020_emp,ps_garcia2020_revt,ps_garcia2020_assets,ps_garcia2020_ccctb,ps_garcia2020_wages,trl_globalmodel_jansky19,trl_devmodel_jansky19,ps_jansky19,ps_socorpprof_jansky19,ps_sofcorpprof_jansky19,trl_jansky19,trl_sogdp_jansky19,trl_socorptax_jansky19,trl_sotottax_jansky19,profits_shifted_intohaven_bnusd,profits_shifted_out_bnusd,profits_shifted_out_pctgdp,profits_shifted_out_pct_profits,corporate_tax_loss_pct_taxcollected,fdi_interest_to_haven_mnusd,fdi_interest_to_euhaven_mnusd,fdi_interest_to_noneuhaven_mnusd,royalty_payments_to_haven_mnusd,royalty_payments_to_euhaven_mnusd,royalty_payments_to_noneuhaven_mnusd,cthi_2019_value,cthi_2021_value,cthi_2021_gsw,cthi_2019_gsw,sotj23_loss_total_share,sotj23_loss_total_musd,sotj23_loss_total_share_revenue,sotj23_loss_total_share_healthexpenses,sotj23_loss_total_share_gdp,sotj23_loss_offshore_share,sotj23_loss_offshore_musd,sotj23_loss_offshore_share_revenue,sotj23_loss_corp_share,sotj23_loss_corp_musd,sotj23_loss_corp_share_revenue,sotj23_profit_shifted_outward_musd,sotj23_inflictedloss_total_share,sotj23_inflictedloss_total_musd,sotj23_gain_corp_musd,sotj23_inflictedloss_offshore_share,sotj23_inflictedloss_offshore_musd,sotj23_inflictedloss_corp_share,sotj23_inflictedloss_corp_musd,sotj23_profit_shifted_inward_musd,sotj20_loss_total_share,sotj20_loss_total_musd,sotj20_loss_total_share_revenue,sotj20_loss_total_share_healthexpenses,sotj20_loss_offshore_share,sotj20_loss_offshore_musd,sotj20_loss_corp_share,sotj20_loss_corp_musd,sotj20_inflictedloss_total_share,sotj20_inflictedloss_total_musd,sotj20_inflictedloss_offshore_share,sotj20_inflictedloss_offshore_musd,sotj20_inflictedloss_corp_share,sotj20_inflictedloss_corp_musd,sotj21_loss_total_share,sotj21_loss_total_musd,sotj21_loss_total_share_revenue,sotj21_loss_total_share_healthexpenses,sotj21_loss_offshore_share,sotj21_loss_offshore_musd,sotj21_loss_corp_share,sotj21_loss_corp_musd,sotj21_inflictedloss_total_share,sotj21_inflictedloss_total_musd,sotj21_inflictedloss_offshore_share,sotj21_inflictedloss_offshore_musd,sotj21_inflictedloss_corp_share,sotj21_inflictedloss_corp_musd,test
ABW,AW,54,0.002413103,64.38666499,56,0.002126485,70.13456512,36,83,4.00E-05,0.27556,48,74.2,2.86E-05,124.9300921,55,70.6,0.00334,113.3252,57,67.71,0.0032958,99.5278,68,75.975,3.85E-05,148.0466,Americas,Latin America and the Caribbean,America,Aruba,Caribbean/American isl.,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,112,73.275,7.40E-06,76.65347324,75,70.925,8.91E-05,159.3646043,1,1,-4,America,0,0,480.7,0.00192986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.66225235,94.11295535,2.03E-05,4.05E-05,4.65E-05,22.35667419,0.034618034,0.113339952,0.006981585,0.000126468,21.35667419,0.033069591,3.21E-06,1,0.001548443,4,8.57E-05,41.18321084,37.75,4.45E-07,0.075155288,0.000131946,41.10805555,151,7.36E-05,31.46669168,0.052797243,,0.000134964,24.68162918,2.77E-05,6.785062503,1.23E-05,5.271458402,6.37E-07,0.116467759,2.10E-05,5.154990643,4.53E-05,2.19E-05,0.034110039,,9.44E-05,1.61E-05,1.84E-05,5.75E-06,0,0,0,0,0,0,12
AFG,AF,,,,,,,,,,,,,,,,,,,,,,,,,7.17E-05,,Asia,Southern Asia,Asia,Afghanistan,Asia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9.47E-06,,,,,,1,1,4.5,Asia,0,0,3,1.20E-05,1134,3220,1410029024,352,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40E-05,7.94E-06,4.21E-06,2.024689198,0.001198244,0.022619455,0.000109925,1.20E-05,2.024689198,0.001198244,0,0,0,0,0,0,0,0,0,0,0,0,6.75E-06,2.889007256,0.001848968,0.030474496,1.25E-05,2.291167021,2.44E-06,0.597840235,7.77E-05,33.24080173,0,0,0.000135728,33.24080173,0.000103996,5.02E-05,0.03271542,0.527084143,8.32E-06,1.42E-06,0.000156317,4.88E-05,2.58E-05,1.25E-05,0,0,4.00E-05,1.25E-05,56
AGO,AO,,,,,,,,,,,,,,,,,,,,,,,,,0.0003312,,Africa,Sub-Saharan Africa,Africa,Angola,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,79.725,0.000316819,345.4517203,33,79.45,0.000299994,335.7266625,1,1,1,Africa,0,0,36.8,0.00014774,35,113,27196278.11,5,0,,,,,,,,,,,,,,,,819269481.1,555561129.2,20099297875,7044814205,139897737.8,,,,,,,,,,,,,,,,,,,,,,,0.000262145,0.000390364,0.00064487,309.8107655,0.020453295,0.372620288,0.003982505,0.001088472,183.8107605,0.012134942,0.000404426,126.000005,0.008318353,420,0,0,0,0,0,0,0,0,0.005267477,2253.340634,0.073578847,1.465188053,0.001107531,202.5406342,0.00837376,2050.8,0,0,0,0,0,0,0.000746994,0.000360732,0.012427206,0.241840588,0.001056863,0.000180432,0.000577538,0.0001803,0,0,0,0,0,0,32
AIA,AI,35,0.006131944,100,39,0.005759787,100,55,87,1.00E-05,0.07569,66,79.27,3.79E-07,36.04731967,61,76.47,0.00101,96.76443,63,69.24,0.0019521,89.38037,56,77.5,7.36E-05,195.0371,Americas,Latin America and the Caribbean,America,Anguilla,Caribbean/American isl.,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,62,78.2,6.57E-05,192.9863302,58,75.45,0.000100762,199.8682876,,2,-4,America,0,0,16,6.42E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.9232201,254.913881,1.66E-05,1.26E-05,0,0,,,0,0,0,,0,0,,0,0.000126364,60.7092476,0,0,0,0.00019486,60.7092476,223,,,,,,,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,45
ALA,AX,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,Northern Europe,,Aland Islands,Europe,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
ALB,AL,,,,,,,,,,,,,,,,,,,,,,,,,4.20E-06,,Europe,Southern Europe,Europe,Albania,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.63E-05,,123,54.45,2.45E-05,46.90091904,2,1,1,Europe,0,0,0,0,17,19,6762554.906,5,0,,,,,,-0.15080358,,,,,,,,,,,,,,,14.55561,18.36462,75.63651,0.0425936,0.3658394,11.34548,0.0954711,9.440768,0.5208541,,,,,,,,,,,,,,0.000133823,0.000124396,0.000103542,49.74406428,0.016743887,0.115502292,0.003282043,2.10E-05,3.544064283,0.001192935,0.000148289,46.2,0.015550952,308,0,0,0,0,0,0,0,0,0.00011049,47.26593737,0.018065425,0.078061591,2.07E-05,3.779346704,0.000177563,43.48659067,9.97E-06,4.266199153,0,0,1.74E-05,4.266199153,9.62E-05,4.64E-05,0.018609266,0.130756728,9.37E-06,1.60E-06,0.000143664,4.49E-05,8.25E-06,3.98E-06,0,0,1.28E-05,3.98E-06,44
AND,AD,51,0.002875478,69.04854059,62,0.001513975,61.29441798,57,83,1.00E-05,0.06889,46,73.27,3.92E-05,133.6207578,74,76.27,9.35E-05,43.37763,87,76.6,2.25E-05,27.32231,105,66.05,1.80E-06,35.05223,Europe,Southern Europe,Europe,Andorra,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,58.325,7.50E-06,38.8370971,114,54.95,0.000112143,80.01288852,1,1,1,Europe,0,0,48.7,0.000195515,5,5,243221.6406,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2256446,67.00476564,2.46E-05,3.65E-05,1.69E-05,8.142801285,0.012407547,0.055502046,0.002530143,4.82E-05,8.142801285,0.012407547,0,0,0,1021,3.89E-05,18.70770264,0,0.000110777,18.70770264,0,0,0,2.05E-05,8.751409531,0.002778517,0.057370314,4.79E-05,8.751409531,0,0,4.42E-05,18.92387009,0.000103479,18.92387009,0,0,1.92E-05,9.30E-06,,0.07006851,5.44E-05,9.30E-06,0,0,1.55E-05,7.48E-06,4.38E-05,7.48E-06,0,0,28
ANT,AN,,,,,,,38,75,2.00E-05,0.1125,47,83.31,1.12E-05,129.3691558,,,,,,,,,,,1.66E-05,,,,America,Netherlands Antilles,Caribbean/American isl.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,,,,,,,,,,,America,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.40E-06,2.78E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,1.45E-06,6.98E-07,,,4.09E-06,6.98E-07,,,0,0,0,0,0,0,6
ARE,AE,12,0.032769855,98.33333333,10,0.037603363,98.33333333,31,92,0.00018,1.52352,18,79.07,0.0007031,439.5830274,16,79,0.06138,419.0078,10,77.44,0.0854925,440.7632,9,83.85,0.0014105,661.1468,Asia,Western Asia,Asia,United Arab Emirates,Asia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,77.925,0.002092176,605.1966719,8,79.225,0.002217549,648.4520124,3,2,4,Asia,0,0,3500,0.014051406,63438,427538,2.87246E+11,14301,2495,,,,,,,,,,,,,,,,3265006540,13977356060,18214175809,13285674377,12065975987,,,,,,,,,,,,,,,,,,,,,1244.770006,1664.231467,0.005362093,0.002243678,0,0,0,,0,0,0,0,0,0,0,3277,0.001606499,771.8102417,0,0.004570246,771.8102417,0,0,0,0.002389977,1022.393223,0.016251675,0.104137125,0,0,0.004174603,1022.393223,0.002960407,1266.413793,0.005014011,916.940979,0.001426956,349.4728139,0.008469056,0.0040898,0.065494474,0.426748854,0,0,0.013100481,0.0040898,0.001495801,0.000722339,0.004231033,0.000722339,0,0,23
ARG,AR,,,,68,0.00081846,32.13101476,,,,,,,,,,,,,,,,,,,0.000124,,Americas,Latin America and the Caribbean,America,Argentina,Latin America,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,94,54.975,0.000285244,109.3707018,111,49.125,0.000333939,82.2489147,1,1,-3,America,0,0,3500,0.014051406,90,147,51256316.21,26,0,,,,,,21.40588,61.159657,21.40588,5143,0.42,2892,1218,2892000000,1218000000,38,25020725241,21426983750,11961213375,17644552781,14070197194,549.4705,693.2596,6617.298,0.0798105,0.6854986,2316.054,0.4174117,14.24654,1.711541,,,,,,,,,,,,,36.22302874,0.00130207,0.001347025,0.002849135,1368.79071,0.011529477,0.044129279,0.002608116,0.001782968,301.0906677,0.00253612,0.003427028,1067.700042,0.008993357,3559,0.004561019,2191.249928,2414.700096,0,0,0.007033318,2191.249928,8049,0.006276435,2684.95611,0.022333595,0.085919143,0.001876358,343.1402588,0.009562026,2341.815852,0.000187821,80.34675071,0,0,0.000328069,80.34675071,0.00260017,0.001255651,0.009971351,0.038050712,0.001749904,0.000298751,0.00306515,0.0009569,0,0,0,0,0,0,98
