iso_partner,wb_income_group_official,wb_income_group_id_official
ABW,high_income,HIC
AFG,low_income,LIC
AGO,lower_middle_income,LMC
ALB,upper_middle_income,UMC
AND,high_income,HIC
ARE,high_income,HIC
ARG,upper_middle_income,UMC
ARM,upper_middle_income,UMC
ASM,high_income,HIC
ATG,high_income,HIC
AUS,high_income,HIC
AUT,high_income,HIC
AZE,upper_middle_income,UMC
BDI,low_income,LIC
BEL,high_income,HIC
BEN,lower_middle_income,LMC
BFA,low_income,LIC
BGD,lower_middle_income,LMC
BGR,high_income,HIC
BHR,high_income,HIC
BHS,high_income,HIC
BIH,upper_middle_income,UMC
BLR,upper_middle_income,UMC
BLZ,upper_middle_income,UMC
BMU,high_income,HIC
BOL,lower_middle_income,LMC
BRA,upper_middle_income,UMC
BRB,high_income,HIC
BRN,high_income,HIC
BTN,lower_middle_income,LMC
BWA,upper_middle_income,UMC
CAF,low_income,LIC
CAN,high_income,HIC
CHE,high_income,HIC
CHI,high_income,HIC
CHL,high_income,HIC
CHN,upper_middle_income,UMC
CIV,lower_middle_income,LMC
CMR,lower_middle_income,LMC
COD,low_income,LIC
COG,lower_middle_income,LMC
COL,upper_middle_income,UMC
COM,lower_middle_income,LMC
CPV,upper_middle_income,UMC
CRI,high_income,HIC
CUB,upper_middle_income,UMC
CUW,high_income,HIC
CYM,high_income,HIC
CYP,high_income,HIC
CZE,high_income,HIC
DEU,high_income,HIC
DJI,lower_middle_income,LMC
DMA,upper_middle_income,UMC
DNK,high_income,HIC
DOM,upper_middle_income,UMC
DZA,upper_middle_income,UMC
ECU,upper_middle_income,UMC
EGY,lower_middle_income,LMC
ERI,low_income,LIC
ESP,high_income,HIC
EST,high_income,HIC
ETH,low_income,LIC
FIN,high_income,HIC
FJI,upper_middle_income,UMC
FRA,high_income,HIC
FRO,high_income,HIC
FSM,upper_middle_income,UMC
GAB,upper_middle_income,UMC
GBR,high_income,HIC
GEO,upper_middle_income,UMC
GHA,lower_middle_income,LMC
GIB,high_income,HIC
GIN,lower_middle_income,LMC
GMB,low_income,LIC
GNB,low_income,LIC
GNQ,upper_middle_income,UMC
GRC,high_income,HIC
GRD,upper_middle_income,UMC
GRL,high_income,HIC
GTM,upper_middle_income,UMC
GUM,high_income,HIC
GUY,high_income,HIC
HKG,high_income,HIC
HND,lower_middle_income,LMC
HRV,high_income,HIC
HTI,lower_middle_income,LMC
HUN,high_income,HIC
IDN,upper_middle_income,UMC
IMN,high_income,HIC
IND,lower_middle_income,LMC
IRL,high_income,HIC
IRN,upper_middle_income,UMC
IRQ,upper_middle_income,UMC
ISL,high_income,HIC
ISR,high_income,HIC
ITA,high_income,HIC
JAM,upper_middle_income,UMC
JOR,upper_middle_income,UMC
JPN,high_income,HIC
KAZ,upper_middle_income,UMC
KEN,lower_middle_income,LMC
KGZ,lower_middle_income,LMC
KHM,lower_middle_income,LMC
KIR,lower_middle_income,LMC
KNA,high_income,HIC
KOR,high_income,HIC
KWT,high_income,HIC
LAO,lower_middle_income,LMC
LBN,lower_middle_income,LMC
LBR,low_income,LIC
LBY,upper_middle_income,UMC
LCA,upper_middle_income,UMC
LIE,high_income,HIC
LKA,upper_middle_income,UMC
LSO,lower_middle_income,LMC
LTU,high_income,HIC
LUX,high_income,HIC
LVA,high_income,HIC
MAC,high_income,HIC
MAF,high_income,HIC
MAR,lower_middle_income,LMC
MCO,high_income,HIC
MDA,upper_middle_income,UMC
MDG,low_income,LIC
MDV,upper_middle_income,UMC
MEX,upper_middle_income,UMC
MHL,upper_middle_income,UMC
MKD,upper_middle_income,UMC
MLI,low_income,LIC
MLT,high_income,HIC
MMR,lower_middle_income,LMC
MNE,upper_middle_income,UMC
MNG,upper_middle_income,UMC
MNP,high_income,HIC
MOZ,low_income,LIC
MRT,lower_middle_income,LMC
MUS,upper_middle_income,UMC
MWI,low_income,LIC
MYS,upper_middle_income,UMC
NAM,lower_middle_income,LMC
NCL,high_income,HIC
NER,low_income,LIC
NGA,lower_middle_income,LMC
NIC,lower_middle_income,LMC
NLD,high_income,HIC
NOR,high_income,HIC
NPL,lower_middle_income,LMC
NRU,high_income,HIC
NZL,high_income,HIC
OMN,high_income,HIC
PAK,lower_middle_income,LMC
PAN,high_income,HIC
PER,upper_middle_income,UMC
PHL,upper_middle_income,UMC
PLW,high_income,HIC
PNG,lower_middle_income,LMC
POL,high_income,HIC
PRI,high_income,HIC
PRK,low_income,LIC
PRT,high_income,HIC
PRY,upper_middle_income,UMC
PSE,lower_middle_income,LMC
PYF,high_income,HIC
QAT,high_income,HIC
ROU,high_income,HIC
RUS,high_income,HIC
RWA,low_income,LIC
SAU,high_income,HIC
SDN,low_income,LIC
SEN,lower_middle_income,LMC
SGP,high_income,HIC
SLB,lower_middle_income,LMC
SLE,low_income,LIC
SLV,upper_middle_income,UMC
SMR,high_income,HIC
SOM,low_income,LIC
SRB,upper_middle_income,UMC
SSD,low_income,LIC
STP,lower_middle_income,LMC
SUR,upper_middle_income,UMC
SVK,high_income,HIC
SVN,high_income,HIC
SWE,high_income,HIC
SWZ,lower_middle_income,LMC
SXM,high_income,HIC
SYC,high_income,HIC
SYR,low_income,LIC
TCA,high_income,HIC
TCD,low_income,LIC
TGO,lower_middle_income,LMC
THA,upper_middle_income,UMC
TJK,lower_middle_income,LMC
TKM,upper_middle_income,UMC
TLS,lower_middle_income,LMC
TON,upper_middle_income,UMC
TTO,high_income,HIC
TUN,lower_middle_income,LMC
TUR,upper_middle_income,UMC
TUV,upper_middle_income,UMC
TZA,lower_middle_income,LMC
UGA,low_income,LIC
UKR,upper_middle_income,UMC
URY,high_income,HIC
USA,high_income,HIC
UZB,lower_middle_income,LMC
VCT,upper_middle_income,UMC
VEN,lower_middle_income,LMC
VGB,high_income,HIC
VIR,high_income,HIC
VNM,upper_middle_income,UMC
VUT,lower_middle_income,LMC
WSM,upper_middle_income,UMC
XKX,upper_middle_income,UMC
YEM,low_income,LIC
ZAF,upper_middle_income,UMC
ZMB,lower_middle_income,LMC
ZWE,lower_middle_income,LMC
