iso                                                         sources  cit_c  r_oilgas  foreign_etr  nonres_etr  n_flags  severity                                                                                                                                                                                                                                                                                                                                                             flags
CMR                        grd_distributed(953), eiti_bilateral(33)  0.330       NaN        0.402       0.480        2         1 No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).; Possible under-strip: after the correction the non-resource effective tax rate (0.48) is still well above this country's statutory corporate tax rate (0.33), so some resource tax may not have been removed.
COG                        grd_distributed(610), eiti_bilateral(29)  0.293       NaN        0.972       1.903        2         1 No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).; Possible under-strip: after the correction the non-resource effective tax rate (1.90) is still well above this country's statutory corporate tax rate (0.29), so some resource tax may not have been removed.
COL                       grd_distributed(1043), eiti_bilateral(45)  0.348       NaN        0.420       0.410        2         0                                               Discontinuity: the amount of resource tax removed changes more than five-fold between two consecutive years, which can indicate a break in the underlying data.; No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
DZA                                          manual_distributed(29)  0.260      0.30        0.306       0.064        2         0                                                                 Discontinuity: the amount of resource tax removed changes more than five-fold between two consecutive years, which can indicate a break in the underlying data.; The two resource-rate sources disagree for this country: the per-commodity rate is 0.3, but the combined effective rate is 0.43.
IRN                                         manual_distributed(746)  0.250      0.25        0.007       0.006        2         0                                                                   The resource tax rate is not higher than the ordinary corporate tax rate, so the ETR-gap method cannot identify any resource tax to remove for this country.; The two resource-rate sources disagree for this country: the per-commodity rate is 0.25, but the combined effective rate is 0.55.
LBY                                          manual_distributed(22)  0.200      0.50        0.388       0.005        2         0                                                                 Discontinuity: the amount of resource tax removed changes more than five-fold between two consecutive years, which can indicate a break in the underlying data.; The two resource-rate sources disagree for this country: the per-commodity rate is 0.5, but the combined effective rate is 0.65.
MOZ                                             eiti_bilateral(119)  0.320       NaN        0.320       0.113        2         0                                               Discontinuity: the amount of resource tax removed changes more than five-fold between two consecutive years, which can indicate a break in the underlying data.; No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
PER                                         manual_distributed(570)  0.294       NaN        0.235       0.135        2         0                                               Discontinuity: the amount of resource tax removed changes more than five-fold between two consecutive years, which can indicate a break in the underlying data.; No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
TUR                                        manual_distributed(1211)  0.222       NaN        0.142       0.081        2         0                                               Discontinuity: the amount of resource tax removed changes more than five-fold between two consecutive years, which can indicate a break in the underlying data.; No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
ZAF                                         manual_distributed(204)  0.278       NaN        0.185       0.171        2         0                                               Discontinuity: the amount of resource tax removed changes more than five-fold between two consecutive years, which can indicate a break in the underlying data.; No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
AFG                                              eiti_bilateral(28)  0.200       NaN        1.167       1.182        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
AGO                                            grd_distributed(753)  0.284      0.50        0.192       0.115        1         0                                                                                                                                                                                                   Discontinuity: the amount of resource tax removed changes more than five-fold between two consecutive years, which can indicate a break in the underlying data.
ALB                                              eiti_bilateral(50)  0.150       NaN        0.041       0.044        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
ARE                                          manual_distributed(29)  0.000      0.45        0.270       0.000        1         0                                                                                                                                                                                                                                 The two resource-rate sources disagree for this country: the per-commodity rate is 0.45, but the combined effective rate is 0.55.
ARG                       eiti_extrapolated(36), eiti_bilateral(24)  0.310       NaN        0.305       0.300        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
ARM                                              eiti_bilateral(18)  0.190       NaN        0.039       0.040        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
AZE grd_extrapolated(570), grd_distributed(522), eiti_bilateral(24)  0.200       NaN        0.136       0.109        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
BFA  grd_extrapolated(138), grd_distributed(68), eiti_bilateral(33)  0.275       NaN        0.005       0.005        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
BHR                                         manual_distributed(753)  0.000      0.25        0.009       0.000        1         0                                                                                                                                                                                                                                 The two resource-rate sources disagree for this country: the per-commodity rate is 0.25, but the combined effective rate is 0.46.
BOL                    grd_distributed(1049), grd_extrapolated(183)  0.250       NaN       -0.062       0.080        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
BRN                                            grd_distributed(753)  0.185       NaN        0.045       0.074        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
CAN                                         manual_distributed(231)  0.264      0.27        0.260       0.171        1         0                                                                                                                                                                                                   Discontinuity: the amount of resource tax removed changes more than five-fold between two consecutive years, which can indicate a break in the underlying data.
CHL                                         manual_distributed(205)  0.266       NaN        0.193       0.148        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
CHN                                         manual_distributed(661)  0.250      0.25        0.191       0.191        1         0                                                                                                                                                                                                      The resource tax rate is not higher than the ordinary corporate tax rate, so the ETR-gap method cannot identify any resource tax to remove for this country.
CIV                       eiti_bilateral(67), eiti_extrapolated(52)  0.250       NaN        0.191       0.222        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
COD                                         manual_distributed(466)  0.317       NaN        0.044       0.031        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
DEU                                              eiti_bilateral(52)  0.299       NaN        0.239       0.238        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
DNK                     grd_distributed(525), grd_extrapolated(218)  0.220       NaN        0.196       0.110        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
DOM                         eiti_bilateral(5), eiti_extrapolated(4)  0.270       NaN        0.156       0.166        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
ECU                        eiti_extrapolated(20), eiti_bilateral(8)  0.244       NaN        0.246       0.246        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
EGY                                           grd_distributed(1009)  0.225       NaN        0.187       0.091        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
ETH                       eiti_bilateral(30), eiti_extrapolated(12)  0.300       NaN        0.061       0.062        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
GAB                        grd_distributed(865), eiti_bilateral(10)  0.300       NaN        0.138       0.138        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
GHA                       grd_distributed(1047), eiti_bilateral(45)  0.250       NaN        0.102       0.104        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
GIN                        grd_distributed(340), eiti_bilateral(38)  0.350       NaN        0.007       0.006        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
GNQ                                            grd_distributed(753)  0.350       NaN        0.013       0.012        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
GTM                       eiti_extrapolated(30), eiti_bilateral(15)  0.250       NaN        0.060       0.108        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
GUY                                              eiti_bilateral(15)  0.259       NaN        0.002       0.002        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
HND                       eiti_bilateral(16), eiti_extrapolated(10)  0.300       NaN        0.182       0.185        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
IND                                         manual_distributed(655)  0.356       NaN        0.315       0.335        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
KAZ                       grd_distributed(1447), eiti_bilateral(44)  0.200      0.40        0.094       0.094        1         0                                                                                                                                                                                                                                   The two resource-rate sources disagree for this country: the per-commodity rate is 0.4, but the combined effective rate is 0.3.
KGZ                                              eiti_bilateral(45)  0.100       NaN        0.270       0.279        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
KWT                                         manual_distributed(746)  0.150      0.15        0.036       0.023        1         0                                                                                                                                                                                                                                 The two resource-rate sources disagree for this country: the per-commodity rate is 0.15, but the combined effective rate is 0.55.
LAO                                         manual_distributed(472)  0.227       NaN        0.015       0.012        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
LBR                      eiti_bilateral(116), eiti_extrapolated(30)  0.250       NaN        0.001       0.001        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
LSO                                         manual_distributed(472)  0.250       NaN        0.028       0.029        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
MAR                                         manual_distributed(465)  0.310       NaN        0.236       0.236        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
MDG grd_distributed(665), grd_extrapolated(217), eiti_bilateral(56)  0.200       NaN        0.010       0.010        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
MEX                                          manual_distributed(31)  0.300      0.30        0.313       0.313        1         0                                                                                                                                                                                                      The resource tax rate is not higher than the ordinary corporate tax rate, so the ETR-gap method cannot identify any resource tax to remove for this country.
MLI                         grd_distributed(64), eiti_bilateral(55)  0.300       NaN        0.281       0.307        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
MMR grd_extrapolated(609), grd_distributed(201), eiti_bilateral(37)  0.245       NaN        0.133       0.136        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
MNG                       grd_distributed(1452), eiti_bilateral(50)  0.250       NaN        0.030       0.018        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
MRT                       grd_distributed(1037), eiti_bilateral(44)  0.250       NaN        0.374       0.419        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
MWI                        eiti_bilateral(34), eiti_extrapolated(9)  0.300       NaN        0.013       0.013        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
