Country or Area,SNA93 Table Code,Sub Group,Item,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Value Footnotes
Andorra,3.2,Individual consumption expenditure of general government,Housing,14.1,2024,1100,Euro,2008,Western calendar year,3917844.1,1
Andorra,3.2,Individual consumption expenditure of general government,Health,14.2,2024,1100,Euro,2008,Western calendar year,91774088.39,1
Andorra,3.2,Individual consumption expenditure of general government,Recreation and culture,14.3,2024,1100,Euro,2008,Western calendar year,43109908.38,1
Andorra,3.2,Individual consumption expenditure of general government,Education,14.4,2024,1100,Euro,2008,Western calendar year,83810930.08,1
Andorra,3.2,Individual consumption expenditure of general government,Social protection,14.5,2024,1100,Euro,2008,Western calendar year,65775593.66,1
Andorra,3.2,Individual consumption expenditure of general government,Equals: Individual consumption expenditure of general government,P.31/14,2024,1100,Euro,2008,Western calendar year,288388364.6,1
Andorra,3.2,Individual consumption expenditure of households,Food and non-alcoholic beverages,1,2023,1100,Euro,2008,Western calendar year,327238610.2,2
Andorra,3.2,Individual consumption expenditure of households,"Alcoholic beverages, tobacco and narcotics",2,2023,1100,Euro,2008,Western calendar year,14395224.94,2
Andorra,3.2,Individual consumption expenditure of households,Clothing and footwear,3,2023,1100,Euro,2008,Western calendar year,81152476.48,2
Andorra,3.2,Individual consumption expenditure of households,"Housing, water, electricity, gas and other fuels",4,2023,1100,Euro,2008,Western calendar year,629932216.4,2
Andorra,3.2,Individual consumption expenditure of households,"Furnishings, household equipment and routine maintenance of the house",5,2023,1100,Euro,2008,Western calendar year,53317373.51,2
Andorra,3.2,Individual consumption expenditure of households,Health,6,2023,1100,Euro,2008,Western calendar year,30044094.94,2
Andorra,3.2,Individual consumption expenditure of households,Transport,7,2023,1100,Euro,2008,Western calendar year,286737400.4,2
Andorra,3.2,Individual consumption expenditure of households,Communication,8,2023,1100,Euro,2008,Western calendar year,53215799.58,2
Andorra,3.2,Individual consumption expenditure of households,Recreation and culture,9,2023,1100,Euro,2008,Western calendar year,123132923.1,2
Andorra,3.2,Individual consumption expenditure of households,Education,10,2023,1100,Euro,2008,Western calendar year,23731698.39,2
Andorra,3.2,Individual consumption expenditure of households,Restaurants and hotels,11,2023,1100,Euro,2008,Western calendar year,125612300.5,2
Andorra,3.2,Individual consumption expenditure of households,Miscellaneous goods and services,12,2023,1100,Euro,2008,Western calendar year,151344648,2
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure in domestic market,P.31,2023,1100,Euro,2008,Western calendar year,1611648224,
Andorra,3.2,Individual consumption expenditure of households,Plus: Direct purchases abroad by residents,,2023,1100,Euro,2008,Western calendar year,288206542.4,
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure,P.31,2023,1100,Euro,2008,Western calendar year,1899854766,
Andorra,3.2,Individual consumption expenditure of general government,Housing,14.1,2023,1100,Euro,2008,Western calendar year,5223495.89,
Andorra,3.2,Individual consumption expenditure of general government,Health,14.2,2023,1100,Euro,2008,Western calendar year,229002417,
Andorra,3.2,Individual consumption expenditure of general government,Recreation and culture,14.3,2023,1100,Euro,2008,Western calendar year,55613055.04,
