source_iso3,commodity,year,total_cit_usd_bn,source_name,source_url,confidence,notes
TUR,minerals,2016,0.20,Industry analyst estimate (production value x assumed margin x 20% CIT),https://www.invest.gov.tr/en/sectors/pages/mining-and-metals.aspx,low,"Mining sector production value ~TRY 30-40B in 2016 (extrapolated from 2020-2021 trajectory; mining was ~1.3% of GDP). Assumed ~25% pre-tax profit margin and 20% effective CIT rate. Upstream metals/minerals only (excludes coal lignite handled separately if applicable). Pre-2018 detailed Mining figures sparse."
TUR,minerals,2017,0.25,"Industry analyst estimate; cross-check from Istanbul Mineral Exporters' Assn (mining exports $2.25B in 2017 per IMIB)",https://imib.org.tr/en/veri-merkezi/export-statistics/,low,"Mining exports $2.25B in 2017; total mining production value larger (domestic sales of cement raw materials etc.). Estimated CIT = production value × 25% margin × 20% effective rate."
TUR,minerals,2018,0.30,"Industry analyst estimate; Eldorado Gold ESTMA reports as reference point",https://www.eldoradogold.com/sites/eldorado-gold/files/eldorado/Investors/corporate-filings/eldorado-gold-estma-reporting-2022-final-may-31.pdf,low,"Eldorado Gold alone paid ~$30-50M/yr in Turkish taxes/royalties; total sector CIT scaled up ~10x to account for Eti Maden (boron), Park Holding (coal), Çayeli/Demir/Park Elektrik (copper/zinc), and dozens of smaller miners. 20% effective CIT."
TUR,minerals,2019,0.30,Industry analyst estimate,https://pubs.usgs.gov/myb/vol3/2019/myb3-2019-turkey.pdf,low,"USGS 2019 Minerals Yearbook for Turkey provides sector overview but not CIT split. Mining production value rising. Sector profitability moderate (Eti Maden state-owned boron monopoly profitable, gold miners profitable, base metals mixed)."
TUR,minerals,2020,0.35,"Industry analyst estimate; TRY 83.1B mining production value (2020)",https://www.invest.gov.tr/en/sectors/pages/mining-and-metals.aspx,low,"Mining production value TRY 83.1B in 2020 (~$11.8B at avg 7.0 TRY/USD). 25% margin × 20% effective CIT = $0.6B; conservatively scaled to $0.35B because much of production value is intra-sector (cement raw materials etc.) and effective rates are lower with depreciation/incentives."
TUR,minerals,2021,0.60,"Industry analyst estimate; TRY 131.5B mining production value (2021)",https://www.invest.gov.tr/en/sectors/pages/mining-and-metals.aspx,low,"Mining production value TRY 131.5B in 2021 (~$14.8B at avg 8.9 TRY/USD), +58% YoY driven by commodity boom. Higher metals prices boost CIT. Eldorado Gold Turkish taxes also rose materially. Assumed effective CIT ~$0.6B."
TUR,minerals,2022,0.80,"Industry analyst estimate; Eldorado Gold ESTMA 2022 ($70M to Turkey); mining exports $6B",https://www.eldoradogold.com/sites/eldorado-gold/files/eldorado/Investors/corporate-filings/eldorado-gold-estma-reporting-2022-final-may-31.pdf,low,"Mining exports $6B in 2022; mining 1.36% of GDP. CIT rate raised to 23% (then 25% from 2023). Eldorado Gold alone paid $70M (taxes) to Turkish federal government in 2022. Total sector CIT scaled to ~$0.8B."
TUR,oil_gas,2016,0.05,"Industry analyst estimate; upstream-only (excludes refining/TUPRAS)",https://www.eia.gov/international/content/analysis/countries_long/Turkiye/turkiye.pdf,very-low,"Turkey's upstream oil/gas is tiny: ~50,000 bpd crude production, minimal gas. TPAO dominant. Total upstream revenue ~$1-1.5B/yr. CIT-on-upstream ~$50-100M/yr. EXCLUDES TUPRAS refining (downstream, not extractive CIT). Sakarya Black Sea gas field gets 100% CIT exemption from government."
TUR,oil_gas,2017,0.08,Industry analyst estimate; upstream-only,https://www.eia.gov/international/content/analysis/countries_long/Turkiye/turkiye.pdf,very-low,"Higher oil prices boosted upstream profitability slightly. TPAO produced ~55,000 bpd. Upstream CIT ~$80M."
TUR,oil_gas,2018,0.10,Industry analyst estimate; upstream-only,https://www.eia.gov/international/content/analysis/countries_long/Turkiye/turkiye.pdf,very-low,"TPAO ~60,000 bpd. Oil prices high in 2018. Upstream CIT ~$100M. Excludes TUPRAS refining."
TUR,oil_gas,2019,0.08,Industry analyst estimate; upstream-only,https://www.eia.gov/international/content/analysis/countries_long/Turkiye/turkiye.pdf,very-low,"Lower oil prices. TPAO ~60-65,000 bpd. Excludes TUPRAS refining (TUPRAS 2019 net profit only TRY 526M)."
TUR,oil_gas,2020,0.05,Industry analyst estimate; upstream-only,https://www.eia.gov/international/content/analysis/countries_long/Turkiye/turkiye.pdf,very-low,"Pandemic year. TUPRAS recorded major losses (TRY 2.3B Q1 loss). Upstream revenue low. Excludes refining. Upstream CIT minimal."
TUR,oil_gas,2021,0.10,Industry analyst estimate; upstream-only,https://www.eia.gov/international/content/analysis/countries_long/Turkiye/turkiye.pdf,very-low,"Recovery year. Higher prices. TPAO ~65,000 bpd. CIT rate 23%. Upstream CIT ~$100M."
TUR,oil_gas,2022,0.20,Industry analyst estimate; upstream-only,https://www.eia.gov/international/content/analysis/countries_long/Turkiye/turkiye.pdf,very-low,"Oil price boom. TPAO 65,000 bpd × $90/bbl avg × profit margin × 23% CIT. Sakarya gas not yet producing (started late 2023). Excludes TUPRAS refining ($2.5B net profit in 2022, ~$0.6B tax expense, but downstream not extractive)."
