# Starter manual table of resource-related GOVERNMENT REVENUE for source countries with no/thin EITI/GRD coverage.
# STARTER ESTIMATES — verify before relying on them; `confidence` flags how rough each is.
# Sources for every row are documented in docs/extractive/manual_resource_data_sources.md.
# total_resource_revenue_usd_bn = the source country's resource government revenue for that commodity-year, USD billions.
# frac_pre_profit / frac_post_profit / frac_equity sum to 1: pre = royalties/licence-fees/bonuses/production-entitlements (expensed, NOT in CbCR profit);
#   post = corporate income tax + special petroleum/mining taxes + windfall (the profit-based take); equity = state dividends / state-participation income.
# domestic_share = fraction attributed to the source country's own NOC/state firms (lands on the (parent==partner) CbCR cell);
#   the rest (1-domestic_share) is distributed to IOC HQ countries by hq_share_<commodity> in 1_8.
source_iso3,commodity,year,total_resource_revenue_usd_bn,frac_pre_profit,frac_post_profit,frac_equity,domestic_share,confidence,source_note
ARE,oil_gas,2016,45.0,0.4089,0.3356,0.2556,0.90,high,"UAE oil & gas: IMF Article IV consolidated-gvt hydrocarbon revenue, latest vintage (2016-19: CR19/35 Table 3; 2020-22: CR24 Table 3a p.37 / CR25 Table 3a; AED/3.6725). frac_equity = NOC profit transfers to SWF memo line / total. dom 0.90: documented foreign flows (OMV+TotalEnergies $23bn) = 5.1% of the $454bn take; 0.10 proxies all foreign concession partners incl. non-disclosing (BP, CNPC, INPEX, ENI, Indian consortium). Audit closure 2026-07-24."
ARE,oil_gas,2017,54.1,0.403,0.329,0.268,0.90,high,"UAE oil & gas: IMF Article IV consolidated-gvt hydrocarbon revenue, latest vintage (2016-19: CR19/35 Table 3; 2020-22: CR24 Table 3a p.37 / CR25 Table 3a; AED/3.6725). frac_equity = NOC profit transfers to SWF memo line / total. dom 0.90: documented foreign flows (OMV+TotalEnergies $23bn) = 5.1% of the $454bn take; 0.10 proxies all foreign concession partners incl. non-disclosing (BP, CNPC, INPEX, ENI, Indian consortium). Audit closure 2026-07-24."
ARE,oil_gas,2018,81.3,0.4121,0.337,0.2509,0.90,high,"UAE oil & gas: IMF Article IV consolidated-gvt hydrocarbon revenue, latest vintage (2016-19: CR19/35 Table 3; 2020-22: CR24 Table 3a p.37 / CR25 Table 3a; AED/3.6725). frac_equity = NOC profit transfers to SWF memo line / total. dom 0.90: documented foreign flows (OMV+TotalEnergies $23bn) = 5.1% of the $454bn take; 0.10 proxies all foreign concession partners incl. non-disclosing (BP, CNPC, INPEX, ENI, Indian consortium). Audit closure 2026-07-24."
ARE,oil_gas,2019,67.8,0.3997,0.3274,0.2729,0.90,high,"UAE oil & gas: IMF Article IV consolidated-gvt hydrocarbon revenue, latest vintage (2016-19: CR19/35 Table 3; 2020-22: CR24 Table 3a p.37 / CR25 Table 3a; AED/3.6725). frac_equity = NOC profit transfers to SWF memo line / total. dom 0.90: documented foreign flows (OMV+TotalEnergies $23bn) = 5.1% of the $454bn take; 0.10 proxies all foreign concession partners incl. non-disclosing (BP, CNPC, INPEX, ENI, Indian consortium). Audit closure 2026-07-24."
ARE,oil_gas,2020,44.6,0.4183,0.3437,0.2380,0.90,high,"UAE oil & gas: IMF Article IV consolidated-gvt hydrocarbon revenue, latest vintage (2016-19: CR19/35 Table 3; 2020-22: CR24 Table 3a p.37 / CR25 Table 3a; AED/3.6725). frac_equity = NOC profit transfers to SWF memo line / total. dom 0.90: documented foreign flows (OMV+TotalEnergies $23bn) = 5.1% of the $454bn take; 0.10 proxies all foreign concession partners incl. non-disclosing (BP, CNPC, INPEX, ENI, Indian consortium). Audit closure 2026-07-24."
ARE,oil_gas,2021,66.3,0.3722,0.3058,0.3220,0.90,high,"UAE oil & gas: IMF Article IV consolidated-gvt hydrocarbon revenue, latest vintage (2016-19: CR19/35 Table 3; 2020-22: CR24 Table 3a p.37 / CR25 Table 3a; AED/3.6725). frac_equity = NOC profit transfers to SWF memo line / total. dom 0.90: documented foreign flows (OMV+TotalEnergies $23bn) = 5.1% of the $454bn take; 0.10 proxies all foreign concession partners incl. non-disclosing (BP, CNPC, INPEX, ENI, Indian consortium). Audit closure 2026-07-24."
ARE,oil_gas,2022,94.7,0.3634,0.2986,0.3380,0.90,high,"UAE oil & gas: IMF Article IV consolidated-gvt hydrocarbon revenue, latest vintage (2016-19: CR19/35 Table 3; 2020-22: CR24 Table 3a p.37 / CR25 Table 3a; AED/3.6725). frac_equity = NOC profit transfers to SWF memo line / total. dom 0.90: documented foreign flows (OMV+TotalEnergies $23bn) = 5.1% of the $454bn take; 0.10 proxies all foreign concession partners incl. non-disclosing (BP, CNPC, INPEX, ENI, Indian consortium). Audit closure 2026-07-24."
AUS,coal,2016,2.34,0.906,0.094,0.0,0.45,high,Australia coal: state coal royalties (QLD Budget BP2 + NSW Resources Regulator) [pre] + ATO Taxation Statistics coal-mining net company tax [post]; equity 0. Sourced 2026-06.
AUS,coal,2017,4.71,0.811,0.189,0.0,0.45,high,Australia coal: state coal royalties (QLD Budget BP2 + NSW Resources Regulator) [pre] + ATO Taxation Statistics coal-mining net company tax [post]; equity 0. Sourced 2026-06.
AUS,coal,2018,5.93,0.6847,0.3153,0.0,0.45,high,Australia coal: state coal royalties (QLD Budget BP2 + NSW Resources Regulator) [pre] + ATO Taxation Statistics coal-mining net company tax [post]; equity 0. Sourced 2026-06.
