iso3,country_name,extractive_rents_pct_gdp,data_tiers,eiti,include,drop_reason,commodity_main,resource_rate,resource_rate_source,domestic_share,domestic_share_source,status,preferred_source,preferred_source_note
AFG,Afghanistan,0.27,eiti_bilateral|rent_proxy,True,yes,,coal,0.2,effective_resource_cit_rates.csv (combined): Min Finance,0.067,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
AGO,Angola,25.6,grd_distributed,False,yes,,oil_gas,0.5,resource_profit_tax_rate.csv (oil_gas): PSA petroleum income tax ~50% + corporate tax,0.2,[med conf] Azule Energy presentation 2026 + ExxonMobil PSC reports,ok (researched),,
ALB,,1.18,eiti_bilateral,True,yes,,minerals,0.5,[med conf] Albania petroleum profit tax 50% (oil; chromium would be 15% CIT),0.0,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok (researched),,
ARE,United Arab Emirates,15.14,manual_distributed,False,yes,,oil_gas,0.65,"emirate income-tax decrees (Abu Dhabi 1965 / Dubai 1969): 55% base, concession bands to 85%; blended 0.65 adopted (audit 2026-07-22, confirmed vs IMF CR24 Annex VII: petroleum exempt from 9% federal CIT, concession taxation remains emirate-level)",0.90,IMF A4 hydrocarbon-revenue series: documented foreign flows (OMV+TotalEnergies) = 5.1% of $454bn 2016-22 take; 0.90 proxies all foreign partners incl. non-disclosing. Audit closure 2026-07-24,ok (audit closed 2026-07-24),,
ARG,Argentina,1.56,eiti_bilateral|rent_proxy,True,yes,,coal,0.25,effective_resource_cit_rates.csv (combined): AFIP + Hydrocarbons Law,0.519,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
ARM,,1.95,eiti_bilateral,True,yes,,minerals,0.305,[med conf] Armenia Tax Code 2022 (18% CIT + profit-based mining term ~12.5%),0.0,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok (researched),,
AUS,Australia,6.44,manual_distributed,False,yes,,coal,0.30,"AUDIT 2026-07-22: standard company tax 30% (mining has no profit surtax; PRRT offshore-only, small). Replaces blended 0.42 which over-stripped via ETR-gap - see resource_profit_tax_rate.csv note",0.45,"manual_resource_revenue.csv: state coal royalties (revenue-based, pre-profit); 2022 price spike; Glencore CH, BHP, Yancoal CN, Whitehaven AU",ok,,
AUT,,0.05,rent_proxy,False,no,rent-proxy-only and extractive rents 0.05% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
AZE,,21.39,eiti_bilateral|grd_distributed|rent_proxy,True,yes,,minerals,0.25,[med conf] PwC Worldwide Tax Summaries 2026 (PSA profit tax 25-32%),0.477,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok (researched),,
BDI,,0.07,rent_proxy,False,no,rent-proxy-only and extractive rents 0.07% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
BEL,,0.02,rent_proxy,False,no,rent-proxy-only and extractive rents 0.02% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
