# Staging table of resource-related GOVERNMENT REVENUE extracted from country-specific sources
# (IMF Article IV reports, Libya MoF revenue/expenditure statements, EIA, Turkey MAPEG annual reports).
# Created from data/raw/resource revenues country sources/ on 2026-05-13.
# total_resource_revenue_usd_bn = source-country government resource revenue for that commodity-year, USD billions.
# frac_pre_profit + frac_post_profit + frac_equity = 1 (royalties / income-tax+special-tax / state-dividends).
# Where the source did not separate components, the default 0.30/0.45/0.25 split (per task instructions) is used and noted.
# domestic_share = fraction attributed to source-country NOC/state firms.
source_iso3,commodity,year,total_resource_revenue_usd_bn,frac_pre_profit,frac_post_profit,frac_equity,domestic_share,confidence,source_note
ARE,oil_gas,2016,46.6,0.30,0.45,0.25,0.95,med-high,"IMF Art IV 2021 Table 3b: Oil revenue 165.3 AED bn / 3.6725 = $45.0 bn (use 2016 actual from Table 3 published 2021); Oil revenue actually 171.0 from earlier proj. Used 165.3. Split estimated (royalty/CIT/ADNOC dividend not separated)."
ARE,oil_gas,2017,54.1,0.30,0.45,0.25,0.95,med-high,"IMF Art IV 2021 Table 3b actual 2017: Oil revenue 198.7 AED bn / 3.6725 = $54.1; profit transfers from NOC = 53.2 AED bn = $14.5 bn (equity)."
ARE,oil_gas,2018,82.6,0.30,0.45,0.25,0.95,med-high,"IMF Art IV 2021 Table 3b actual 2018: Oil revenue 303.4 AED bn / 3.6725 = $82.6 bn; NOC profit transfers 74.3 AED bn = $20.2 bn (equity)."
ARE,oil_gas,2019,69.0,0.30,0.45,0.25,0.95,med-high,"IMF Art IV 2021 Table 3b actual 2019: Oil revenue 253.4 AED bn / 3.6725 = $69.0 bn; NOC profit transfers 67.6 AED bn = $18.4 bn."
ARE,oil_gas,2020,43.5,0.30,0.45,0.25,0.95,med-high,"IMF Art IV 2021 Table 3b estimate 2020: Oil revenue 159.6 AED bn / 3.6725 = $43.5 bn; NOC profit transfers 38.3 AED bn = $10.4 bn (equity)."
ARE,oil_gas,2021,66.7,0.30,0.45,0.25,0.95,med-high,"IMF Art IV 2022 Table 3a: 2021 Hydrocarbon revenue 245.1 AED bn / 3.6725 = $66.7 bn; NOC profit transfers 78.5 AED bn = $21.4 bn."
ARE,oil_gas,2022,103.4,0.30,0.45,0.25,0.95,med-high,"IMF Art IV 2022 Table 3a projection 2022: Hydrocarbon revenue 379.6 AED bn / 3.6725 = $103.4 bn; NOC profit transfers 117.4 AED bn = $32.0 bn (equity). 2022 was a projection in 2022 Art IV; flagged for review."
DZA,oil_gas,2016,15.4,0.30,0.45,0.25,0.95,med-high,"IMF Art IV 2021 Table 5a actual: Hydrocarbon revenue 1,683 DZD bn / 109.45 DZD/USD = $15.4 bn (incl. Sonatrach dividends; split = royalty/CIT/dividend not separated)."
DZA,oil_gas,2017,19.6,0.30,0.45,0.25,0.95,med-high,"IMF Art IV 2021 Table 5a actual: 2,177 DZD bn / 110.97 = $19.6 bn (incl. Sonatrach dividends)."
DZA,oil_gas,2018,24.8,0.30,0.45,0.25,0.95,med-high,"IMF Art IV 2021 Table 5a actual: 2,887 DZD bn / 116.59 = $24.8 bn (incl. Sonatrach dividends)."
