iso_partner,year,variable,value,mode,source_url,note
AND,,cit,0.0,override,,
CAF,,cit,0.3,override,,
COD,,cit,0.28,fill_if_missing,,
GIB,,cit,0.0,override,,
GLP,,cit,0.15,fill_if_missing,,
GUF,,cit,0.28,fill_if_missing,,
HTI,,cit,0.3,override,,
IOT,,cit,0.0,fill_if_missing,,
MCO,,cit,0.0,override,,
MHL,,cit,0.0,fill_if_missing,,
NCL,,cit,0.0,override,,
PLW,,cit,0.0,fill_if_missing,,
PRK,,cit,0.325,fill_if_missing,,
PYF,,cit,0.27,fill_if_missing,,
REU,,cit,0.15,fill_if_missing,,
SMR,,cit,0.17,fill_if_missing,,
SOM,,cit,0.3,fill_if_missing,,
TLS,,cit,0.1,fill_if_missing,,
XKV,,cit,0.1,fill_if_missing,,
YEM,,cit,0.2,override,,
AIA,2016,gdp_current_usd,331000000.0,fill_if_missing,http://data.un.org/en/iso/ai.html,2015 value (as 2016 is not available): http://data.un.org/en/iso/ai.html
AIA,2017,gdp_current_usd,322000000.0,fill_if_missing,http://data.un.org/en/iso/ai.html,"same for 2017 and 2018, as there is no 2017 and 2016 data: http://data.un.org/en/iso/ai.html"
AIA,2018,gdp_current_usd,322000000.0,fill_if_missing,http://data.un.org/en/iso/ai.html,"same for 2017 and 2018, as there is no 2017 and 2016 data: http://data.un.org/en/iso/ai.html"
AIA,2019,gdp_current_usd,380000000.0,fill_if_missing,http://data.un.org/en/iso/ai.html,2021 data
AIA,2020,gdp_current_usd,380000000.0,fill_if_missing,http://data.un.org/en/iso/ai.html,2021 data
AIA,2021,gdp_current_usd,380000000.0,fill_if_missing,http://data.un.org/en/iso/ai.html,2021 data
AIA,2022,gdp_current_usd,388972051.0,fill_if_missing,https://www.worldometers.info/gdp/anguilla-gdp/,2022 value: https://www.worldometers.info/gdp/anguilla-gdp/
COK,2016,gdp_current_usd,198711719.99999997,fill_if_missing,https://stats.pacificdata.org,https://stats.pacificdata.org
COK,2017,gdp_current_usd,241910899.99999997,fill_if_missing,https://stats.pacificdata.org,https://stats.pacificdata.org
COK,2018,gdp_current_usd,262612530.00000003,fill_if_missing,https://stats.pacificdata.org,https://stats.pacificdata.org
COK,2019,gdp_current_usd,379894400.0,fill_if_missing,https://stats.pacificdata.org/vis?pg=0&bp=true&snb=26&tm=gdp&df[ds]=ds%3ASPC2&df[id]=DF_NATIONAL_ACCOUNTS&df[ag]=SPC&df[vs]=1.0&pd=2012%2C&dq=A.DOM..GDPC&ly[rw]=GEO_PICT&ly[cl]=TIME_PERIOD&to[TIME_PERIOD]=false,https://stats.pacificdata.org/vis?pg=0&bp=true&snb=26&tm=gdp&df[ds]=ds%3ASPC2&df[id]=DF_NATIONAL_ACCOUNTS&df[ag]=SPC&df[vs]=1.0&pd=2012%2C&dq=A.DOM..GDPC&ly[rw]=GEO_PICT&ly[cl]=TIME_PERIOD&to[TIME_PERIOD]=false
COK,2020,gdp_current_usd,278453700.0,fill_if_missing,https://stats.pacificdata.org/vis?pg=0&bp=true&snb=26&tm=gdp&df[ds]=ds%3ASPC2&df[id]=DF_NATIONAL_ACCOUNTS&df[ag]=SPC&df[vs]=1.0&pd=2012%2C&dq=A.DOM..GDPC&ly[rw]=GEO_PICT&ly[cl]=TIME_PERIOD&to[TIME_PERIOD]=false,https://stats.pacificdata.org/vis?pg=0&bp=true&snb=26&tm=gdp&df[ds]=ds%3ASPC2&df[id]=DF_NATIONAL_ACCOUNTS&df[ag]=SPC&df[vs]=1.0&pd=2012%2C&dq=A.DOM..GDPC&ly[rw]=GEO_PICT&ly[cl]=TIME_PERIOD&to[TIME_PERIOD]=false
COK,2021,gdp_current_usd,247926320.0,fill_if_missing,https://stats.pacificdata.org/vis?pg=0&bp=true&snb=26&tm=gdp&df[ds]=ds%3ASPC2&df[id]=DF_NATIONAL_ACCOUNTS&df[ag]=SPC&df[vs]=1.0&pd=2012%2C&dq=A.DOM..GDPC&ly[rw]=GEO_PICT&ly[cl]=TIME_PERIOD&to[TIME_PERIOD]=false,https://stats.pacificdata.org/vis?pg=0&bp=true&snb=26&tm=gdp&df[ds]=ds%3ASPC2&df[id]=DF_NATIONAL_ACCOUNTS&df[ag]=SPC&df[vs]=1.0&pd=2012%2C&dq=A.DOM..GDPC&ly[rw]=GEO_PICT&ly[cl]=TIME_PERIOD&to[TIME_PERIOD]=false
COK,2022,gdp_current_usd,289749646.0,fill_if_missing,https://www.worldometers.info/gdp/cook-islands-gdp/,2022 value: https://www.worldometers.info/gdp/cook-islands-gdp/
ERI,2016,gdp_current_usd,2210000000.0,fill_if_missing,https://www.statista.com/statistics/510484/gross-domestic-product-gdp-in-eritrea/,https://www.statista.com/statistics/510484/gross-domestic-product-gdp-in-eritrea/
ERI,2017,gdp_current_usd,1900000000.0,fill_if_missing,https://www.statista.com/statistics/510484/gross-domestic-product-gdp-in-eritrea/,https://www.statista.com/statistics/510484/gross-domestic-product-gdp-in-eritrea/
ERI,2018,gdp_current_usd,2009999999.9999998,fill_if_missing,https://www.statista.com/statistics/510484/gross-domestic-product-gdp-in-eritrea/,https://www.statista.com/statistics/510484/gross-domestic-product-gdp-in-eritrea/
ERI,2019,gdp_current_usd,1980000000.0,fill_if_missing,https://www.statista.com/statistics/510484/gross-domestic-product-gdp-in-eritrea/,https://www.statista.com/statistics/510484/gross-domestic-product-gdp-in-eritrea/
ERI,2020,gdp_current_usd,1980000000.0,fill_if_missing,https://www.statista.com/statistics/510484/gross-domestic-product-gdp-in-eritrea/,"2019 value, https://www.statista.com/statistics/510484/gross-domestic-product-gdp-in-eritrea/"
ERI,2021,gdp_current_usd,1980000000.0,fill_if_missing,https://www.statista.com/statistics/510484/gross-domestic-product-gdp-in-eritrea/,"2019 value, https://www.statista.com/statistics/510484/gross-domestic-product-gdp-in-eritrea/"
FLK,2016,gdp_current_usd,206400000.0,fill_if_missing,https://en.wikipedia.org/wiki/Economy_of_the_Falkland_Islands,"2015 data, as no better data exists: https://en.wikipedia.org/wiki/Economy_of_the_Falkland_Islands"
GGY,2016,gdp_current_usd,3976156799.9999995,fill_if_missing,https://gov.gg/CHttpHandler.ashx?id=160890&p=0,https://gov.gg/CHttpHandler.ashx?id=160890&p=0
GGY,2017,gdp_current_usd,3997189000.0,fill_if_missing,https://gov.gg/CHttpHandler.ashx?id=160890&p=0,https://gov.gg/CHttpHandler.ashx?id=160890&p=0
GGY,2018,gdp_current_usd,4231633000.0,fill_if_missing,https://gov.gg/CHttpHandler.ashx?id=160890&p=0,https://gov.gg/CHttpHandler.ashx?id=160890&p=0
GGY,2019,gdp_current_usd,4254880000.0,fill_if_missing,https://gov.gg/CHttpHandler.ashx?id=160890&p=0,https://gov.gg/CHttpHandler.ashx?id=160890&p=0
