iso3,year,commodity,sub_commodity,bgs_commodity_code,hs_code,production,unit,source
BFA,2016,"silver, mine",,1995,7106,5800.0,kilograms (metal content),BGS_WMS
GUF,2016,"gold, mine",,883,7108,6100.0,kilograms,BGS_WMS
GTM,2016,barytes,,1043,,500.0,tonnes (metric),BGS_WMS
GTM,2016,"nickel, mine",,19951,2604,36939.0,tonnes (metal content),BGS_WMS
GTM,2016,"silver, mine",,1995,7106,837815.0,kilograms (metal content),BGS_WMS
GTM,2016,bentonite and fuller's earth,Bentonite,596,,18081.0,tonnes (metric),BGS_WMS
GTM,2016,"petroleum, crude",,634,,475741.0,tonnes (metric),BGS_WMS
GTM,2016,feldspar,,643,,30428.0,tonnes (metric),BGS_WMS
GTM,2016,gypsum and plaster,,653,,130616.0,tonnes (metric),BGS_WMS
GTM,2016,kaolin,,697,,793.0,tonnes (metric),BGS_WMS
GTM,2016,magnesite,,712,,23137.0,tonnes (metric),BGS_WMS
GTM,2016,salt,,760,,60000.0,tonnes (metric),BGS_WMS
GTM,2016,talc,,774,,2733.0,tonnes (metric),BGS_WMS
GTM,2016,"antimony, mine",,821,2617,25.0,tonnes (metal content),BGS_WMS
GTM,2016,"gold, mine",,883,7108,3910.0,kilograms,BGS_WMS
GTM,2016,"lead, mine",,891,2607,9970.0,tonnes (metal content),BGS_WMS
GTM,2016,"nickel, smelter/refinery",,907,,8688.0,tonnes (metric),BGS_WMS
GTM,2016,"lead, refined",,929,,12000.0,tonnes (metric),BGS_WMS
GTM,2016,"steel, crude",,946,,314000.0,tonnes (metric),BGS_WMS
BFA,2016,kaolin,,697,,61.0,tonnes (metric),BGS_WMS
GTM,2016,"zinc, mine",,982,2608,14975.0,tonnes (metal content),BGS_WMS
BFA,2016,phosphate rock,,738,2510,1000.0,tonnes (metric),BGS_WMS
GUY,2016,bauxite,,589,2606,1479090.0,tonnes (metric),BGS_WMS
GUY,2016,diamond,,853,7102,139890.0,Carats,BGS_WMS
GUY,2016,"gold, mine",,883,7108,22167.0,kilograms,BGS_WMS
BFA,2016,"gold, mine",,883,7108,38520.0,kilograms,BGS_WMS
BFA,2016,"zinc, mine",,982,2608,81422.0,tonnes (metal content),BGS_WMS
HND,2016,"silver, mine",,1995,7106,17600.0,kilograms (metal content),BGS_WMS
HND,2016,gypsum and plaster,,653,,41750.0,tonnes (metric),BGS_WMS
HND,2016,salt,,760,,60000.0,tonnes (metric),BGS_WMS
HND,2016,"antimony, mine",,821,2617,6.0,tonnes (metal content),BGS_WMS
HND,2016,"gold, mine",,883,7108,2607.0,kilograms,BGS_WMS
HND,2016,"lead, mine",,891,2607,3985.0,tonnes (metal content),BGS_WMS
HND,2016,"zinc, mine",,982,2608,14579.0,tonnes (metal content),BGS_WMS
JAM,2016,bauxite,,589,2606,8540130.0,tonnes (metric),BGS_WMS
JAM,2016,gypsum and plaster,,653,,49703.0,tonnes (metric),BGS_WMS
JAM,2016,salt,,760,,14000.0,tonnes (metric),BGS_WMS
JAM,2016,alumina,,820,,1865278.0,tonnes (Al2O3 content),BGS_WMS
MEX,2016,barytes,,1043,,156854.0,tonnes (metric),BGS_WMS
MEX,2016,"copper, mine",,19941,2603,766129.0,tonnes (metal content),BGS_WMS
MEX,2016,"silver, mine",,1995,7106,5408521.0,kilograms (metal content),BGS_WMS
MEX,2016,bentonite and fuller's earth,Bentonite,596,,109176.0,tonnes (metric),BGS_WMS
MEX,2016,bentonite and fuller's earth,Fuller's earth,597,,111713.0,tonnes (metric),BGS_WMS
MEX,2016,cadmium,,602,,1244.0,tonnes (metric),BGS_WMS
MEX,2016,coal,Bituminous,610,,13676593.0,tonnes (metric),BGS_WMS
MEX,2016,"petroleum, crude",,634,,127077904.0,tonnes (metric),BGS_WMS
MEX,2016,diatomite,,642,,96686.0,tonnes (metric),BGS_WMS
MEX,2016,feldspar,,643,,127213.0,tonnes (metric),BGS_WMS
MEX,2016,fluorspar,,644,,655555.0,tonnes (metric),BGS_WMS
MEX,2016,graphite,,652,,14200.0,tonnes (metric),BGS_WMS
MEX,2016,gypsum and plaster,,653,,7682807.0,tonnes (metric),BGS_WMS
MEX,2016,iron ore,,662,2601,18317700.0,tonnes (metric),BGS_WMS
MEX,2016,kaolin,,697,,452070.0,tonnes (metric),BGS_WMS
MEX,2016,magnesite,,712,,101000.0,tonnes (metric),BGS_WMS
MEX,2016,mercury,,715,,240000.0,kilograms,BGS_WMS
MEX,2016,mica,,716,,145.0,tonnes (metric),BGS_WMS
MEX,2016,phosphate rock,,738,2510,3294266.0,tonnes (metric),BGS_WMS
MEX,2016,salt,,760,,9785053.0,tonnes (metric),BGS_WMS
MEX,2016,talc,,774,,11392.0,tonnes (metric),BGS_WMS
MEX,2016,"antimony, mine",,821,2617,166.0,tonnes (metal content),BGS_WMS
MEX,2016,"bismuth, mine",,834,2617,539.0,tonnes (metal content),BGS_WMS
MEX,2016,"copper, smelter",,850,,267843.0,tonnes (metric),BGS_WMS
MEX,2016,ferro-alloys,Ferro-manganese,863,,84529.0,tonnes (metric),BGS_WMS
MEX,2016,ferro-alloys,Ferro-silico-manganese,871,,134251.0,tonnes (metric),BGS_WMS
MEX,2016,"gold, mine",,883,7108,132413.0,kilograms,BGS_WMS
MEX,2016,"lead, mine",,891,2607,242071.0,tonnes (metal content),BGS_WMS
MEX,2016,manganese ore,,898,2602,549589.0,tonnes (metric),BGS_WMS
MEX,2016,"molybdenum, mine",,903,2613,11896.0,tonnes (metal content),BGS_WMS
MEX,2016,natural gas,,905,,52248.0,million cubic metres,BGS_WMS
MEX,2016,perlite,,908,,19000.0,tonnes (metric),BGS_WMS
MEX,2016,"iron, pig",,913,,9782000.0,tonnes (metric),BGS_WMS
MEX,2016,"copper, refined",,928,,462300.0,tonnes (metric),BGS_WMS
MEX,2016,"lead, refined",,929,,401400.0,tonnes (metric),BGS_WMS
MEX,2016,"selenium, refined",,939,,121.0,tonnes (metric),BGS_WMS
MEX,2016,"zinc, slab",,945,,321159.0,tonnes (metric),BGS_WMS
MEX,2016,"steel, crude",,946,,18811000.0,tonnes (metric),BGS_WMS
MEX,2016,strontium minerals,,947,,33230.0,tonnes (metric),BGS_WMS
MEX,2016,vermiculite,,979,,310.0,tonnes (metric),BGS_WMS
MEX,2016,wollastonite,,981,,63683.0,tonnes (metric),BGS_WMS
MEX,2016,"zinc, mine",,982,2608,661646.0,tonnes (metal content),BGS_WMS
BES,2016,salt,,760,,400000.0,tonnes (metric),BGS_WMS
