# Starter manual table of resource-related GOVERNMENT REVENUE for source countries with no/thin EITI/GRD coverage.
# STARTER ESTIMATES — verify before relying on them; `confidence` flags how rough each is.
# Sources for every row are documented in docs/extractive/manual_resource_data_sources.md.
# total_resource_revenue_usd_bn = the source country's resource government revenue for that commodity-year, USD billions.
# frac_pre_profit / frac_post_profit / frac_equity sum to 1: pre = royalties/licence-fees/bonuses/production-entitlements (expensed, NOT in CbCR profit);
#   post = corporate income tax + special petroleum/mining taxes + windfall (the profit-based take); equity = state dividends / state-participation income.
# domestic_share = fraction attributed to the source country's own NOC/state firms (lands on the (parent==partner) CbCR cell);
#   the rest (1-domestic_share) is distributed to IOC HQ countries by hq_share_<commodity> in 1_8.
source_iso3,commodity,year,total_resource_revenue_usd_bn,frac_pre_profit,frac_post_profit,frac_equity,domestic_share,confidence,source_note
ARE,oil_gas,2016,45.0,0.4089,0.3356,0.2556,0.95,high,"UAE oil & gas: IMF Article IV (CR19/35, CR23/223) hydrocarbon revenue table — oil income tax on operators (post, ~55% rate), royalty/production entitlement (pre), ADNOC profit transfers (equity). Replaces prior ADNOC-structure estimate. Sourced 2026-06."
ARE,oil_gas,2017,54.1,0.403,0.329,0.268,0.95,high,"UAE oil & gas: IMF Article IV (CR19/35, CR23/223) hydrocarbon revenue table — oil income tax on operators (post, ~55% rate), royalty/production entitlement (pre), ADNOC profit transfers (equity). Replaces prior ADNOC-structure estimate. Sourced 2026-06."
ARE,oil_gas,2018,81.3,0.4121,0.337,0.2509,0.95,high,"UAE oil & gas: IMF Article IV (CR19/35, CR23/223) hydrocarbon revenue table — oil income tax on operators (post, ~55% rate), royalty/production entitlement (pre), ADNOC profit transfers (equity). Replaces prior ADNOC-structure estimate. Sourced 2026-06."
ARE,oil_gas,2019,67.8,0.3997,0.3274,0.2729,0.95,high,"UAE oil & gas: IMF Article IV (CR19/35, CR23/223) hydrocarbon revenue table — oil income tax on operators (post, ~55% rate), royalty/production entitlement (pre), ADNOC profit transfers (equity). Replaces prior ADNOC-structure estimate. Sourced 2026-06."
ARE,oil_gas,2020,44.4,0.4189,0.3423,0.2387,0.95,high,"UAE oil & gas: IMF Article IV (CR19/35, CR23/223) hydrocarbon revenue table — oil income tax on operators (post, ~55% rate), royalty/production entitlement (pre), ADNOC profit transfers (equity). Replaces prior ADNOC-structure estimate. Sourced 2026-06."
ARE,oil_gas,2021,66.8,0.3743,0.3054,0.3204,0.95,high,"UAE oil & gas: IMF Article IV (CR19/35, CR23/223) hydrocarbon revenue table — oil income tax on operators (post, ~55% rate), royalty/production entitlement (pre), ADNOC profit transfers (equity). Replaces prior ADNOC-structure estimate. Sourced 2026-06."
ARE,oil_gas,2022,103.4,0.3801,0.3104,0.3095,0.95,high,"UAE oil & gas: IMF Article IV (CR19/35, CR23/223) hydrocarbon revenue table — oil income tax on operators (post, ~55% rate), royalty/production entitlement (pre), ADNOC profit transfers (equity). Replaces prior ADNOC-structure estimate. Sourced 2026-06."
AUS,coal,2016,2.34,0.906,0.094,0.0,0.45,high,Australia coal: state coal royalties (QLD Budget BP2 + NSW Resources Regulator) [pre] + ATO Taxation Statistics coal-mining net company tax [post]; equity 0. Sourced 2026-06.
AUS,coal,2017,4.71,0.811,0.189,0.0,0.45,high,Australia coal: state coal royalties (QLD Budget BP2 + NSW Resources Regulator) [pre] + ATO Taxation Statistics coal-mining net company tax [post]; equity 0. Sourced 2026-06.
AUS,coal,2018,5.93,0.6847,0.3153,0.0,0.45,high,Australia coal: state coal royalties (QLD Budget BP2 + NSW Resources Regulator) [pre] + ATO Taxation Statistics coal-mining net company tax [post]; equity 0. Sourced 2026-06.
