iso3,year,cit_revenue_usd
ARG,2015,20038836430.0
ARG,2016,16208314880.0
ARG,2017,17945070950.0
ARG,2018,14272059420.0
ARG,2019,12226613940.0
ARG,2020,10633811070.0
ARG,2021,11947444810.0
ARG,2022,18288213010.0
ARG,2023,14183964080.0
ARM,2015,216891938.96637398
ARM,2016,264699292.88305798
ARM,2017,227819929.175233
ARM,2018,352157344.557597
ARM,2019,377278779.210393
ARM,2020,304221054.52266204
ARM,2021,314833916.478098
ARM,2022,511421783.63345206
ARM,2023,819203374.184901
ATG,2015,19334439.0
ATG,2016,18192325.0
ATG,2017,24863539.0
ATG,2018,26482566.0
ATG,2019,26570330.0
ATG,2020,30223845.0
ATG,2021,28375044.0
ATG,2022,23655764.0
ATG,2023,37570824.0
AUS,2015,52306756000.0
AUS,2016,58702184000.0
AUS,2017,73788396000.0
AUS,2018,78746305000.0
AUS,2019,65356651000.0
AUS,2020,76377500000.0
AUS,2021,114888253000.0
AUS,2022,113790731000.0
AUS,2023,103299847000.0
AUT,2015,8498068999.999999
AUT,2016,9284403000.0
AUT,2017,10303949000.0
AUT,2018,12329351000.0
AUT,2019,12085151000.0
AUT,2020,9346008000.0
AUT,2021,13208438000.0
AUT,2022,16152083999.999998
AUT,2023,16882610000.0
AZE,2015,2154868155.5057
AZE,2016,1241641585.02772
AZE,2017,1344602572.7684202
AZE,2018,1470383140.07715
AZE,2019,1497636283.7574499
AZE,2020,1383367670.74596
AZE,2021,1740224781.92762
AZE,2022,5013184191.30496
AZE,2023,4720155254.04457
BEL,2015,15137979000.0
BEL,2016,16201638000.0
BEL,2017,20441231000.0
BEL,2018,23369309000.0
BEL,2019,19846050000.0
BEL,2020,17134319999.999998
BEL,2021,22494660000.0
BEL,2022,22831668000.0
BEL,2023,25154729000.0
BFA,2015,266114094.50000003
BFA,2016,328391653.4
BFA,2017,374391262.70000005
BFA,2018,444088117.0
BFA,2019,504256836.5
BFA,2020,484024536.9
BFA,2021,705147084.9
BFA,2022,817039983.6
BFA,2023,824464651.7
BGD,2015,3339556116.6961303
BGD,2016,4067698796.5725403
BGD,2017,3091072323.49255
BGD,2018,3364457411.4293203
BGD,2019,3356042900.8456597
BGD,2020,7129721024.76952
BGD,2021,6751873637.939651
BGD,2022,7891495135.634561
BGD,2023,9188854788.62459
BGR,2015,1105303655.0
BGR,2016,1204728206.0
BGR,2017,1363320828.0
BGR,2018,1495719836.0
BGR,2019,1583759954.0
BGR,2020,1509778621.0
BGR,2021,2391408553.0
BGR,2022,2637587293.0
BGR,2023,2947153442.0
BHS,2015,0.0
BHS,2016,0.0
BHS,2017,0.0
BHS,2018,0.0
BHS,2019,0.0
BHS,2020,0.0
BHS,2021,0.0
BHS,2022,0.0
BHS,2023,0.0
BLZ,2015,79706907.0
BLZ,2016,81122587.0
BLZ,2017,82937529.0
BLZ,2018,86488479.0
BLZ,2019,86871015.0
BLZ,2020,66907288.99999999
BLZ,2021,62814754.0
BLZ,2022,89153285.0
BLZ,2023,104713250.0
BOL,2015,1793261354.0
BOL,2016,1513004580.0
BOL,2017,1406690320.0
BOL,2018,1467351567.0
BOL,2019,1579937031.0
BOL,2020,1010408698.0
BOL,2021,1047680758.0
BOL,2022,1442514871.0
BOL,2023,1184310065.0
BRA,2015,49252949520.0
BRA,2016,56724512770.0
