# Canonical GDP: World Bank WDI indicator NY.GDP.MKTP.CD (GDP, current US$),
# all reporting countries, 2016-2022. Fetched 2026-07-19 from
# https://api.worldbank.org/v2/country/all/indicator/NY.GDP.MKTP.CD . WB aggregate
# rows dropped (iso3 filtered against pycountry). SINGLE canonical GDP for the repo
# (CbCR pipeline + extractive WB-GDP reference). Refresh: re-run src/_fetch_canonical_gdp.py.
iso3,year,gdp_current_usd
ABW,2016,2983637430.1676
ABW,2017,3092427932.96089
ABW,2018,3276187709.49721
ABW,2019,3347561738.94591
ABW,2020,2461056053.22795
ABW,2021,2889305033.55975
ABW,2022,3326671314.7742
AFG,2016,18116572395.0772
AFG,2017,18753456497.8159
AFG,2018,18053222687.4126
AFG,2019,18799444490.1128
AFG,2020,19955929052.1496
AFG,2021,14259995441.0759
AFG,2022,14497243872.1337
AGO,2016,60770049747.3832
AGO,2017,85629598654.1906
AGO,2018,90506061877.2765
AGO,2019,81193813808.0382
AGO,2020,58512033805.8981
AGO,2021,78283923543.8237
AGO,2022,128233959333.275
ALB,2016,11988668784.6628
ALB,2017,13258268435.6048
ALB,2018,15379508329.7568
ALB,2019,15585111614.0376
ALB,2020,15241458744.5927
ALB,2021,18031989573.0294
ALB,2022,19017247013.8821
AND,2016,2896610479.86771
AND,2017,3000162081.22353
AND,2018,3218419896.93333
AND,2019,3155149347.92156
AND,2020,2891001149.40079
AND,2021,3324647529.41855
AND,2022,3380612573.4825
ARE,2016,381717208620.964
ARE,2017,403365056078.846
ARE,2018,440560003161.236
ARE,2019,433926218686.108
ARE,2020,357161776271.328
ARE,2021,422441282436.237
ARE,2022,511403404642.173
ARG,2016,557532320662.955
ARG,2017,643628393281.364
ARG,2018,524819892360.176
ARG,2019,447754683615.225
ARG,2020,385740508436.965
ARG,2021,486564085480.036
ARG,2022,633993756301.08
ARM,2016,10546136235.5219
ARM,2017,11527458709.0158
ARM,2018,12457940694.7395
ARM,2019,13619290539.2116
ARM,2020,12641698583.2152
ARM,2021,13878908628.9378
ARM,2022,19513506553.1251
ASM,2016,671000000
ASM,2017,612000000
ASM,2018,639000000
ASM,2019,647000000
ASM,2020,721000000
ASM,2021,750000000
ASM,2022,871000000
ATG,2016,1489603703.7037
ATG,2017,1534855555.55556
ATG,2018,1661529629.62963
ATG,2019,1726448148.14815
ATG,2020,1411637037.03704
ATG,2021,1602125925.92593
ATG,2022,1857114814.81481
AUS,2016,1211588128417.61
AUS,2017,1330890554614.09
AUS,2018,1433144978761.67
AUS,2019,1398349602956.35
AUS,2020,1333336461648.09
AUS,2021,1560617493202.69
AUS,2022,1695627535475.8
AUT,2016,393687359770.273
AUT,2017,414926138132.691
AUT,2018,452582294972.775
AUT,2019,442983642371.842
AUT,2020,434397601557.696
AUT,2021,480466363176.806
AUT,2022,473221298968.216
AZE,2016,37866996882.9157
AZE,2017,40866627351.9817
AZE,2018,47112470051.7701
AZE,2019,48174235294.1176
AZE,2020,42693000000
AZE,2021,54825411764.7059
AZE,2022,78807470588.2353
BDI,2016,2618093125.14687
BDI,2017,2831362208.34039
BDI,2018,2913411408.44783
BDI,2019,2871555326.31029
BDI,2020,3188355943.63513
BDI,2021,3425127990.70519
BDI,2022,4020736756.64256
BEL,2016,474271566739.729
BEL,2017,500908767351.53
BEL,2018,542638913427.921
BEL,2019,536726344405.489
BEL,2020,529694473501.791
BEL,2021,598522422241.851
BEL,2022,591474463578.602
BEN,2016,11821065853.3838
BEN,2017,12701655836.9467
BEN,2018,14262408089.9261
BEN,2019,14391686313.4641
BEN,2020,15686741883.934
BEN,2021,17687623530.3355
BEN,2022,17425405090.862
BFA,2016,12833363045.3367
BFA,2017,14106955615.3442
BFA,2018,15890066221.2882
BFA,2019,16032813503.3707
BFA,2020,17725010532.5268
BFA,2021,19697516284.3787
BFA,2022,18622421394.6133
BGD,2016,265224515675.034
BGD,2017,293732446624.596
BGD,2018,321362752441.78
BGD,2019,351231654603.692
BGD,2020,373979442362.193
BGD,2021,416271647911.014
BGD,2022,460131689083.083
BGR,2016,53932152153.5457
BGR,2017,59170671046.4798
BGR,2018,66100606676.6544
BGR,2019,68511235459.4907
BGR,2020,70490478088.1395
BGR,2021,84378926047.3002
BGR,2022,90510784777.6397
BHR,2016,33884680851.0638
BHR,2017,37204813829.7872
BHR,2018,39567978723.4043
BHR,2019,40446808510.6383
BHR,2020,35837632978.7234
BHR,2021,40840212765.9574
BHR,2022,46458191489.3617
BHS,2016,11880900000
BHS,2017,12446900000
BHS,2018,12819200000
BHS,2019,13277000000
BHS,2020,10363200000
BHS,2021,12037000000
BHS,2022,13896800000
BIH,2016,17116926553.8513
BIH,2017,18326373135.6099
BIH,2018,20484058033.1144
BIH,2019,20482608984.3316
BIH,2020,20226038369.9191
BIH,2021,23672712121.2671
BIH,2022,24534663636.1778
BLR,2016,47723545321.259
BLR,2017,54725405751.1559
BLR,2018,60031026576.26
BLR,2019,64410170653.4569
BLR,2020,61371673344.7424
BLR,2021,69673747131.87
BLR,2022,73775179924.603
BLZ,2016,2239604950
BLZ,2017,2266028250
BLZ,2018,2285915050
BLZ,2019,2381187850
BLZ,2020,2047284600
BLZ,2021,2428606250
BLZ,2022,2846604350
BMU,2016,6899911000
BMU,2017,7142316000
BMU,2018,7225977000
BMU,2019,7423465000
BMU,2020,6887364000
BMU,2021,7290037000
BMU,2022,7767884000
BOL,2016,33941126193.9219
BOL,2017,45927439594.7902
BOL,2018,48414038842.2576
BOL,2019,49056643589.0014
BOL,2020,42313784081.042
BOL,2021,47877892402.3155
BOL,2022,50959081953.6903
BRA,2016,1795693482853.01
BRA,2017,2063514977365.65
BRA,2018,1916933898010.99
BRA,2019,1873288205059.69
BRA,2020,1476107231310.49
BRA,2021,1670647398904.9
BRA,2022,1951923942083.32
BRB,2016,5679029450
BRB,2017,5847381600
BRB,2018,6001101550
BRB,2019,6166710800
BRB,2020,5403246950
BRB,2021,5948900600
BRB,2022,6886644900
BRN,2016,11400266044.6651
BRN,2017,12128168045.1245
BRN,2018,13566908391.0895
BRN,2019,13469235364.7032
BRN,2020,12005799653.9835
BRN,2021,14006496617.4458
BRN,2022,16681536466.7183
BTN,2016,2357504760.78592
BTN,2017,2591358009.20276
BTN,2018,2583335721.85904
BTN,2019,2735683570.46155
BTN,2020,2457604333.90927
BTN,2021,2768802960.11204
BTN,2022,2898227743.75576
BWA,2016,15082637184.0496
BWA,2017,16105155856.7708
BWA,2018,17031943186.1353
BWA,2019,16725908148.5481
BWA,2020,14960251607.8135
BWA,2021,18750182236.2211
BWA,2022,20321150599.1523
CAF,2016,1825018144.65595
CAF,2017,2072349972.6818
CAF,2018,2220979146.11241
CAF,2019,2221301351.43918
CAF,2020,2326720900.38047
CAF,2021,2516498412.46384
CAF,2022,2382618615.01694
CAN,2016,1527996250640.92
CAN,2017,1649269496514.62
CAN,2018,1725330736237.69
CAN,2019,1743728952156.85
CAN,2020,1655686966881.99
CAN,2021,2022377950896.78
CAN,2022,2200562785046.32
CHE,2016,698607778794.566
CHE,2017,706660443624.485
CHE,2018,740766531453.991
CHE,2019,736384764156.877
CHE,2020,756096180222.082
CHE,2021,840710023481.35
CHE,2022,858479038993.75
CHL,2016,249344863928.438
CHL,2017,276154259981.097
CHL,2018,295857562991.709
CHL,2019,278308438545.118
CHL,2020,254103710483.324
CHL,2021,315507493783.262
CHL,2022,301099244104.003
CHN,2016,11456024084962
CHN,2017,12537559062282.9
CHN,2018,14147765772963.8
CHN,2019,14560167101283.4
CHN,2020,14996414166715.1
CHN,2021,18201698719564
CHN,2022,18316765021690.2
CIV,2016,48407761036.8238
CIV,2017,52512343996.69
CIV,2018,58522477786.6889
CIV,2019,60382894697.3557
CIV,2020,63027852805.4204
CIV,2021,72794636653.7793
CIV,2022,70922824813.9102
CMR,2016,33814337044.3765
CMR,2017,36098547033.1655
CMR,2018,39955552189.795
CMR,2019,39667757527.6578
CMR,2020,40773241177.0505
CMR,2021,45011937346.8384
CMR,2022,44347206072.5513
COD,2016,38600224214.4728
COD,2017,37537521565.5308
COD,2018,46659954092.4862
COD,2019,46845900350.0332
COD,2020,46691989748.9186
COD,2021,59067289573.5102
COD,2022,70422346142.2023
COG,2016,10931328150.8478
COG,2017,11834473039.3645
COG,2018,14773900288.5135
COG,2019,13976637779.9763
COG,2020,11468687464.0046
COG,2021,14825690210.9157
COG,2022,15817030154.6941
COL,2016,282720100286.228
COL,2017,311866875156.879
COL,2018,334198218098.276
COL,2019,323031701192.84
COL,2020,270348342541.465
COL,2021,318524633225.395
COL,2022,345632492851.448
COM,2016,1012835493.19325
COM,2017,1077439756.59451
