,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,revenue_loss_incurred,revenue_loss_inflicted,revenue_loss_inflicted_pct,etr_average_corrected,cit
0,Afghanistan,20.617034058934554,0.0,20.617034058934554,4.123406811786911,0.0,0.0,0.2063745106538741,0.2
1,Albania,20.751082629069163,23.400739764245856,-2.6496571351766924,3.1126623943603744,5.717139682373107,0.0035468339338767577,0.0861303706942517,0.15
2,Algeria,1289.3509033850785,0.0,1289.3509033850785,335.23123488012044,0.0,0.0,0.4978240894778786,0.26
3,American Samoa,-0.0,46.90318800375262,-46.90318800375262,-0.0,11.459128218492122,0.007109083750971422,0.1161426815163184,0.34
4,Andorra,-0.0,9.83530672453386,-9.83530672453386,-0.0,2.402907896486995,0.0014907306346768896,0.0318948207127207,0.0
5,Angola,23.06787950993862,0.0,23.06787950993862,6.920363852981586,0.0,0.0,0.2499214905647195,0.3
6,Anguilla,3.2661039994758285,6.7645998095874855,-3.498495810111657,0.0,1.6526897182052633,0.0010253057123604304,0.0,0.0
7,Antigua and Barbuda,0.23268773565213124,0.0,0.23268773565213124,0.05817193391303281,0.0,0.0,0.0,0.25
8,Argentina,3124.021159664819,0.0,3124.021159664819,937.2063478994457,0.0,0.0,0.2541279525878647,0.3
9,Armenia,30.552631651054313,0.0,30.552631651054313,6.110526330210863,0.0,0.0,1.713032889060857,0.2
10,Aruba,0.11757625624626154,46.48206191285984,-46.36448565661358,0.029394064061565386,11.356241014507042,0.007045253960773868,0.0,0.25
11,Australia,8934.953254072014,0.0,8934.953254072014,2680.4859762216042,0.0,0.0,0.3085691710434611,0.3
12,Austria,1641.859695443293,6424.321151685352,-4782.461456242058,410.46492386082326,1569.5547131688252,0.9737299116387208,0.1120540402077095,0.25
13,Azerbaijan,36.51034846418774,0.0,36.51034846418774,7.302069692837549,0.0,0.0,0.162543014447504,0.2
14,Bahamas,964.6063247073139,36.87411296467526,927.7322117426386,0.0,9.008879916042586,0.005588983786937558,0.0035269961996583,0.0
15,Bahrain,305.9776232260124,125.14547301723051,180.83215020878185,0.0,30.574851780939813,0.0189682127505543,0.0108263939735142,0.0
16,Bangladesh,309.97947038865476,0.0,309.97947038865476,77.49486759716369,0.0,0.0,0.3749218770982083,0.25
17,Barbados,103.10114959625274,5112.65230164872,-5009.551152052467,5.670563227793901,1249.0950136795427,0.7749211716506258,0.0081760584512136,0.055
18,Belarus,49.87547781997493,0.0,49.87547781997493,8.977586007595487,0.0,0.0,0.1657153110604107,0.18
19,Belgium,44815.77487297496,0.0,44815.77487297496,13256.506207425993,0.0,0.0,0.193183972712142,0.2958
20,Belize,-0.0,1.656418641888055,-1.656418641888055,-0.0,0.40468706731357307,0.000251062227388688,0.0439639765509934,0.25
21,Benin,39.659127891687476,0.0,39.659127891687476,11.897738367506243,0.0,0.0,inf,0.3
22,Bermuda,1159.1935115282604,22509.928878565446,-21350.735367037185,0.0,5499.501679672232,3.4118143443326012,0.013724512619564,0.0
23,Bolivia,226.9167496742541,0.0,226.9167496742541,56.72918741856353,0.0,0.0,0.1680265206253144,0.25
24,Bosnia and Herzegovina,67.56190356201847,74.04474756023453,-6.482843998216055,6.756190356201848,18.090204361603814,0.011222911152289452,0.1112124348996468,0.1
25,Botswana,58.935264243373595,0.0,58.935264243373595,12.965758133542192,0.0,0.0,0.3320142588842545,0.22
26,Brazil,12977.463754901013,0.0,12977.463754901013,4412.337676666345,0.0,0.0,0.2328018584675387,0.34
27,British Virgin Islands,951.6065229066035,11502.120881790062,-10550.514358883458,0.0,2810.13473878327,1.7433685031367294,0.0060195799699893,0.0
28,Brunei Darussalam,53.9080417508268,40.22991994486302,13.678121805963777,9.972987723902957,9.82875216991594,0.006097621128867078,0.0648098557069923,0.185
29,Bulgaria,533.5430800367935,672.9198387664213,-139.3767587296278,53.35430800367936,164.40406380424548,0.10199399433356066,0.105166238923721,0.1
30,Burkina Faso,31.724234853742402,0.0,31.724234853742402,8.882785759047874,0.0,0.0,0.157967385223003,0.28
31,Cabo Verde,-0.0,14.913687027881458,-14.913687027881458,-0.0,3.6436297645542384,0.0022604572232595944,0.0,0.22
32,Cambodia,577.1828547395895,0.0,577.1828547395895,115.43657094791791,0.0,0.0,0.2546729413363211,0.2
33,Cameroon,51.74258996963817,0.0,51.74258996963817,17.075054689980597,0.0,0.0,0.3687217348354439,0.33
34,Canada,19988.70975283572,1533.5640615526409,18455.145691283076,5320.994536204868,374.67191379821037,0.23244124365672866,0.1467051301877468,0.2662
35,Cayman Islands,7874.491759739622,41113.905920618134,-33239.414160878514,0.0,10044.722748263755,6.231606271536367,0.0027587914826526,0.0
36,Central African Republic,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.2049404563384232,0.3
37,Chad,3.0984187677801023,0.0,3.0984187677801023,1.0844465687230358,0.0,0.0,inf,0.35
38,Chile,4187.853673710693,0.0,4187.853673710693,1046.9634184276733,0.0,0.0,0.3640455364601989,0.25
39,China (People's Republic of),7670.118516958279,0.0,7670.118516958279,1917.5296292395697,0.0,0.0,0.1749403698380284,0.25
40,Chinese Taipei,919.1128915193852,0.0,919.1128915193852,183.82257830387707,0.0,0.0,0.21162819317897,0.2
41,Colombia,3134.9000872775887,3671.3486999764073,-536.4486126988186,1034.5170288016043,896.9636666159677,0.5564637820581436,0.1447699628706242,0.33
42,Congo,691.0141421817939,0.0,691.0141421817939,207.30424265453817,0.0,0.0,0.0197041046109603,0.3
43,Cook Islands,9.44986531924317,4.965529095027291,4.484336224215879,1.889973063848634,1.2131506832332675,0.0007526218090252211,0.0049880409151699,0.2
44,Costa Rica,544.8241907925062,0.0,544.8241907925062,163.44725723775187,0.0,0.0,0.1708568605582438,0.3
45,Croatia,126.54657356802241,0.0,126.54657356802241,22.778383242244033,0.0,0.0,0.2262312630209246,0.18
46,Cuba,1.1447524409392933,2.2027963892371787,-1.0580439482978854,0.4006633543287526,0.5381750652318291,0.00033387632448718917,0.0,0.35
47,Curacao,4.585249666817981,1442.2913047301947,-1437.7060550633767,1.0087549266999558,352.3726572274207,0.21860709506152223,0.0153284541020206,0.22
48,Cyprus,1345.8575602033338,701.407686401737,644.4498738015968,168.23219502541673,171.36405762589854,0.10631187768742072,0.085211091027453,0.125
49,Czechia,1384.7930320612693,0.0,1384.7930320612693,263.11067609164115,0.0,0.0,0.1503935466877026,0.19
50,Côte d'Ivoire,237.80122612785536,42.369364450391835,195.43186167746353,59.45030653196384,10.351449452310511,0.0064218952521770565,0.09714022668622,0.25
51,Democratic Republic of the Congo,1694.0216565193784,0.0,1694.0216565193784,474.326063825426,0.0,0.0,0.2920674908798368,0.28
52,Denmark,4372.63564539368,11588.346687845851,-7215.711042452172,961.9798419866095,2831.200952177061,1.7564376888964819,0.1456260256273773,0.22
53,Djibouti,2.406188714496916,0.0,2.406188714496916,0.601547178624229,0.0,0.0,0.0,0.25
54,Dominican Republic,232.21848502705282,0.0,232.21848502705282,62.69899095730427,0.0,0.0,0.1621096739074673,0.27
55,Ecuador,100.34415061140957,0.0,100.34415061140957,25.086037652852394,0.0,0.0,0.2920390066362101,0.25
56,Egypt,1182.0477365342863,0.0,1182.0477365342863,265.9607407202144,0.0,0.0,0.2973815871780693,0.225
57,El Salvador,164.622165887735,0.0,164.622165887735,49.3866497663205,0.0,0.0,0.2033021147077683,0.3
58,Equatorial Guinea,44.88494630620797,0.0,44.88494630620797,15.709731207172789,0.0,0.0,0.1912459664116653,0.35
59,Estonia,173.70132342665875,1.244775668525763,172.45654775813298,34.74026468533175,0.3041167263034387,0.00018866978675336705,0.0785822523619544,0.2
60,Eswatini,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.2551774622839661,0.275
61,Ethiopia,293.2724981718976,0.0,293.2724981718976,87.98174945156929,0.0,0.0,0.3568636947905252,0.3
62,Faeroe Islands,0.2937171249829877,0.00017308203910876773,0.2935440429438789,0.05286908249693778,4.2286449234682136e-05,2.6233924903243143e-08,0.0873408340714805,0.18
63,Fiji,8.605119259045365,0.0,8.605119259045365,1.721023851809073,0.0,0.0,0.1673011276885848,0.2
64,Finland,2558.8930623201695,0.0,2558.8930623201695,511.7786124640339,0.0,0.0,0.2052277059559278,0.2
65,France,37781.18151888617,0.0,37781.18151888617,13008.06079695251,0.0,0.0,0.2384006291617942,0.3443
66,French Guiana,-0.0,1.612215889004379,-1.612215889004379,-0.0,0.3938876945105166,0.0002443624467202949,0.0,0.28
67,French Polynesia,0.012665222334364906,58.065509763957685,-58.05284454162332,0.003419610030278525,14.18624510990728,0.008800949136374215,0.00343584143833,0.27
68,Gabon,27.948259039860208,0.0,27.948259039860208,8.384477711958063,0.0,0.0,0.320956623087165,0.3
69,Gambia,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.4170096659070711,0.31
70,Georgia,84.77075808268356,2.3926651869413145,82.37809289574224,12.715613712402533,0.5845627627463043,0.0003626546067751001,0.0916623124413189,0.15
71,Germany,19368.16539649254,0.0,19368.16539649254,5790.511835806958,0.0,0.0,0.2158965720376348,0.29897059
72,Ghana,229.09784031470014,0.0,229.09784031470014,57.274460078675034,0.0,0.0,0.2100165285218892,0.25
