,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,revenue_loss_incurred,revenue_loss_inflicted,revenue_loss_inflicted_pct,etr_average_corrected,cit
0,Albania,0.18431151434368578,33.72177212177809,-33.537460607434404,0.027646727151552867,8.226074879872494,0.01559921119355712,0.1122164207497937,0.15
2,Argentina,1878.769136613576,0.0,1878.769136613576,563.6307409840728,0.0,0.0,0.3211686673312313,0.3
3,Armenia,8.938540807386417,0.0,8.938540807386417,1.608937345329555,0.0,0.0,0.4531761126792806,0.18
4,Australia,3593.047162895545,0.0,3593.047162895545,1077.9141488686635,0.0,0.0,0.2854490401083882,0.3
5,Austria,32.25898626629596,3645.0133208377247,-3612.754334571429,8.06474656657399,889.1630133512335,1.6861312148644743,0.1333104693787786,0.25
6,Azerbaijan,40.277850766542024,0.0,40.277850766542024,8.055570153308405,0.0,0.0,1.0398099364069084,0.2
11,Bahamas,66.75667866250608,2997.0295593287847,-2930.2728806662785,0.0,731.0941276513761,1.3863831616106073,0.0052572112135009,0.0
9,Bangladesh,141.18805601040955,0.0,141.18805601040955,35.29701400260239,0.0,0.0,0.3891656449944551,0.25
13,Belarus,6.598803509913119,159.48756120591466,-152.88875769600153,1.1877846317843614,38.9053284670297,0.07377667285728781,0.1270843152927071,0.18
7,Belgium,1482.9147136579534,0.0,1482.9147136579534,370.72867841448834,0.0,0.0,0.1778192921858134,0.25
12,Bosnia and Herzegovina,5.241269942721682,0.0,5.241269942721682,0.5241269942721682,0.0,0.0,0.1582262115627837,0.1
15,Botswana,5.951203053982773,0.0,5.951203053982773,1.3092646718762102,0.0,0.0,0.1740332514890426,0.22
14,Brazil,2606.8087861351523,0.0,2606.8087861351523,886.3149872859518,0.0,0.0,0.2731521922644243,0.34
10,Bulgaria,69.26728438002013,986.5885929624097,-917.3213085823896,6.926728438002013,240.66800558490038,0.45638182261589594,0.0892248195779542,0.1
8,Burkina Faso,4.096350017405441,122.14193417856937,-118.04558416116393,1.1469780048735236,29.795251948710174,0.05650111803022861,0.1226268545670642,0.28
58,Cambodia,211.89987306954922,806.5976823561087,-594.6978092865595,42.379974613909845,196.76109870595675,0.3731205925319918,0.114732007924916,0.2
22,Cameroon,37.114891920313546,0.0,37.114891920313546,12.247914333703472,0.0,0.0,0.6396399704516,0.33
17,Canada,9655.74738926949,0.0,9655.74738926949,2555.876333939634,0.0,0.0,0.1644881863389825,0.2647
16,Central African Republic,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.2548756971628439,0.3
19,Chile,935.1825762079712,0.0,935.1825762079712,233.7956440519928,0.0,0.0,0.2575883845575975,0.25
20,China (People's Republic of),279.6928248649368,0.0,279.6928248649368,69.9232062162342,0.0,0.0,0.1738352431567296,0.25
24,Colombia,1104.2101658162642,0.0,1104.2101658162642,353.3472530612045,0.0,0.0,0.7534730198698427,0.32
23,Congo,108.90643882107543,0.0,108.90643882107543,32.671931646322626,0.0,0.0,0.2833776618712972,0.3
25,Costa Rica,58.72217575561574,0.0,58.72217575561574,17.61665272668472,0.0,0.0,0.2192339267428901,0.3
46,Croatia,32.347223121826225,0.0,32.347223121826225,5.82250016192872,0.0,0.0,0.3071090996941779,0.18
26,Cyprus,778.8389268589742,832.5291398536043,-53.69021299463009,97.35486585737178,203.08680751948816,0.38511611520498157,0.0530072202761989,0.125
27,Czechia,153.79187730793893,0.0,153.79187730793893,29.2204566885084,0.0,0.0,0.2148182942233547,0.19
21,Côte d'Ivoire,27.470375026175606,0.0,27.470375026175606,6.867593756543902,0.0,0.0,0.2254187860692068,0.25
29,Denmark,435.1237648483425,0.0,435.1237648483425,95.72722826663535,0.0,0.0,0.1831771587475247,0.22
30,Dominican Republic,84.88406042311794,260.2290275380721,-175.34496711495416,22.918696314241846,63.48015930817899,0.12037823945316238,0.1196731371221362,0.27
31,Ecuador,35.927396086779744,0.0,35.927396086779744,8.981849021694936,0.0,0.0,0.4695942256005559,0.25
99,El Salvador,38.63156633046634,0.0,38.63156633046634,11.589469899139901,0.0,0.0,0.2208083328516767,0.3
42,Equatorial Guinea,341.10518540808545,0.0,341.10518540808545,119.3868148928299,0.0,0.0,0.904658159728538,0.35
33,Estonia,330.87888765379756,53.64177068638569,277.23711696741185,66.17577753075952,13.08535093475067,0.024813918637238287,0.0399644722973961,0.2
34,Ethiopia,42.7682451328795,0.0,42.7682451328795,12.83047353986385,0.0,0.0,0.3442346968211514,0.3
36,Fiji,9.274218631012197,0.0,9.274218631012197,1.8548437262024393,0.0,0.0,0.3174325650953426,0.2
35,Finland,83.60719120355435,0.0,83.60719120355435,16.72143824071087,0.0,0.0,0.2149179211163623,0.2
37,France,7828.030568038052,0.0,7828.030568038052,2506.535387885784,0.0,0.0,0.2920999827495552,0.3202
40,Georgia,356.33979261416704,0.0,356.33979261416704,53.450968892125054,0.0,0.0,0.4026301339324546,0.15
28,Germany,7633.336379824342,0.0,7633.336379824342,2282.1430811445475,0.0,0.0,0.2297880125416909,0.29897059
41,Ghana,260.62498446673095,0.0,260.62498446673095,65.15624611668274,0.0,0.0,0.302453903235119,0.25
43,Greece,716.7536346074442,0.0,716.7536346074442,172.02087230578658,0.0,0.0,0.1798492624659525,0.24
44,Guatemala,13.337499171866343,0.0,13.337499171866343,3.3343747929665857,0.0,0.0,0.3031031413152267,0.25
