,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,revenue_loss_incurred,revenue_loss_inflicted,revenue_loss_inflicted_pct,etr_average_corrected,cit
0,Afghanistan,8.76301393828298,0.866389925931967,7.896624012351012,1.752602787656596,0.19775641963321916,0.00020939458727657644,0.0083087752729806,0.2
1,Albania,0.15829048663898382,34.374096387694365,-34.21580590105538,0.023743572995847572,7.846003313629708,0.008307748636809196,0.1122164207497937,0.15
2,Algeria,795.546456023082,0.0,795.546456023082,206.84207856600133,0.0,0.0,0.2478132197273419,0.26
3,Andorra,-0.0,26.31578240804184,-26.31578240804184,-0.0,6.006665997718285,0.006360164437813205,0.0112195569995938,0.0
4,Angola,642.4669293051004,0.0,642.4669293051004,192.74007879153012,0.0,0.0,0.2107039886059228,0.3
5,Anguilla,0.32415400230958197,0.0,0.32415400230958197,0.0,0.0,0.0,0.0,0.0
6,Antigua and Barbuda,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.2601633924412352,0.25
7,Argentina,2285.6682422099466,0.0,2285.6682422099466,685.700472662984,0.0,0.0,0.3211686673312313,0.3
8,Armenia,41.89648417888402,0.0,41.89648417888402,7.541367152199124,0.0,0.0,0.4531761126792806,0.18
9,Aruba,8.500144870736909,0.010967287022446882,8.489177583714461,2.1250362176842272,0.0025033202138355346,2.6506431698622375e-06,0.0,0.25
10,Australia,4961.837828744998,0.0,4961.837828744998,1488.5513486234993,0.0,0.0,0.2854490401083882,0.3
11,Austria,155.6344966754081,3063.2822223675053,-2907.647725692097,38.90862416885202,699.2044880598687,0.7403533876208599,0.1333104693787786,0.25
12,Azerbaijan,8.663040614166373,0.0,8.663040614166373,1.7326081228332748,0.0,0.0,1.0398099364069084,0.2
13,Bahamas,119.95007924982444,3306.1853222884233,-3186.235243038599,0.0,754.6479390054684,0.799059742385349,0.0052572112135009,0.0
14,Bahrain,107.4670336382883,587.1875187519313,-479.720485113643,0.0,134.0275295061706,0.14191518675699902,0.0058177672609967,0.0
15,Bangladesh,121.24402293542256,0.0,121.24402293542256,30.31100573385564,0.0,0.0,0.3891656449944551,0.25
16,Barbados,48.1675307307466,4646.424554301115,-4598.257023570368,2.649214190191063,1060.5620592437704,1.1229772216165312,0.023366065694521,0.055
17,Belarus,5.589759812212506,167.4813415702968,-161.89158175808427,1.0061567661982511,38.22818049122942,0.04047794802890339,0.1270843152927071,0.18
18,Belgium,2572.8440060950757,0.0,2572.8440060950757,643.2110015237689,0.0,0.0,0.1778192921858134,0.25
19,Belize,0.38605405682602034,0.37740093545066034,0.008653121375360007,0.0,0.08614303505510845,9.121264081121179e-05,0.0,0.0
20,Benin,13.939155512823586,0.0,13.939155512823586,4.181746653847076,0.0,0.0,0.1911551973877369,0.3
21,Bermuda,278.39731770139076,36796.135728195986,-36517.738410494596,0.0,8398.84195342942,8.89312239623561,0.0114138258427985,0.0
22,Bolivia,99.18678812779535,0.0,99.18678812779535,24.79669703194884,0.0,0.0,0.1706789466454232,0.25
23,Bosnia and Herzegovina,4.153856110217479,0.0,4.153856110217479,0.4153856110217479,0.0,0.0,0.1582262115627837,0.1
24,Botswana,5.830275790796978,0.0,5.830275790796978,1.2826606739753352,0.0,0.0,0.1740332514890426,0.22
25,Brazil,1679.9314085577544,0.0,1679.9314085577544,571.1766789096365,0.0,0.0,0.2731521922644243,0.34
26,British Virgin Islands,157.38652292840746,22510.48413997605,-22353.097617047642,0.0,5138.09384722877,5.44047592752866,0.0060260782519731,0.0
27,Brunei Darussalam,64.93762229908712,92.68830577080577,-27.750683471718645,12.013460125331118,21.15641807744534,0.022401494928932304,0.0562370883846577,0.185
28,Bulgaria,62.9791630954334,1015.8951922977442,-952.9160292023108,6.29791630954334,231.8815003940595,0.24552796395759155,0.0892248195779542,0.1
29,Burkina Faso,2.6903615541739208,120.33223861852669,-117.64187706435277,0.7533012351686978,27.466238887822243,0.02908265515032257,0.1226268545670642,0.28
30,Cabo Verde,5.410715866142577,0.0,5.410715866142577,1.190357490551367,0.0,0.0,0.0,0.22
31,Cambodia,160.14286694852612,804.3396605363251,-644.196793587799,32.02857338970522,183.59323749703083,0.1943978873796495,0.114732007924916,0.2
32,Cameroon,46.21931008941517,0.0,46.21931008941517,15.252372329507006,0.0,0.0,0.6396399704516,0.33
33,Canada,9011.152761939187,0.0,9011.152761939187,2385.252136085303,0.0,0.0,0.1644881863389825,0.2647
34,Cayman Islands,21366.110808791997,21860.619399940075,-494.50859114807827,0.0,4989.760030792543,5.2834125142173205,0.0125268767194662,0.0
35,Central African Republic,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.2548756971628439,0.3
36,Chad,2.2653636564554342,1.6728639909643246,0.5924996654911097,0.7928772797594019,0.3818368421477009,0.00040430833101045036,0.0724776173739825,0.35
37,Chile,914.1587970033389,0.0,914.1587970033389,228.53969925083473,0.0,0.0,0.2575883845575975,0.25
