,iso_partner,year,median_positive_misalignment,median_negative_misalignment,avg_positive_misalignment,avg_negative_misalignment,sd_positive_misalignment,sd_negative_misalignment,percentile_2_5_positive_misalignment,percentile_2_5_negative_misalignment,percentile_97_5_positive_misalignment,percentile_97_5_negative_misalignment,gdp_current_usd,gvt_health_expenditure,population,cit,etr_average_corrected,total_avg_positive_misalignment,total_avg_negative_misalignment,loss_incurred_cit_usd,loss_incurred_etr_usd,loss_incurred_cit_2_5,loss_incurred_etr_2_5,loss_incurred_cit_97_5,loss_incurred_etr_97_5,total_loss_cit,total_loss_etr,loss_incurred_cit_share,loss_incurred_etr_share,loss_inflicted_share,loss_inflicted_cit_usd,loss_inflicted_etr_usd
0,ABW,2016,1.579722754,0.0,1.575600039,0.0,0.067895257,0.0,1.526944929,0.0,1.623876004,0.0,2983798883.0,,104874.0,0.25,,5396.176697908,-5396.176698087,0.0,,0.0,,0.0,,-1445.0701935246384,-1710.2863597030894,-0.0,,0.0002919845155572521,-0.4219381204025161,-0.4993771342020828
1,ABW,2017,0.0,-175.4709242,0.0,-175.4590994,0.0,0.207195378,0.0,-175.7524068,0.0,-175.0767352,3092178771.0,,105439.0,0.25,0.153001084,13717.825927845,-13717.825928288,-43.86477485,-26.845432405863754,-43.9381017,-26.89030875600897,-43.7691838,-26.78693026878096,-3170.5516168670883,-2558.073587998152,0.01383506094543385,0.010494394114311596,0.0,-0.0,-0.0
2,ABW,2018,3.161425474,-0.000235703,3.152726618,-0.00024328,0.142227869,8.4e-05,3.050806433,-0.000237407,3.254111913,-0.000234205,3276187709.0,,105962.0,0.25,0.007149872,14806.899591421,-14806.899592532,-6.082e-05,-1.73942086016e-06,-5.935175e-05,-1.697429661904e-06,-5.855125e-05,-1.67453577176e-06,-3309.650483114281,-2748.1832938096395,1.8376562815409504e-08,6.329348060873867e-10,0.0002129228065966399,-0.7047000697186179,-0.5851508999599466
3,ABW,2019,2.709717488,-0.002837367,2.702358827,-0.002829916,0.121697629,0.000121011,2.615310622,-0.002916828,2.789127681,-0.002742892,3395793855.0,,106442.0,0.25,0.0,18425.940061202,-18425.94006139713,-0.000707479,-0.0,-0.000729207,-0.0,-0.000685723,-0.0,-3769.2363553900686,,1.8769823202736905e-07,,0.00014666056754901403,-0.5527983431078847,
4,ABW,2020,3.41e-05,-0.159980174,3.41e-05,-0.159624719,3.61e-07,0.006208674,3.36e-05,-0.164076327,3.48e-05,-0.155173353,2610038939.0,,106585.0,0.25,,12989.413495982,-12989.4134959106,-0.03990617975,,-0.04101908175,,-0.03879333825,,-2960.2700333581133,-3279.3517025665105,1.348058768298602e-05,,2.625214757429049e-09,-7.771344577546703e-06,-8.60900248437768e-06
5,AFG,2016,0.0,-5.99e-05,0.0,-5.94e-05,0.0,3.28e-06,0.0,-6e-05,0.0,-5.36e-05,18019554403.0,108140731.8,34636207.0,0.2,,5396.176697908,-5396.176698087,-1.1880000000000001e-05,,-1.2e-05,,-1.072e-05,,-1445.0701935246384,-1710.2863597030894,8.221053934427752e-09,,0.0,-0.0,-0.0
6,AFG,2017,0.165158385,-0.402785118,0.163816758,-0.399591172,0.009069243,0.021661256,0.147568781,-0.403309537,0.165159922,-0.361253567,18896353156.0,121528826.5,35643418.0,0.2,0.076843868,13717.825927845,-13717.825928288,-0.07991823440000001,-0.030706131275133292,-0.08066190740000001,-0.030991864824369116,-0.0722507134,-0.027760121417077153,-3170.5516168670883,-2558.073587998152,2.520641328620585e-05,1.2003615306142426e-05,1.1941889251377515e-05,-0.037862376274402684,-0.030548231484747848
7,AFG,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18418860354.0,101744864.1,36686784.0,0.2,0.185912444,14806.899591421,-14806.899592532,0.0,0.0,0.0,0.0,0.0,0.0,-3309.650483114281,-2748.1832938096395,-0.0,-0.0,0.0,-0.0,-0.0
8,AFG,2019,0.0,-0.171589769,0.0,-0.170435641,0.0,0.007835399,0.0,-0.171721605,0.0,-0.156483859,18904502222.0,93965898.86,37769499.0,0.2,0.206374511,18425.940061202,-18425.94006139713,-0.034087128200000004,-0.03517357206834655,-0.034344321000000004,-0.03543896226001016,-0.031296771800000005,-0.03229427988051795,-3769.2363553900686,,9.04351040529864e-06,,0.0,-0.0,
9,AFG,2020,0.036106874,-0.084036232,0.035802884,-0.083424667,0.002055395,0.00413041,0.032119082,-0.084098257,0.036107977,-0.076249747,20143451706.0,238944014.1,38972230.0,0.2,0.008308775,12989.413495982,-12989.4134959106,-0.0166849334,-0.0006931567875529249,-0.0168196514,-0.0006987534953051749,-0.015249949400000002,-0.000633541991629925,-2960.2700333581133,-3279.3517025665105,5.636287639973407e-06,2.1137006653188232e-07,2.7563125934111545e-06,-0.008159429572842627,-0.009038918396008384
10,AGO,2016,0.0,-2.860696575,0.0,-2.856912762,0.0,0.068965802,0.0,-2.96518076,0.0,-2.686216385,49840491178.0,1210995261.0,29154746.0,0.3,1.114865359,5396.176697908,-5396.176698087,-0.8570738285999999,-3.1850730720388114,-0.889554228,-3.3057773124972925,-0.8058649155,-2.994769594414707,-1445.0701935246384,-1710.2863597030894,0.0005931018662211351,0.0018623039667998926,0.0,-0.0,-0.0
11,AGO,2017,0.0,-1.575578215,0.0,-1.574326914,0.0,0.032944975,0.0,-1.62353907,0.0,-1.499856106,68972769396.0,1577680175.0,30208628.0,0.3,0.571038516,13717.825927845,-13717.825928288,-0.4722980742,-0.8990013046694196,-0.487061721,-0.9271033412008202,-0.44995683179999996,-0.8564756049837786,-3170.5516168670883,-2558.073587998152,0.00014896400729999502,0.00035143684250809324,0.0,-0.0,-0.0
12,AGO,2018,0.0,-0.749417899,0.0,-0.74863634,0.0,0.015426702,0.0,-0.771128972,0.0,-0.71112138,77792944472.0,1118847265.0,31273533.0,0.3,0.222814073,14806.899591421,-14806.899592532,-0.224590902,-0.1668067121112128,-0.23133869159999998,-0.17181838705962296,-0.213336414,-0.15844785107518075,-3309.650483114281,-2748.1832938096395,6.785940181473989e-05,6.0697083956135547e-05,0.0,-0.0,-0.0
13,AGO,2019,0.0,-0.075136917,0.0,-0.07528231,0.0,0.002877099,0.0,-0.082476835,0.0,-0.070521185,69309110146.0,925006719.5,32353588.0,0.3,0.249921491,18425.940061202,-18425.94006139713,-0.022584693,-0.01881466716112421,-0.0247430505,-0.020612733576160985,-0.021156355499999998,-0.017624759702286833,-3769.2363553900686,,5.99184844635798e-06,,0.0,-0.0,
14,AGO,2020,0.0,-8.569212222,0.0,-8.558505939,0.0,0.23759904,0.0,-8.893845191,0.0,-7.973133658,50241368244.0,713456143.4,33428486.0,0.3,0.210703989,12989.413495982,-12989.4134959106,-2.5675517816999998,-1.8033113412274906,-2.6681535573,-1.8739686592921672,-2.3919400974,-1.679971066570762,-2960.2700333581133,-3279.3517025665105,0.0008673370174907266,0.000549898731452369,0.0,-0.0,-0.0
15,AIA,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5396.176697908,-5396.176698087,,,,,,,-1445.0701935246384,-1710.2863597030894,,,0.0,-0.0,-0.0
16,AIA,2017,0.0,-0.001961637,0.0,-0.001952951,0.0,9.94e-05,0.0,-0.001964517,0.0,-0.001957869,322000000.0,,15015.0,0.0,,13717.825927845,-13717.825928288,-0.0,,-0.0,,-0.0,,-3170.5516168670883,-2558.073587998152,0.0,,0.0,-0.0,-0.0
