,iso_partner,year,median_positive_misalignment,median_negative_misalignment,avg_positive_misalignment,avg_negative_misalignment,sd_positive_misalignment,sd_negative_misalignment,percentile_2_5_positive_misalignment,percentile_2_5_negative_misalignment,percentile_97_5_positive_misalignment,percentile_97_5_negative_misalignment,gdp_current_usd,gvt_health_expenditure,population,cit,etr_average_corrected,total_avg_positive_misalignment,total_avg_negative_misalignment,loss_incurred_cit_usd,loss_incurred_etr_usd,loss_incurred_cit_2_5,loss_incurred_etr_2_5,loss_incurred_cit_97_5,loss_incurred_etr_97_5,total_loss_cit,total_loss_etr,loss_incurred_cit_share,loss_incurred_etr_share,loss_inflicted_share,loss_inflicted_cit_usd,loss_inflicted_etr_usd
0,ABW,2016,1.579722754,0.0,1.575600039,0.0,0.067895257,0.0,1.526944929,0.0,1.623876004,0.0,2983798883.0,,104874.0,0.25,,5396.176697908,-5396.176698087,0.0,,0.0,,0.0,,-1445.0701935246384,-1710.2863597030894,-0.0,,0.0002919845155572521,-0.4219381204025161,-0.4993771342020828
1,ABW,2017,0.0,-175.4709242,0.0,-175.4590994,0.0,0.207195378,0.0,-175.7524068,0.0,-175.0767352,3092178771.0,,105439.0,0.25,0.153001084,13717.825927845,-13717.825928288,-43.86477485,-26.845432405863754,-43.9381017,-26.89030875600897,-43.7691838,-26.78693026878096,-3170.5516168670883,-2558.073587998152,0.01383506094543385,0.010494394114311596,0.0,-0.0,-0.0
2,ABW,2018,3.161425474,-0.00023461,3.152726618,-0.000242151,0.142227869,8.36e-05,3.050806433,-0.000236307,3.254111913,-0.000233117,3276187709.0,,105962.0,0.25,0.007149872,14741.042886421,-14741.042886965999,-6.053775e-05,-1.7313486546719999e-06,-5.907675e-05,-1.6895648027039999e-06,-5.827925e-05,-1.666756711024e-06,-3294.3214043522803,-2730.9357225303233,1.8376394580085834e-08,6.339763475164603e-10,0.0002138740550645976,-0.704569877434922,-0.584076297098327
3,ABW,2019,2.709717488,-0.002835649,2.702358827,-0.002828203,0.121697629,0.000120938,2.615310622,-0.002915061,2.789127681,-0.002741231,3395793855.0,,106442.0,0.25,0.0,18425.940061202,-18425.940062381127,-0.00070705075,-0.0,-0.00072876525,-0.0,-0.00068530775,-0.0,-3769.743188689654,,1.8755939452887977e-07,,0.00014666056754901403,-0.5528726755672545,
4,ABW,2020,3.41e-05,-0.159937712,3.41e-05,-0.159582487,3.61e-07,0.006207046,3.36e-05,-0.164033153,3.48e-05,-0.155132071,2610038939.0,,106585.0,0.25,,12989.636554982,-12989.6365547586,-0.03989562175,,-0.04100828825,,-0.03878301775,,-2960.401754181092,-3278.7694916737114,1.3476421466665407e-05,,2.625169677047e-09,-7.77155691695295e-06,-8.607326247568634e-06
5,AFG,2016,0.0,-5.99e-05,0.0,-5.94e-05,0.0,3.28e-06,0.0,-6e-05,0.0,-5.36e-05,18019554403.0,108140731.8,34636207.0,0.2,,5396.176697908,-5396.176698087,-1.1880000000000001e-05,,-1.2e-05,,-1.072e-05,,-1445.0701935246384,-1710.2863597030894,8.221053934427752e-09,,0.0,-0.0,-0.0
6,AFG,2017,0.165158385,-0.402785118,0.163816758,-0.399591172,0.009069243,0.021661256,0.147568781,-0.403309537,0.165159922,-0.361253567,18896353156.0,121528826.5,35643418.0,0.2,0.076843868,13717.825927845,-13717.825928288,-0.07991823440000001,-0.030706131275133292,-0.08066190740000001,-0.030991864824369116,-0.0722507134,-0.027760121417077153,-3170.5516168670883,-2558.073587998152,2.520641328620585e-05,1.2003615306142426e-05,1.1941889251377515e-05,-0.037862376274402684,-0.030548231484747848
7,AFG,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18418860354.0,101744864.1,36686784.0,0.2,0.185912444,14741.042886421,-14741.042886965999,0.0,0.0,0.0,0.0,0.0,0.0,-3294.3214043522803,-2730.9357225303233,-0.0,-0.0,0.0,-0.0,-0.0
8,AFG,2019,0.0,-0.171485998,0.0,-0.170332469,0.0,0.007830675,0.0,-0.171617678,0.0,-0.156389273,18904502222.0,93965898.86,37769499.0,0.2,0.206374511,18425.940061202,-18425.940062381127,-0.0340664938,-0.035152279997297656,-0.0343235356,-0.03541751437620546,-0.0312778546,-0.0322747597410205,-3769.743188689654,,9.03682083761291e-06,,0.0,-0.0,
9,AFG,2020,0.036106874,-0.084013992,0.035802884,-0.083402595,0.002055395,0.004129321,0.032119082,-0.084076266,0.036107977,-0.076229431,20143451706.0,238944014.1,38972230.0,0.2,0.008308775,12989.636554982,-12989.6365547586,-0.016680519,-0.0006929733962711249,-0.0168152532,-0.0006985707770341499,-0.015245886200000001,-0.0006333731905570249,-2960.401754181092,-3278.7694916737114,5.63454570868344e-06,2.1135166654164004e-07,2.7562652618073662e-06,-0.008159652516042934,-0.009037158451374048
10,AGO,2016,0.0,-2.860696575,0.0,-2.856912762,0.0,0.068965802,0.0,-2.96518076,0.0,-2.686216385,49840491178.0,1210995261.0,29154746.0,0.3,1.114865359,5396.176697908,-5396.176698087,-0.8570738285999999,-3.1850730720388114,-0.889554228,-3.3057773124972925,-0.8058649155,-2.994769594414707,-1445.0701935246384,-1710.2863597030894,0.0005931018662211351,0.0018623039667998926,0.0,-0.0,-0.0
11,AGO,2017,0.0,-1.575578215,0.0,-1.574326914,0.0,0.032944975,0.0,-1.62353907,0.0,-1.499856106,68972769396.0,1577680175.0,30208628.0,0.3,0.571038516,13717.825927845,-13717.825928288,-0.4722980742,-0.8990013046694196,-0.487061721,-0.9271033412008202,-0.44995683179999996,-0.8564756049837786,-3170.5516168670883,-2558.073587998152,0.00014896400729999502,0.00035143684250809324,0.0,-0.0,-0.0
12,AGO,2018,0.0,-0.745941825,0.0,-0.745163015,0.0,0.015355748,0.0,-0.767521547,0.0,-0.707825244,77792944472.0,1118847265.0,31273533.0,0.3,0.222814073,14741.042886421,-14741.042886965999,-0.2235489045,-0.1660328064211101,-0.23025646409999997,-0.17101460200233093,-0.2123475732,-0.1577134255878588,-3294.3214043522803,-2730.9357225303233,6.785886289196288e-05,6.0797039289988825e-05,0.0,-0.0,-0.0
13,AGO,2019,0.0,-0.075091437,0.0,-0.075236738,0.0,0.002875356,0.0,-0.08242695,0.0,-0.070478473,69309110146.0,925006719.5,32353588.0,0.3,0.249921491,18425.940061202,-18425.940062381127,-0.0225710214,-0.018803277738936357,-0.024728085,-0.02060026624258245,-0.0211435419,-0.017614085055563243,-3769.743188689654,,5.987416189972767e-06,,0.0,-0.0,
14,AGO,2020,0.0,-8.566943997,0.0,-8.556241593,0.0,0.237538486,0.0,-8.891479404,0.0,-7.971039852,50241368244.0,713456143.4,33428486.0,0.3,0.210703989,12989.636554982,-12989.6365547586,-2.5668724778999996,-1.8028342344928143,-2.6674438212,-1.8734701785341425,-2.3913119556,-1.6795298932943696,-2960.401754181092,-3278.7694916737114,0.0008670689626077624,0.0005498508629749763,0.0,-0.0,-0.0
15,AIA,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5396.176697908,-5396.176698087,,,,,,,-1445.0701935246384,-1710.2863597030894,,,0.0,-0.0,-0.0
16,AIA,2017,0.0,-0.001961637,0.0,-0.001952951,0.0,9.94e-05,0.0,-0.001964517,0.0,-0.001957869,322000000.0,,15015.0,0.0,,13717.825927845,-13717.825928288,-0.0,,-0.0,,-0.0,,-3170.5516168670883,-2558.073587998152,0.0,,0.0,-0.0,-0.0
