iso_partner,partner_jurisdiction,tax_loss_bn
DEU,Germany,104.94815681554566
FRA,France,92.51905575119363
BEL,Belgium,82.31244351995906
LUX,Luxembourg,56.68083827476294
ESP,Spain,39.33562101663151
NLD,Netherlands,36.38384327004176
ITA,Italy,33.046097597618285
SWE,Sweden,18.39218948927572
POL,Poland,18.12376799919648
IRL,Ireland,14.227522244907014
EST,Estonia,9.52868690288623
ROU,Romania,9.203436951101654
FIN,Finland,9.162032155573383
LVA,Latvia,8.833011587996934
AUT,Austria,8.376927535232971
PRT,Portugal,6.710243618695383
DNK,Denmark,6.348998276812719
CZE,Czechia,5.393270231543276
CYP,Cyprus,4.3447500240122645
HRV,Croatia,3.5190238117486587
GRC,Greece,3.4014010173306723
HUN,Hungary,3.1625720053663597
SVK,Slovak Republic,3.0269599732540247
MLT,Malta,1.8294753520886367
LTU,Lithuania,1.0015211900604473
BGR,Bulgaria,0.9107039101961036
SVN,Slovenia,0.8873512206571396
