year,iso_responsible,iso_affected,shifted_profit_musd
2016,NLD,BEL,20370.51352502031
2016,VNM,DEU,4237.032677452237
2016,CHN,DEU,4213.284289661093
2016,NLD,DEU,3756.1023840455537
2016,JPN,DEU,3743.5339265311436
2016,NLD,FRA,2788.9945027143976
2016,ESP,ITA,1956.1738816784534
2016,NLD,IRL,1475.6341155269208
2016,NLD,POL,1366.7090946853841
2016,NLD,ITA,1338.6229998451222
2016,VNM,ITA,1190.2216373774033
2016,GBR,BEL,1160.425629822446
2016,SWE,DEU,1158.5461886587975
2016,CHN,ITA,1155.5715520806004
2016,JPN,ITA,1125.025424848914
2016,VGB,DEU,1124.8179651108246
2016,CHL,ITA,1065.4752103218395
2016,BRA,AUT,993.7287052426351
2016,NLD,GRC,935.0761503302812
2016,BRA,NLD,931.6070917317173
2016,HKG,DEU,926.9617535686386
2016,LUX,ITA,917.2485620035552
2016,BRA,ESP,910.4039112105279
2016,VNM,BEL,905.4835711533811
2016,CHN,BEL,888.5266100473677
2016,SWE,POL,879.7683327080808
2016,DNK,DEU,864.0045161898697
2016,JPN,BEL,798.1981003473078
2016,SWE,FRA,768.9926439398482
2016,NLD,CYP,698.6912014337784
2016,NLD,ROU,697.2454203170655
2016,DEU,ITA,692.6128524782368
2016,IRL,ITA,674.7176362084044
2016,SWE,ROU,673.2427826622514
2016,LBY,ITA,671.1585087000668
2016,GBR,ITA,611.2631489480376
2016,KOR,DEU,595.6923676226606
2016,NLD,EST,584.1538887626808
2016,SWE,ESP,564.754817116592
2016,SWE,BEL,563.5672024324732
2016,CHN,FRA,541.6275114835369
2016,BRA,PRT,537.1539627195782
2016,LUX,POL,530.8430126567443
2016,JPN,FRA,527.3196094413345
2016,KOR,POL,518.1506720046405
2016,SWE,CYP,493.88215847149445
2016,VNM,FRA,489.6836964867979
2016,SWE,HRV,487.46974453870934
2016,THA,DEU,462.319876552283
2016,SWE,EST,421.6025192524355
2016,NLD,ESP,421.5840075256618
2016,KOR,FRA,413.85811859053354
2016,HKG,POL,413.6773198355193
2016,CHE,POL,404.5353981572589
2016,VGB,IRL,395.62311724353094
2016,DNK,ESP,390.5357698930211
2016,HKG,IRL,371.3593245405531
2016,SWE,ITA,367.88755860881014
2016,SWE,LVA,347.36299360572696
2016,JPN,POL,347.1022279836873
2016,KAZ,ITA,345.71095146879134
2016,KOR,ROU,334.1882432528893
2016,PAN,DEU,319.3706806071811
2016,BMU,DEU,316.665514769557
2016,POL,ITA,309.79211732867395
2016,DZA,ITA,308.3098461448974
2016,CZE,ITA,307.4379533805121
2016,KOR,ESP,301.5884414325801
2016,VGB,BEL,299.1744067542027
2016,NLD,PRT,294.5569313351729
2016,VGB,FRA,290.0109409029807
2016,HKG,FRA,276.7516423650551
2016,KOR,CYP,274.9146050552431
2016,KOR,BEL,274.5153544691593
2016,KOR,SWE,274.36239829055216
