iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group,total_net_misalignment_musd
AUT,Austria,2016,-809.6320814892401,-0.8096320814892402,benefits_from_ut,-822.1516751658955
AUT,Austria,2017,1321.095600821539,1.3210956008215389,benefits_from_ut,-822.1516751658955
AUT,Austria,2018,-4169.861595939134,-4.169861595939134,benefits_from_ut,-822.1516751658955
AUT,Austria,2019,-897.8521060540652,-0.8978521060540652,benefits_from_ut,-822.1516751658955
AUT,Austria,2020,2649.766977090927,2.649766977090927,benefits_from_ut,-822.1516751658955
AUT,Austria,2021,6468.490372841244,6.468490372841243,benefits_from_ut,-822.1516751658955
AUT,Austria,2022,-5384.158842437166,-5.384158842437166,benefits_from_ut,-822.1516751658955
BEL,Belgium,2016,-23328.284708302723,-23.32828470830272,benefits_from_ut,-247499.73053817972
BEL,Belgium,2017,-61466.477779901135,-61.46647777990113,benefits_from_ut,-247499.73053817972
BEL,Belgium,2018,-48330.68700942658,-48.33068700942658,benefits_from_ut,-247499.73053817972
BEL,Belgium,2019,-74939.27977135639,-74.9392797713564,benefits_from_ut,-247499.73053817972
BEL,Belgium,2020,-2770.5410270857965,-2.7705410270857964,benefits_from_ut,-247499.73053817972
BEL,Belgium,2021,-15978.498936736252,-15.978498936736253,benefits_from_ut,-247499.73053817972
BEL,Belgium,2022,-20685.961305370827,-20.685961305370828,benefits_from_ut,-247499.73053817972
BGR,Bulgaria,2016,136.05548565546974,0.13605548565546974,benefits_from_ut,-4760.1498218770985
BGR,Bulgaria,2017,-1485.446844348266,-1.485446844348266,benefits_from_ut,-4760.1498218770985
BGR,Bulgaria,2018,-655.3765508264008,-0.6553765508264008,benefits_from_ut,-4760.1498218770985
BGR,Bulgaria,2019,-747.3198994656154,-0.7473198994656154,benefits_from_ut,-4760.1498218770985
BGR,Bulgaria,2020,85.79629495473193,0.08579629495473193,benefits_from_ut,-4760.1498218770985
BGR,Bulgaria,2021,-1178.0404354335035,-1.1780404354335035,benefits_from_ut,-4760.1498218770985
BGR,Bulgaria,2022,-915.8178724135141,-0.9158178724135141,benefits_from_ut,-4760.1498218770985
CYP,Cyprus,2016,-1966.1370618359883,-1.9661370618359884,benefits_from_ut,-11647.73032318938
CYP,Cyprus,2017,-3908.3579906885034,-3.9083579906885033,benefits_from_ut,-11647.73032318938
CYP,Cyprus,2018,-4754.153049176055,-4.754153049176055,benefits_from_ut,-11647.73032318938
CYP,Cyprus,2019,-4939.856275432306,-4.939856275432306,benefits_from_ut,-11647.73032318938
CYP,Cyprus,2020,-3237.1133236312407,-3.237113323631241,benefits_from_ut,-11647.73032318938
CYP,Cyprus,2021,7359.313829308012,7.359313829308012,benefits_from_ut,-11647.73032318938
CYP,Cyprus,2022,-201.42645173329947,-0.20142645173329948,benefits_from_ut,-11647.73032318938
CZE,Czechia,2016,1044.851814575437,1.0448518145754369,benefits_from_ut,-12526.433805725483
CZE,Czechia,2017,-2057.3186863968936,-2.0573186863968935,benefits_from_ut,-12526.433805725483
CZE,Czechia,2018,442.8832668437908,0.4428832668437908,benefits_from_ut,-12526.433805725483
CZE,Czechia,2019,-962.9521936217429,-0.9629521936217429,benefits_from_ut,-12526.433805725483
CZE,Czechia,2020,-3084.2098820957917,-3.084209882095792,benefits_from_ut,-12526.433805725483
CZE,Czechia,2021,-4316.845707207326,-4.316845707207326,benefits_from_ut,-12526.433805725483
CZE,Czechia,2022,-3592.842417822955,-3.592842417822955,benefits_from_ut,-12526.433805725483
DEU,Germany,2016,-18654.564322120987,-18.654564322120986,benefits_from_ut,-265615.1022213505
DEU,Germany,2017,-35679.517496560424,-35.67951749656042,benefits_from_ut,-265615.1022213505
DEU,Germany,2018,-51686.80939508269,-51.68680939508269,benefits_from_ut,-265615.1022213505
DEU,Germany,2019,-18043.385669073974,-18.043385669073974,benefits_from_ut,-265615.1022213505
DEU,Germany,2020,-48904.69455303564,-48.90469455303564,benefits_from_ut,-265615.1022213505
DEU,Germany,2021,-81329.49924596574,-81.32949924596574,benefits_from_ut,-265615.1022213505
DEU,Germany,2022,-11316.631539511043,-11.316631539511043,benefits_from_ut,-265615.1022213505
ESP,Spain,2016,-1606.4650519627403,-1.6064650519627404,benefits_from_ut,-126894.56861319789
ESP,Spain,2017,-9452.15401075257,-9.45215401075257,benefits_from_ut,-126894.56861319789
ESP,Spain,2018,-15500.35410963262,-15.500354109632621,benefits_from_ut,-126894.56861319789
ESP,Spain,2019,-26188.37289020932,-26.188372890209322,benefits_from_ut,-126894.56861319789
ESP,Spain,2020,-24668.479667044056,-24.668479667044057,benefits_from_ut,-126894.56861319789
