iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
FRA,France,-265826.91166373825,benefits_from_ut
DEU,Germany,-265615.1022213505,benefits_from_ut
BEL,Belgium,-247499.73053817972,benefits_from_ut
ESP,Spain,-126894.56861319789,benefits_from_ut
ITA,Italy,-83778.47084155641,benefits_from_ut
POL,Poland,-79417.32464527721,benefits_from_ut
ROU,Romania,-52917.38103767417,benefits_from_ut
LUX,Luxembourg,-49105.99692885359,benefits_from_ut
EST,Estonia,-44220.15957312814,benefits_from_ut
LVA,Latvia,-30811.733659578713,benefits_from_ut
HUN,Hungary,-17913.27167492367,benefits_from_ut
FIN,Finland,-15422.619850979292,benefits_from_ut
CZE,Czechia,-12526.433805725483,benefits_from_ut
CYP,Cyprus,-11647.73032318938,benefits_from_ut
GRC,Greece,-7398.61361606999,benefits_from_ut
PRT,Portugal,-6217.0591212626005,benefits_from_ut
BGR,Bulgaria,-4760.1498218770985,benefits_from_ut
HRV,Croatia,-4273.1081489361895,benefits_from_ut
LTU,Lithuania,-3906.6038144088793,benefits_from_ut
SVK,Slovak Republic,-2254.0928032763723,benefits_from_ut
SVN,Slovenia,-2152.3964193804413,benefits_from_ut
AUT,Austria,-822.1516751658955,benefits_from_ut
MLT,Malta,13959.624614018416,loses_under_ut
SWE,Sweden,47624.53875585678,loses_under_ut
DNK,Denmark,75512.96152558192,loses_under_ut
IRL,Ireland,226962.68131555663,loses_under_ut
NLD,Netherlands,311673.0109936601,loses_under_ut
