iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
DEU,Germany,-276069.10504495865,benefits_from_ut
FRA,France,-275854.0107576453,benefits_from_ut
BEL,Belgium,-250647.75154721327,benefits_from_ut
ESP,Spain,-131614.19702742473,benefits_from_ut
ITA,Italy,-85888.86358768388,benefits_from_ut
POL,Poland,-81776.1859426425,benefits_from_ut
LUX,Luxembourg,-54953.28165046314,benefits_from_ut
ROU,Romania,-54608.62140405036,benefits_from_ut
EST,Estonia,-46421.22153856837,benefits_from_ut
LVA,Latvia,-33538.26064751607,benefits_from_ut
HUN,Hungary,-18635.272127665925,benefits_from_ut
FIN,Finland,-16496.28718603831,benefits_from_ut
CZE,Czechia,-13202.128721393696,benefits_from_ut
CYP,Cyprus,-11163.347288665478,benefits_from_ut
GRC,Greece,-7327.730535120672,benefits_from_ut
PRT,Portugal,-6556.421877627625,benefits_from_ut
BGR,Bulgaria,-4932.686326873554,benefits_from_ut
HRV,Croatia,-4520.917930638778,benefits_from_ut
LTU,Lithuania,-3991.83675925826,benefits_from_ut
SVK,Slovak Republic,-2324.7657567855767,benefits_from_ut
SVN,Slovenia,-2207.744417988631,benefits_from_ut
AUT,Austria,-623.311194717392,benefits_from_ut
MLT,Malta,14428.630889095599,loses_under_ut
SWE,Sweden,44578.30217057101,loses_under_ut
DNK,Denmark,77969.87646039944,loses_under_ut
IRL,Ireland,235985.4142464939,loses_under_ut
NLD,Netherlands,311751.72908892203,loses_under_ut
