iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
DEU,Germany,3.091724494991512,104.94815681554566,-101.85643232055415
FRA,France,1.0490676191606103,92.51905575119363,-91.46998813203302
BEL,Belgium,1.2795629624880847,82.31244351995906,-81.03288055747097
LUX,Luxembourg,1.8772902749613543,56.68083827476294,-54.80354799980159
ESP,Spain,1.6573118369301043,39.33562101663151,-37.6783091797014
ITA,Italy,2.8897883628858123,33.046097597618285,-30.156309234732472
NLD,Netherlands,11.807993570417835,36.38384327004176,-24.575849699623923
POL,Poland,1.1065470165098765,18.12376799919648,-17.017220982686606
SWE,Sweden,4.518416989229565,18.39218948927572,-13.873772500046154
EST,Estonia,0.04294697995503695,9.52868690288623,-9.485739922931193
ROU,Romania,0.1079189446422554,9.203436951101654,-9.095518006459399
LVA,Latvia,0.14379909645796235,8.833011587996934,-8.68921249153897
FIN,Finland,1.3680066751254993,9.162032155573383,-7.794025480447884
AUT,Austria,1.2408101193283563,8.376927535232971,-7.136117415904614
PRT,Portugal,0.7173387761053766,6.710243618695383,-5.992904842590007
CZE,Czechia,0.9350478757719018,5.393270231543276,-4.458222355771374
IRL,Ireland,10.045431139490587,14.227522244907014,-4.182091105416427
CYP,Cyprus,0.17369852285686266,4.3447500240122645,-4.171051501155402
GRC,Greece,0.2805256582723643,3.4014010173306723,-3.1208753590583083
HRV,Croatia,0.6009894771413714,3.5190238117486587,-2.9180343346072872
HUN,Hungary,0.3496896910932398,3.1625720053663597,-2.81288231427312
SVK,Slovak Republic,0.36885618715963775,3.0269599732540247,-2.658103786094387
DNK,Denmark,4.571459663345,6.348998276812719,-1.7775386134677191
MLT,Malta,0.5480353157994824,1.8294753520886367,-1.2814400362891543
LTU,Lithuania,0.08906185727963326,1.0015211900604473,-0.912459332780814
BGR,Bulgaria,0.15901063921459177,0.9107039101961036,-0.7516932709815118
SVN,Slovenia,0.15605006405406668,0.8873512206571396,-0.7313011566030729
