iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
DEU,Germany,11.805747418152436,104.94815681554566,-93.14240939739322
FRA,France,2.366062249598007,92.51905575119363,-90.15299350159563
BEL,Belgium,4.520961288333144,82.31244351995906,-77.79148223162592
LUX,Luxembourg,5.0799346445679365,56.68083827476294,-51.600903630195006
ESP,Spain,1.5416831395134292,39.33562101663151,-37.793937877118076
ITA,Italy,5.802419820687009,33.046097597618285,-27.24367777693128
POL,Poland,2.291701386193027,18.12376799919648,-15.832066613003454
EST,Estonia,0.027198856424583015,9.52868690288623,-9.501488046461647
ROU,Romania,0.39675474161890256,9.203436951101654,-8.806682209482751
LVA,Latvia,0.6397592210027719,8.833011587996934,-8.193252366994162
PRT,Portugal,2.29174491514833,6.710243618695383,-4.418498703547053
AUT,Austria,3.9729800212404,8.376927535232971,-4.403947513992572
CYP,Cyprus,0.28876902477162036,4.3447500240122645,-4.055980999240644
FIN,Finland,5.141561431656912,9.162032155573383,-4.020470723916471
CZE,Czechia,2.267331587897156,5.393270231543276,-3.1259386436461205
GRC,Greece,0.7256057590385792,3.4014010173306723,-2.6757952582920934
IRL,Ireland,11.985865060951422,14.227522244907014,-2.241657183955592
HUN,Hungary,1.4521484924475734,3.1625720053663597,-1.7104235129187864
SWE,Sweden,16.724122431934717,18.39218948927572,-1.668067057341002
HRV,Croatia,2.4370149081442958,3.5190238117486587,-1.082008903604363
MLT,Malta,0.9277147532968187,1.8294753520886367,-0.9017605987918179
LTU,Lithuania,0.3172802820340282,1.0015211900604473,-0.6842409080264191
BGR,Bulgaria,0.3822060708153908,0.9107039101961036,-0.5284978393807128
SVN,Slovenia,0.37030121818672046,0.8873512206571396,-0.5170500024704191
SVK,Slovak Republic,3.8979733193579937,3.0269599732540247,0.8710133461039691
DNK,Denmark,7.995059296190206,6.348998276812719,1.6460610193774867
NLD,Netherlands,38.10770166533247,36.38384327004176,1.723858395290712
