year,sample_name,formula_name,etr_name,rate_mode,n_countries,total_shifted_musd,total_tax_loss_musd,total_tax_gain_musd,total_revenue_gain_from_ut_musd,total_current_tax_paid_cash_musd,revenue_gain_from_ut_pct_of_current_tax_paid
2016,disaggregated,ccctb,average,loss_cit_gain_cit,226,721145.862442894,234666.8016844227,150487.66232852358,84179.13935589905,708651.5663416747,11.878777011735592
2017,disaggregated,ccctb,average,loss_cit_gain_cit,226,1311431.620007797,398046.1333322229,266931.18013958214,131114.9531926407,1029004.8456494928,12.74191795568104
2018,disaggregated,ccctb,average,loss_cit_gain_cit,226,1265795.99619608,312149.00327278534,265142.79165166605,47006.21162111928,1319343.3425493278,3.5628490405151534
2019,disaggregated,ccctb,average,loss_cit_gain_cit,226,1316830.2596092974,328629.8946960365,268869.9542530236,59759.94044301292,1329261.7319016985,4.495724130831467
2020,disaggregated,ccctb,average,loss_cit_gain_cit,226,1278862.0574718437,285055.8205001829,237611.62483922392,47444.19566095904,1228804.5022779324,3.8610043805184615
2021,disaggregated,ccctb,average,loss_cit_gain_cit,226,1665137.6082282888,383789.6712783723,298783.76347302966,85005.90780534266,1668251.0499565064,5.095510523284783
2022,disaggregated,ccctb,average,loss_cit_gain_cit,226,1676946.6897655688,363245.7205654628,336896.84422401164,26348.87634145115,1918285.7935020127,1.3735636488945049
2016,disaggregated,ccctb,average,loss_cit_gain_etr,226,721145.862442894,234666.8016844227,79335.28046915654,155331.52121526617,708651.5663416747,21.91930824582041
2017,disaggregated,ccctb,average,loss_cit_gain_etr,226,1311431.620007797,398046.1333322229,153057.74350868727,244988.3898235356,1029004.8456494928,23.80828339723731
2018,disaggregated,ccctb,average,loss_cit_gain_etr,226,1265795.99619608,312149.00327278534,175449.15536862,136699.84790416533,1319343.3425493278,10.36120344837791
2019,disaggregated,ccctb,average,loss_cit_gain_etr,226,1316830.2596092974,328629.8946960365,158779.49981926853,169850.39487676797,1329261.7319016985,12.777799194878858
2020,disaggregated,ccctb,average,loss_cit_gain_etr,226,1278862.0574718437,285055.8205001829,151422.94953784382,133632.87096233913,1228804.5022779324,10.875031033383529
2021,disaggregated,ccctb,average,loss_cit_gain_etr,226,1665137.6082282888,383789.6712783723,209790.53769490423,173999.13358346806,1668251.0499565064,10.430032913092097
2022,disaggregated,ccctb,average,loss_cit_gain_etr,226,1676946.6897655688,363245.7205654628,239985.81244073293,123259.90812472986,1918285.7935020127,6.425523691113158
2016,disaggregated,ccctb,average,loss_etr_gain_etr,226,721145.862442894,179920.15189739154,79335.28046915654,100584.87142823504,708651.5663416747,14.19384027435258
2017,disaggregated,ccctb,average,loss_etr_gain_etr,226,1311431.620007797,291696.1521499181,153057.74350868727,138638.4086412308,1029004.8456494928,13.473056927513715
2018,disaggregated,ccctb,average,loss_etr_gain_etr,226,1265795.99619608,240725.31721602983,175449.15536862,65276.16184740981,1319343.3425493278,4.947625060303001
2019,disaggregated,ccctb,average,loss_etr_gain_etr,226,1316830.2596092974,225937.42317441263,158779.49981926853,67157.92335514411,1329261.7319016985,5.052272381231131
2020,disaggregated,ccctb,average,loss_etr_gain_etr,226,1278862.0574718437,186584.5921850933,151422.94953784382,35161.64264724948,1228804.5022779324,2.861451319723158
2021,disaggregated,ccctb,average,loss_etr_gain_etr,226,1665137.6082282888,234927.3665999335,209790.53769490423,25136.828905029288,1668251.0499565064,1.5067773465920875
2022,disaggregated,ccctb,average,loss_etr_gain_etr,226,1676946.6897655688,237680.93705507164,239985.81244073293,-2304.8753856612675,1918285.7935020127,-0.1201528673917507
2016,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,719576.1215041373,231176.72348445025,150671.62500801362,80505.09847643663,708651.5663416747,11.360321814009977
2017,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,1325396.9730802162,398898.0403922644,272609.87597418966,126288.1644180748,1029004.8456494928,12.272844481928905
2018,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,1244989.86904753,309759.79099395894,260297.46854131905,49462.32245263993,1319343.3425493278,3.74901065230415
2019,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,1321959.071437713,331393.942310076,270961.6935534654,60432.248756610585,1329261.7319016985,4.54630170313815
2020,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,1240683.8803503744,274941.66796897136,229781.34871973493,45160.31924923642,1228804.5022779324,3.675142723315153
2021,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,1589785.4173572166,363931.8409039677,281903.46391093545,82028.37699303229,1668251.0499565064,4.917028345054593
2022,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,1655558.4010756332,356725.6212325153,332994.1042450378,23731.516987477564,1918285.7935020127,1.2371210310718836
2016,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,719576.1215041373,231176.72348445025,77759.2140614094,153417.5094230409,708651.5663416747,21.64921616063585
2017,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,1325396.9730802162,398898.0403922644,153548.0852405202,245349.9551517443,1029004.8456494928,23.84342077581598
