iso_partner,partner_jurisdiction,tax_loss_bn
BEL,Belgium,71.28753183599521
DEU,Germany,66.76834934913545
FRA,France,62.20798689507168
LUX,Luxembourg,42.169606489387554
ITA,Italy,21.275273722204805
ESP,Spain,18.80329856917119
NLD,Netherlands,18.53773925963258
POL,Poland,11.847443947632517
SWE,Sweden,9.941904954481718
IRL,Ireland,7.400272526348146
ROU,Romania,5.4047077451638765
EST,Estonia,5.262793294273192
AUT,Austria,4.732121255115503
PRT,Portugal,4.12104531716548
LVA,Latvia,4.083581328853183
FIN,Finland,3.5507535495412874
DNK,Denmark,3.389727184219926
CZE,Czechia,3.0629622459578156
CYP,Cyprus,3.012532635629007
HRV,Croatia,2.2044558394141
GRC,Greece,2.1647087333876804
SVK,Slovak Republic,1.8644622604233678
HUN,Hungary,1.8454290828122124
MLT,Malta,1.5324857396203602
LTU,Lithuania,0.5954910429696131
BGR,Bulgaria,0.5665604437603601
SVN,Slovenia,0.5331963677462505
