year,iso_responsible,iso_affected,shifted_profit_musd
2016,NLD,BEL,20370.513525020302
2016,NLD,DEU,3756.102384045553
2016,NLD,LUX,3277.5162593364885
2016,NLD,FRA,2788.9945027143963
2016,ESP,ITA,1956.1738816784532
2016,NLD,IRL,1475.6341155269206
2016,NLD,POL,1366.7090946853841
2016,NLD,ITA,1338.6229998451222
2016,GBR,BEL,1160.4256298224454
2016,SWE,DEU,1158.5461886587973
2016,VGB,DEU,1124.8179651108246
2016,CHL,ITA,1065.4752103218393
2016,NLD,GRC,935.0761503302812
2016,HKG,DEU,926.9617535686391
2016,LUX,ITA,917.2485620035552
2016,SWE,POL,879.7683327080808
2016,DNK,DEU,864.0045161898696
2016,SWE,FRA,768.992643939848
2016,NLD,CYP,698.6912014337784
2016,NLD,ROU,697.2454203170653
2016,DEU,ITA,692.6128524782367
2016,IRL,ITA,674.7176362084045
2016,SWE,ROU,673.2427826622513
2016,GBR,ITA,611.2631489480374
2016,NLD,EST,584.1553568378837
2016,SWE,ESP,564.7548171165919
2016,SWE,BEL,563.567202432473
2016,LUX,POL,530.8430126567446
2016,SWE,CYP,493.8821584714944
2016,SWE,HRV,487.46974453870934
2016,SWE,EST,421.604026821591
2016,NLD,ESP,421.5840075256615
2016,HKG,POL,413.6773198355196
2016,PRI,LUX,408.1709190477276
2016,CHE,POL,404.5353981572591
2016,VGB,IRL,395.62311724353106
2016,DNK,ESP,390.535769893021
2016,HKG,IRL,371.3593245405531
2016,SWE,ITA,367.88755860881014
2016,SWE,LVA,347.3629936057269
2016,KAZ,ITA,345.7109514687913
2016,ASM,LUX,326.02518832835034
2016,PAN,DEU,319.370680607181
2016,BMU,DEU,316.665514769557
2016,VGB,BEL,299.1744067542027
2016,BMU,LUX,297.19852286372577
2016,NLD,PRT,294.5569313351728
2016,VGB,FRA,290.01094090298074
2016,CYM,LUX,284.5802143542763
2016,HKG,FRA,276.75164236505515
2016,IRL,LUX,270.7615912605819
2016,SGP,LUX,267.33885216669273
2016,NLD,SWE,265.66738895858555
2016,LUX,CYP,257.4734430110353
2016,BHS,LUX,256.4031522484147
2016,PAN,IRL,252.7364794951011
2016,HKG,ITA,236.31949655895414
2016,GBR,FRA,234.18249481970267
2016,BMU,ITA,231.37413196481913
2016,IRL,POL,231.30680480813984
2016,LUX,EST,218.03079518869245
2016,GBR,LUX,213.74836239789857
2016,CYM,DEU,208.0972088633208
2016,PAN,BEL,206.92820727400684
