iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group,total_net_misalignment_musd
BEL,Belgium,2016,-22572.8063100608,-22.572806310060802,benefits_from_ut,-228950.40514142506
BEL,Belgium,2017,-57378.82576270157,-57.37882576270157,benefits_from_ut,-228950.40514142506
BEL,Belgium,2018,-51990.14578402214,-51.99014578402214,benefits_from_ut,-228950.40514142506
BEL,Belgium,2019,-76616.25674741958,-76.61625674741958,benefits_from_ut,-228950.40514142506
BEL,Belgium,2020,-4909.112316012102,-4.909112316012102,benefits_from_ut,-228950.40514142506
BEL,Belgium,2021,-8672.135000082228,-8.672135000082228,benefits_from_ut,-228950.40514142506
BEL,Belgium,2022,-6811.123221126637,-6.811123221126637,benefits_from_ut,-228950.40514142506
BGR,Bulgaria,2016,259.4930471192414,0.25949304711924137,benefits_from_ut,-1491.2516625161184
BGR,Bulgaria,2017,-756.4562232625796,-0.7564562232625796,benefits_from_ut,-1491.2516625161184
BGR,Bulgaria,2018,-149.8191237103763,-0.14981912371037628,benefits_from_ut,-1491.2516625161184
BGR,Bulgaria,2019,-294.4306320840966,-0.2944306320840966,benefits_from_ut,-1491.2516625161184
BGR,Bulgaria,2020,283.4724760262202,0.28347247602622017,benefits_from_ut,-1491.2516625161184
BGR,Bulgaria,2021,-691.5096796751969,-0.6915096796751969,benefits_from_ut,-1491.2516625161184
BGR,Bulgaria,2022,-142.00152692933068,-0.14200152692933068,benefits_from_ut,-1491.2516625161184
CYP,Cyprus,2016,-698.7267834142926,-0.6987267834142926,benefits_from_ut,-505.6081815994148
CYP,Cyprus,2017,-2210.098626036886,-2.210098626036886,benefits_from_ut,-505.6081815994148
CYP,Cyprus,2018,-3147.5146553690224,-3.1475146553690223,benefits_from_ut,-505.6081815994148
CYP,Cyprus,2019,-3732.9961666562876,-3.732996166656288,benefits_from_ut,-505.6081815994148
CYP,Cyprus,2020,-1971.8332362340582,-1.9718332362340583,benefits_from_ut,-505.6081815994148
CYP,Cyprus,2021,9654.576753238964,9.654576753238963,benefits_from_ut,-505.6081815994148
CYP,Cyprus,2022,1600.9845328721676,1.6009845328721677,benefits_from_ut,-505.6081815994148
CZE,Czechia,2016,-434.4696237957609,-0.43446962379576093,benefits_from_ut,-16120.853926093767
CZE,Czechia,2017,-1778.3697390336845,-1.7783697390336846,benefits_from_ut,-16120.853926093767
CZE,Czechia,2018,-2380.686542371014,-2.380686542371014,benefits_from_ut,-16120.853926093767
CZE,Czechia,2019,-2189.41019075964,-2.18941019075964,benefits_from_ut,-16120.853926093767
CZE,Czechia,2020,-2657.8128494737634,-2.6578128494737636,benefits_from_ut,-16120.853926093767
CZE,Czechia,2021,-4495.721595894495,-4.495721595894495,benefits_from_ut,-16120.853926093767
CZE,Czechia,2022,-2184.383384765408,-2.1843833847654084,benefits_from_ut,-16120.853926093767
DEU,Germany,2016,-4361.969133532681,-4.36196913353268,benefits_from_ut,-213767.93370169672
DEU,Germany,2017,-24422.54319867728,-24.42254319867728,benefits_from_ut,-213767.93370169672
DEU,Germany,2018,-38947.43967763709,-38.94743967763709,benefits_from_ut,-213767.93370169672
DEU,Germany,2019,-30803.7380275157,-30.803738027515703,benefits_from_ut,-213767.93370169672
DEU,Germany,2020,-36533.75968324451,-36.53375968324451,benefits_from_ut,-213767.93370169672
DEU,Germany,2021,-54019.28198210839,-54.01928198210839,benefits_from_ut,-213767.93370169672
DEU,Germany,2022,-24679.20199898108,-24.67920199898108,benefits_from_ut,-213767.93370169672
ESP,Spain,2016,742.2906158976525,0.7422906158976526,benefits_from_ut,-49484.90723758347
ESP,Spain,2017,-2869.561280639539,-2.8695612806395387,benefits_from_ut,-49484.90723758347
ESP,Spain,2018,-3769.4027575191167,-3.7694027575191167,benefits_from_ut,-49484.90723758347
ESP,Spain,2019,-11671.279923373304,-11.671279923373303,benefits_from_ut,-49484.90723758347
ESP,Spain,2020,-10193.959017491334,-10.193959017491334,benefits_from_ut,-49484.90723758347
ESP,Spain,2021,-7330.490929950196,-7.330490929950196,benefits_from_ut,-49484.90723758347
ESP,Spain,2022,-14392.503944507635,-14.392503944507634,benefits_from_ut,-49484.90723758347
EST,Estonia,2016,-2148.1368395320937,-2.1481368395320937,benefits_from_ut,-25091.75349550318
EST,Estonia,2017,-2955.963795659999,-2.955963795659999,benefits_from_ut,-25091.75349550318
EST,Estonia,2018,-2518.65839412122,-2.5186583941212204,benefits_from_ut,-25091.75349550318
EST,Estonia,2019,-2983.159111788591,-2.983159111788591,benefits_from_ut,-25091.75349550318
EST,Estonia,2020,-2645.459704361414,-2.645459704361414,benefits_from_ut,-25091.75349550318
EST,Estonia,2021,-10070.362359848668,-10.070362359848668,benefits_from_ut,-25091.75349550318
EST,Estonia,2022,-1770.0132901911966,-1.7700132901911965,benefits_from_ut,-25091.75349550318
FRA,France,2016,-6301.041541278937,-6.301041541278937,benefits_from_ut,-193015.63540776243
FRA,France,2017,-24236.02370711688,-24.236023707116882,benefits_from_ut,-193015.63540776243
FRA,France,2018,-28427.038063011023,-28.42703806301102,benefits_from_ut,-193015.63540776243
FRA,France,2019,-33108.73916356568,-33.10873916356568,benefits_from_ut,-193015.63540776243
FRA,France,2020,-18745.452721872534,-18.745452721872535,benefits_from_ut,-193015.63540776243
FRA,France,2021,-32926.104077158256,-32.92610407715826,benefits_from_ut,-193015.63540776243
FRA,France,2022,-49271.23613375911,-49.2712361337591,benefits_from_ut,-193015.63540776243
GRC,Greece,2016,-1093.8960253013447,-1.0938960253013448,benefits_from_ut,-5399.338658049549
GRC,Greece,2017,-2238.97836650216,-2.23897836650216,benefits_from_ut,-5399.338658049549
GRC,Greece,2018,-497.9192258841467,-0.4979192258841467,benefits_from_ut,-5399.338658049549
GRC,Greece,2019,-2506.0440106471165,-2.5060440106471167,benefits_from_ut,-5399.338658049549
GRC,Greece,2020,328.8964355799167,0.3288964355799167,benefits_from_ut,-5399.338658049549
GRC,Greece,2021,-565.5225647348573,-0.5655225647348573,benefits_from_ut,-5399.338658049549
GRC,Greece,2022,1174.1250994401598,1.1741250994401597,benefits_from_ut,-5399.338658049549
HRV,Croatia,2016,1472.3216983199086,1.4723216983199086,benefits_from_ut,-5824.930918960697
HRV,Croatia,2017,-2398.887946662544,-2.398887946662544,benefits_from_ut,-5824.930918960697
HRV,Croatia,2018,1636.3953826838572,1.636395382683857,benefits_from_ut,-5824.930918960697
HRV,Croatia,2019,-1998.184330335576,-1.9981843303355762,benefits_from_ut,-5824.930918960697
HRV,Croatia,2020,-779.1834018927068,-0.7791834018927069,benefits_from_ut,-5824.930918960697
HRV,Croatia,2021,-2974.659507704731,-2.974659507704731,benefits_from_ut,-5824.930918960697
HRV,Croatia,2022,-782.7328133689056,-0.7827328133689055,benefits_from_ut,-5824.930918960697
HUN,Hungary,2016,-272.3062009692801,-0.2723062009692801,benefits_from_ut,-12366.08476960245
HUN,Hungary,2017,-8947.238099886796,-8.947238099886796,benefits_from_ut,-12366.08476960245
HUN,Hungary,2018,-1880.7975428202687,-1.8807975428202688,benefits_from_ut,-12366.08476960245
HUN,Hungary,2019,1604.113864257337,1.604113864257337,benefits_from_ut,-12366.08476960245
HUN,Hungary,2020,2077.7128615795755,2.0777128615795757,benefits_from_ut,-12366.08476960245
HUN,Hungary,2021,-2481.825066697528,-2.481825066697528,benefits_from_ut,-12366.08476960245
HUN,Hungary,2022,-2465.7445850654894,-2.4657445850654893,benefits_from_ut,-12366.08476960245
ITA,Italy,2016,-9840.478440853129,-9.84047844085313,benefits_from_ut,-75273.36849687583
ITA,Italy,2017,-8343.470936249088,-8.343470936249089,benefits_from_ut,-75273.36849687583
ITA,Italy,2018,-8397.343930809957,-8.397343930809956,benefits_from_ut,-75273.36849687583
ITA,Italy,2019,-10184.731665601092,-10.184731665601092,benefits_from_ut,-75273.36849687583
ITA,Italy,2020,-7089.011946569002,-7.089011946569002,benefits_from_ut,-75273.36849687583
ITA,Italy,2021,-19692.341945517703,-19.692341945517704,benefits_from_ut,-75273.36849687583
ITA,Italy,2022,-11725.989631275854,-11.725989631275853,benefits_from_ut,-75273.36849687583
LTU,Lithuania,2016,-228.66362640648612,-0.2286636264064861,benefits_from_ut,-1284.9691119860322
LTU,Lithuania,2017,-582.6710108019907,-0.5826710108019908,benefits_from_ut,-1284.9691119860322
LTU,Lithuania,2018,-497.05373871200607,-0.4970537387120061,benefits_from_ut,-1284.9691119860322
LTU,Lithuania,2019,-416.2448436357813,-0.4162448436357813,benefits_from_ut,-1284.9691119860322
LTU,Lithuania,2020,183.4405820438567,0.1834405820438567,benefits_from_ut,-1284.9691119860322
LTU,Lithuania,2021,29.955161286747625,0.029955161286747627,benefits_from_ut,-1284.9691119860322
LTU,Lithuania,2022,226.26836423962772,0.2262683642396277,benefits_from_ut,-1284.9691119860322
LVA,Latvia,2016,856.1239611924079,0.856123961192408,benefits_from_ut,-9358.595723288534
LVA,Latvia,2017,-1252.8020551400684,-1.2528020551400685,benefits_from_ut,-9358.595723288534
LVA,Latvia,2018,1941.056447556957,1.941056447556957,benefits_from_ut,-9358.595723288534
LVA,Latvia,2019,-237.03391870894393,-0.23703391870894394,benefits_from_ut,-9358.595723288534
LVA,Latvia,2020,2719.277276785703,2.719277276785703,benefits_from_ut,-9358.595723288534
LVA,Latvia,2021,-13844.826082609101,-13.844826082609101,benefits_from_ut,-9358.595723288534
LVA,Latvia,2022,459.6086476345122,0.4596086476345122,benefits_from_ut,-9358.595723288534
POL,Poland,2016,-5051.772225065643,-5.051772225065643,benefits_from_ut,-62354.96814543431
POL,Poland,2017,-9807.954079246876,-9.807954079246876,benefits_from_ut,-62354.96814543431
POL,Poland,2018,-8877.618168923096,-8.877618168923096,benefits_from_ut,-62354.96814543431
POL,Poland,2019,-11266.314030864409,-11.26631403086441,benefits_from_ut,-62354.96814543431
POL,Poland,2020,-5928.706449311386,-5.9287064493113855,benefits_from_ut,-62354.96814543431
POL,Poland,2021,-12492.924886267105,-12.492924886267105,benefits_from_ut,-62354.96814543431
POL,Poland,2022,-8929.678305755791,-8.929678305755791,benefits_from_ut,-62354.96814543431
ROU,Romania,2016,-1798.231564732667,-1.798231564732667,benefits_from_ut,-30866.563866939247
ROU,Romania,2017,-5579.442753013604,-5.579442753013604,benefits_from_ut,-30866.563866939247
ROU,Romania,2018,-4268.434102166775,-4.2684341021667755,benefits_from_ut,-30866.563866939247
ROU,Romania,2019,-5763.957320506553,-5.763957320506552,benefits_from_ut,-30866.563866939247
ROU,Romania,2020,-2517.1575693787536,-2.5171575693787536,benefits_from_ut,-30866.563866939247
ROU,Romania,2021,-7570.966549890325,-7.570966549890325,benefits_from_ut,-30866.563866939247
ROU,Romania,2022,-3368.3740072505684,-3.3683740072505683,benefits_from_ut,-30866.563866939247
SVN,Slovenia,2016,60.31237213335751,0.060312372133357516,benefits_from_ut,-2568.4317466458233
SVN,Slovenia,2017,-484.9377083123301,-0.4849377083123301,benefits_from_ut,-2568.4317466458233
SVN,Slovenia,2018,-506.2501935621864,-0.5062501935621864,benefits_from_ut,-2568.4317466458233
SVN,Slovenia,2019,-416.4583082128104,-0.4164583082128104,benefits_from_ut,-2568.4317466458233
SVN,Slovenia,2020,-370.4835316495463,-0.3704835316495463,benefits_from_ut,-2568.4317466458233
SVN,Slovenia,2021,-380.4829520541747,-0.3804829520541747,benefits_from_ut,-2568.4317466458233
SVN,Slovenia,2022,-470.1314249881332,-0.47013142498813315,benefits_from_ut,-2568.4317466458233
AUT,Austria,2016,422.3106336387216,0.42231063363872157,loses_under_ut,13955.913925752478
AUT,Austria,2017,3263.9012971580455,3.2639012971580454,loses_under_ut,13955.913925752478
AUT,Austria,2018,-2163.6802681414724,-2.1636802681414724,loses_under_ut,13955.913925752478
AUT,Austria,2019,1546.9379176353746,1.5469379176353746,loses_under_ut,13955.913925752478
AUT,Austria,2020,3337.779939142386,3.337779939142386,loses_under_ut,13955.913925752478
AUT,Austria,2021,8685.441751119879,8.685441751119878,loses_under_ut,13955.913925752478
AUT,Austria,2022,-1136.7773448004555,-1.1367773448004554,loses_under_ut,13955.913925752478
DNK,Denmark,2016,7053.576440416711,7.053576440416712,loses_under_ut,91421.10869945759
DNK,Denmark,2017,15928.636453018476,15.928636453018477,loses_under_ut,91421.10869945759
DNK,Denmark,2018,10671.00491402964,10.67100491402964,loses_under_ut,91421.10869945759
DNK,Denmark,2019,12873.381948917951,12.87338194891795,loses_under_ut,91421.10869945759
DNK,Denmark,2020,9751.779807978684,9.751779807978684,loses_under_ut,91421.10869945759
DNK,Denmark,2021,31437.15801310826,31.43715801310826,loses_under_ut,91421.10869945759
DNK,Denmark,2022,3705.5711219878667,3.705571121987867,loses_under_ut,91421.10869945759
FIN,Finland,2016,-138.19157541421265,-0.13819157541421265,loses_under_ut,11560.105844122168
FIN,Finland,2017,9751.520913240567,9.751520913240567,loses_under_ut,11560.105844122168
FIN,Finland,2018,239.57987204535948,0.2395798720453595,loses_under_ut,11560.105844122168
