iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group
BEL,Belgium,2016,-22607.275428807417,-22.607275428807416,benefits_from_ut
BEL,Belgium,2017,-57293.90213573883,-57.293902135738826,benefits_from_ut
BEL,Belgium,2018,-51305.792159947305,-51.3057921599473,benefits_from_ut
BEL,Belgium,2019,-75401.53533842742,-75.40153533842742,benefits_from_ut
BEL,Belgium,2020,-4653.985632437778,-4.653985632437778,benefits_from_ut
BEL,Belgium,2021,-9020.502475824345,-9.020502475824346,benefits_from_ut
BEL,Belgium,2022,-16925.4163657217,-16.9254163657217,benefits_from_ut
BGR,Bulgaria,2016,258.01019147132104,0.25801019147132104,benefits_from_ut
BGR,Bulgaria,2017,-819.1147080617972,-0.8191147080617972,benefits_from_ut
BGR,Bulgaria,2018,-165.79415991892813,-0.16579415991892812,benefits_from_ut
BGR,Bulgaria,2019,-436.69239013491733,-0.43669239013491734,benefits_from_ut
BGR,Bulgaria,2020,272.32811671627894,0.27232811671627893,benefits_from_ut
BGR,Bulgaria,2021,-745.5437347743924,-0.7455437347743924,benefits_from_ut
BGR,Bulgaria,2022,-258.9551746060097,-0.2589551746060097,benefits_from_ut
CYP,Cyprus,2016,-688.1806512390356,-0.6881806512390356,benefits_from_ut
CYP,Cyprus,2017,-2379.507482582606,-2.379507482582606,benefits_from_ut
CYP,Cyprus,2018,-3355.43073183909,-3.3554307318390904,benefits_from_ut
CYP,Cyprus,2019,-3929.4263234727505,-3.9294263234727507,benefits_from_ut
CYP,Cyprus,2020,-2052.7051292530787,-2.0527051292530785,benefits_from_ut
CYP,Cyprus,2021,9543.46492148145,9.543464921481451,benefits_from_ut
CYP,Cyprus,2022,924.1351463977412,0.9241351463977412,benefits_from_ut
CZE,Czechia,2016,482.9920239311613,0.4829920239311613,benefits_from_ut
CZE,Czechia,2017,-1606.523077596752,-1.606523077596752,benefits_from_ut
CZE,Czechia,2018,-1925.5875464428434,-1.9255875464428434,benefits_from_ut
CZE,Czechia,2019,-1354.616507452699,-1.3546165074526988,benefits_from_ut
CZE,Czechia,2020,-2223.0827641405913,-2.2230827641405915,benefits_from_ut
CZE,Czechia,2021,-4004.9190849897354,-4.004919084989735,benefits_from_ut
CZE,Czechia,2022,-2060.478382343232,-2.060478382343232,benefits_from_ut
DEU,Germany,2016,-8436.619459090489,-8.436619459090489,benefits_from_ut
