iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
BEL,Belgium,-227141.27547235627,benefits_from_ut
DEU,Germany,-205715.1062319705,benefits_from_ut
FRA,France,-186542.4378309404,benefits_from_ut
ITA,Italy,-73065.94248801017,benefits_from_ut
POL,Poland,-60665.596609933535,benefits_from_ut
ESP,Spain,-47652.29149956335,benefits_from_ut
ROU,Romania,-29957.112899919048,benefits_from_ut
EST,Estonia,-24119.01837354586,benefits_from_ut
CZE,Czechia,-15494.98641396594,benefits_from_ut
HUN,Hungary,-12166.002113173538,benefits_from_ut
LVA,Latvia,-8354.98441979094,benefits_from_ut
HRV,Croatia,-5539.574614229348,benefits_from_ut
GRC,Greece,-5479.164759126841,benefits_from_ut
SVN,Slovenia,-2482.3803661697357,benefits_from_ut
BGR,Bulgaria,-1423.68743420011,benefits_from_ut
LTU,Lithuania,-1300.6612330054024,benefits_from_ut
CYP,Cyprus,-1254.9160466693293,benefits_from_ut
PRT,Portugal,1320.622770774044,loses_under_ut
SVK,Slovak Republic,3123.0228293029136,loses_under_ut
LUX,Luxembourg,6628.997961160272,loses_under_ut
FIN,Finland,11434.171594082147,loses_under_ut
AUT,Austria,13358.992317502612,loses_under_ut
MLT,Malta,19704.09525135913,loses_under_ut
SWE,Sweden,85794.92417776762,loses_under_ut
DNK,Denmark,88415.522503926,loses_under_ut
IRL,Ireland,278865.27398960915,loses_under_ut
NLD,Netherlands,379584.0950299825,loses_under_ut
