iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
BEL,Belgium,-237208.4095369048,benefits_from_ut
FRA,France,-182104.76663593022,benefits_from_ut
DEU,Germany,-178643.35313529553,benefits_from_ut
ITA,Italy,-76492.51510448832,benefits_from_ut
ESP,Spain,-63595.148354621524,benefits_from_ut
POL,Poland,-62874.07811165873,benefits_from_ut
ROU,Romania,-38644.43135536848,benefits_from_ut
EST,Estonia,-26376.449865814073,benefits_from_ut
HUN,Hungary,-14480.92648791687,benefits_from_ut
CZE,Czechia,-12692.215339034692,benefits_from_ut
HRV,Croatia,-11915.31805402828,benefits_from_ut
LVA,Latvia,-10261.016742982645,benefits_from_ut
GRC,Greece,-6733.029914028621,benefits_from_ut
SVK,Slovak Republic,-5799.210749932854,benefits_from_ut
PRT,Portugal,-5332.048293112999,benefits_from_ut
LUX,Luxembourg,-3835.14494830729,benefits_from_ut
LTU,Lithuania,-3391.22288065777,benefits_from_ut
SVN,Slovenia,-1984.1765804586826,benefits_from_ut
CYP,Cyprus,-1937.650250507369,benefits_from_ut
BGR,Bulgaria,-1895.7618593084449,benefits_from_ut
FIN,Finland,917.9565655066426,loses_under_ut
AUT,Austria,10483.768442914563,loses_under_ut
MLT,Malta,19330.640523943126,loses_under_ut
SWE,Sweden,72993.60523653546,loses_under_ut
DNK,Denmark,88234.37572408884,loses_under_ut
IRL,Ireland,242911.3054499138,loses_under_ut
NLD,Netherlands,355015.462289924,loses_under_ut
