iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
BEL,Belgium,1.3215906565237956,74.46061690316398,-73.13902624664019
FRA,France,0.5863575067909605,61.66246229818687,-61.076104791395906
DEU,Germany,8.449443841254947,69.51542825145818,-61.06598441020323
LUX,Luxembourg,5.068936711731001,43.678602028854954,-38.609665317123955
ITA,Italy,0.9267123139312237,22.878636301486257,-21.951923987555034
ESP,Spain,1.3885267543731559,21.617291280085183,-20.228764525712027
POL,Poland,0.6368379105283071,12.694463586801078,-12.057625676272771
ROU,Romania,0.34963952973279455,6.594354527778803,-6.244714998046009
EST,Estonia,0.027198856424583015,5.511612281267524,-5.484413424842941
LVA,Latvia,0.6397592210027719,4.257070982867156,-3.6173117618643844
PRT,Portugal,1.6081935590089984,4.864830693471088,-3.25663713446209
CYP,Cyprus,0.2832256075669629,3.1743047127216153,-2.8910791051546525
CZE,Czechia,0.7513690476406316,3.399053255460091,-2.6476842078194593
GRC,Greece,0.05167722978091443,2.3063148916025105,-2.254637661821596
HRV,Croatia,0.1867114004430449,2.3721397438157714,-2.1854283433727266
AUT,Austria,3.6486881900584236,5.134786784048375,-1.4860985939899511
HUN,Hungary,0.673710243972655,2.070787142286799,-1.397076898314144
MLT,Malta,0.9254170787717677,1.5684372864176896,-0.6430202076459219
LTU,Lithuania,0.11649811470137592,0.6598288756305455,-0.5433307609291695
SVN,Slovenia,0.16094647677733637,0.5886647997509247,-0.4277183229735883
SVK,Slovak Republic,1.6107036951362474,1.9937322407690534,-0.383028545632806
FIN,Finland,3.4406964444485864,3.7836130257488336,-0.34291658130024727
BGR,Bulgaria,0.3822060708153908,0.6070114634395928,-0.22480539262420196
IRL,Ireland,9.925820251508963,8.5914005258041,1.334419725704862
DNK,Denmark,7.777452645416568,3.601225635156618,4.17622701025995
SWE,Sweden,15.61545800702266,10.652364960770184,4.963093046252476
NLD,Netherlands,37.622435160845626,24.018694371473437,13.60374078937219
