iso_partner,partner_jurisdiction,tax_loss_bn
DEU,Germany,91.94994073261756
BEL,Belgium,76.44680430750267
FRA,France,75.00562244636973
LUX,Luxembourg,35.5950226679842
ESP,Spain,30.537669552758842
POL,Poland,21.36011402852284
NLD,Netherlands,20.125958631231065
ITA,Italy,17.70783050443956
SWE,Sweden,14.641782957561746
AUT,Austria,8.546416141455465
FIN,Finland,8.53330821444303
ROU,Romania,7.7008441095833255
CZE,Czechia,7.047103100876766
EST,Estonia,6.1217339073380455
PRT,Portugal,5.793810413198476
IRL,Ireland,5.583201718447124
LVA,Latvia,5.461106728511051
DNK,Denmark,4.782438630862883
SVK,Slovak Republic,4.723929126614326
CYP,Cyprus,3.569485664042263
HUN,Hungary,2.796130166217714
GRC,Greece,2.1802672814113975
MLT,Malta,1.4925145088667036
HRV,Croatia,1.4877933582210343
LTU,Lithuania,1.3839371851756586
SVN,Slovenia,1.2274658472625828
BGR,Bulgaria,0.8483729940965479
