year,iso_responsible,iso_affected,shifted_profit_musd
2016,NLD,BEL,16576.1658993697
2016,NLD,FRA,3129.8209992175075
2016,NLD,DEU,2330.519663314462
2016,NLD,LUX,2169.304363352599
2016,ESP,ITA,1590.4031795510775
2016,NLD,POL,1341.631925890026
2016,HKG,DEU,1295.3415892298203
2016,VGB,DEU,1183.8207533011685
2016,NLD,IRL,1101.9858121649645
2016,SWE,DEU,1073.8807586742394
2016,SWE,POL,1049.0745275975485
2016,NLD,GRC,961.509974106755
2016,GBR,BEL,913.4828316237628
2016,SWE,FRA,809.4248122578938
2016,NLD,ROU,791.4805045289933
2016,CHL,ITA,778.8155617151708
2016,SWE,BEL,742.534832287124
2016,LUX,POL,673.1087708103323
2016,DNK,ESP,665.0560215321445
2016,HKG,POL,663.1036303051026
2016,CHE,POL,583.1387435624107
2016,SWE,ESP,574.9186099682604
2016,IRL,DEU,572.7669152234522
2016,CYM,DEU,562.3221720780609
2016,DNK,DEU,549.841334922818
2016,BMU,DEU,546.9958144602218
2016,NLD,ESP,525.1160346574866
2016,GBR,FRA,474.3438482560523
2016,LUX,ITA,469.0849961179452
2016,NLD,ITA,462.27046743601926
2016,IRL,ITA,449.6435280875595
2016,HKG,FRA,449.215387603167
2016,ASM,DEU,447.31361231610117
2016,NLD,CYP,440.9754483221499
2016,SWE,CYP,440.26679300348985
2016,IRL,POL,435.22063211042524
2016,PAN,DEU,434.55975759331176
2016,HKG,BEL,419.189759646529
2016,KAZ,ITA,413.31785046006223
2016,VGB,BEL,400.2608905626782
2016,SWE,ROU,396.6734872519874
2016,DNK,FRA,342.3061896494977
2016,NLD,CZE,332.229157778704
2016,SGP,DEU,322.81737364938294
2016,SWE,SVK,321.64603468037086
2016,VGB,FRA,314.2224835994034
2016,SGP,POL,311.8957580240922
2016,HKG,ESP,306.23898678273684
2016,NLD,SVK,303.97383126248604
2016,SGP,FRA,297.9489619784515
2016,CYM,FRA,289.63175140268936
2016,NLD,EST,285.482284755255
2016,SWE,EST,281.91560996889996
2016,IRL,ESP,281.73894636828607
2016,VGB,POL,270.90297061395586
2016,DNK,BEL,267.3305324628913
2016,IRL,FRA,263.4199573477878
2016,GBR,ITA,261.63686848689053
2016,BMU,FRA,258.3104698502194
2016,SWE,CZE,249.35408065024433
2016,CYM,POL,246.9702554088449
2016,SGP,ESP,246.60889455514018
2016,NLD,SWE,242.79338686898865
2016,MLT,DEU,241.374075990586
2016,DEU,ITA,237.51987086750447
2016,PAN,BEL,235.00120470028216
2016,LUX,ESP,233.31927401342358
2016,CHE,ESP,232.73099969840786
2016,ASM,FRA,230.39787868858514
2016,PRI,DEU,222.9148107560378
2016,CYM,ESP,217.0735932460226
2016,ASM,ESP,212.00603692562947
2016,CYM,BEL,210.80747272563178
2016,NLD,DNK,210.05119051925232
2016,BMU,ESP,206.41070306876838
2016,NLD,HRV,205.65572630646167
2016,DNK,POL,200.4685051229342
2016,SWE,FIN,199.86229863352187
2016,SWE,ITA,199.7293955453362
2016,NLD,FIN,197.57876183109985
2016,BMU,POL,197.26480139559675
2016,DNK,AUT,195.8298681288391
2016,ESP,PRT,194.03748297860372
2016,SWE,AUT,193.21072125651114
2016,BHS,DEU,192.86903363958194
2016,PRI,LUX,191.762873456127
2016,ASM,LUX,190.012621720589
2016,IRL,LUX,185.92731791708403
2016,MLT,POL,185.35655932643812
2016,PAN,POL,184.90863140528353
2016,ASM,POL,184.80474073669566
2016,NLD,PRT,182.25595398018123
2016,HKG,CYP,180.8101141031181
2016,PRI,ESP,180.00416243010753
2016,HKG,SWE,178.19347036758722
2016,LUX,CYP,176.99535199353403
2016,PRI,FRA,175.75169367181584
2016,LUX,BEL,173.80333130494037
2016,BMU,LUX,172.51073003400913
2016,NLD,HUN,171.78121822891796
2016,SGP,LUX,168.9299944815015
