iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group,total_net_misalignment_musd
AUT,Austria,2016,-509.48776794351795,-0.5094877679435179,benefits_from_ut,-1695.0278282564059
AUT,Austria,2017,415.44749326876354,0.4154474932687635,benefits_from_ut,-1695.0278282564059
AUT,Austria,2018,-5789.535417136757,-5.789535417136757,benefits_from_ut,-1695.0278282564059
AUT,Austria,2019,-2971.5174740398015,-2.9715174740398016,benefits_from_ut,-1695.0278282564059
AUT,Austria,2020,1770.7758179526431,1.7707758179526432,benefits_from_ut,-1695.0278282564059
AUT,Austria,2021,6176.025426814261,6.1760254268142605,benefits_from_ut,-1695.0278282564059
AUT,Austria,2022,-786.7359071719975,-0.7867359071719975,benefits_from_ut,-1695.0278282564059
BEL,Belgium,2016,-22602.974525353933,-22.602974525353932,benefits_from_ut,-245097.8771229668
BEL,Belgium,2017,-59965.90421672514,-59.965904216725136,benefits_from_ut,-245097.8771229668
BEL,Belgium,2018,-49638.41074833117,-49.63841074833117,benefits_from_ut,-245097.8771229668
BEL,Belgium,2019,-75926.12660390734,-75.92612660390733,benefits_from_ut,-245097.8771229668
BEL,Belgium,2020,-7534.417465186084,-7.534417465186084,benefits_from_ut,-245097.8771229668
BEL,Belgium,2021,-11668.047275540388,-11.668047275540388,benefits_from_ut,-245097.8771229668
BEL,Belgium,2022,-17761.996287922753,-17.761996287922752,benefits_from_ut,-245097.8771229668
BGR,Bulgaria,2016,139.58337917606917,0.13958337917606917,benefits_from_ut,-4525.022857883952
BGR,Bulgaria,2017,-1109.2642190614042,-1.1092642190614042,benefits_from_ut,-4525.022857883952
BGR,Bulgaria,2018,-567.3775844000947,-0.5673775844000948,benefits_from_ut,-4525.022857883952
BGR,Bulgaria,2019,-751.7158832325446,-0.7517158832325446,benefits_from_ut,-4525.022857883952
BGR,Bulgaria,2020,-48.03530826820611,-0.04803530826820611,benefits_from_ut,-4525.022857883952
BGR,Bulgaria,2021,-1379.5755820463528,-1.3795755820463529,benefits_from_ut,-4525.022857883952
BGR,Bulgaria,2022,-808.6376600514195,-0.8086376600514196,benefits_from_ut,-4525.022857883952
CYP,Cyprus,2016,-468.717644500284,-0.46871764450028397,benefits_from_ut,-6121.187011490905
CYP,Cyprus,2017,-2597.0822038789206,-2.5970822038789207,benefits_from_ut,-6121.187011490905
CYP,Cyprus,2018,-3966.081111084545,-3.9660811110845446,benefits_from_ut,-6121.187011490905
CYP,Cyprus,2019,-4303.066267631152,-4.303066267631152,benefits_from_ut,-6121.187011490905
CYP,Cyprus,2020,-2306.914538394845,-2.306914538394845,benefits_from_ut,-6121.187011490905
CYP,Cyprus,2021,8192.706779988373,8.192706779988374,benefits_from_ut,-6121.187011490905
CYP,Cyprus,2022,-672.032025989532,-0.672032025989532,benefits_from_ut,-6121.187011490905
CZE,Czechia,2016,-1840.722687026124,-1.840722687026124,benefits_from_ut,-35839.4186140055
CZE,Czechia,2017,-5024.925341181804,-5.024925341181803,benefits_from_ut,-35839.4186140055
CZE,Czechia,2018,-6576.955245296444,-6.576955245296444,benefits_from_ut,-35839.4186140055
CZE,Czechia,2019,-5216.746675483327,-5.216746675483327,benefits_from_ut,-35839.4186140055
CZE,Czechia,2020,-4275.94781462439,-4.27594781462439,benefits_from_ut,-35839.4186140055
CZE,Czechia,2021,-7311.191861483255,-7.3111918614832545,benefits_from_ut,-35839.4186140055
CZE,Czechia,2022,-5592.92898891016,-5.5929289889101605,benefits_from_ut,-35839.4186140055
DEU,Germany,2016,-9614.938022988958,-9.614938022988957,benefits_from_ut,-289647.96676466963
DEU,Germany,2017,-33349.29787007772,-33.34929787007772,benefits_from_ut,-289647.96676466963
DEU,Germany,2018,-48722.98095662888,-48.72298095662888,benefits_from_ut,-289647.96676466963
DEU,Germany,2019,-32289.29954827552,-32.28929954827552,benefits_from_ut,-289647.96676466963
DEU,Germany,2020,-55237.36838301797,-55.23736838301797,benefits_from_ut,-289647.96676466963
DEU,Germany,2021,-69892.17845088466,-69.89217845088466,benefits_from_ut,-289647.96676466963
DEU,Germany,2022,-40541.90353279594,-40.54190353279594,benefits_from_ut,-289647.96676466963
ESP,Spain,2016,77.72433727385123,0.07772433727385124,benefits_from_ut,-87285.82078093142
ESP,Spain,2017,-3891.712925964084,-3.891712925964084,benefits_from_ut,-87285.82078093142
ESP,Spain,2018,-4887.3340028586845,-4.887334002858685,benefits_from_ut,-87285.82078093142
ESP,Spain,2019,-26134.491159609493,-26.134491159609492,benefits_from_ut,-87285.82078093142
ESP,Spain,2020,-20389.036079701735,-20.389036079701736,benefits_from_ut,-87285.82078093142
ESP,Spain,2021,-12375.368613166487,-12.375368613166486,benefits_from_ut,-87285.82078093142
ESP,Spain,2022,-19685.602336904783,-19.685602336904783,benefits_from_ut,-87285.82078093142
EST,Estonia,2016,-1600.8889719737008,-1.6008889719737007,benefits_from_ut,-27907.41771046011
EST,Estonia,2017,-2735.736277149364,-2.735736277149364,benefits_from_ut,-27907.41771046011
EST,Estonia,2018,-2535.639595752101,-2.5356395957521007,benefits_from_ut,-27907.41771046011
EST,Estonia,2019,-3032.4835381059556,-3.032483538105956,benefits_from_ut,-27907.41771046011
EST,Estonia,2020,-3071.627985530387,-3.071627985530387,benefits_from_ut,-27907.41771046011
EST,Estonia,2021,-13349.00134647953,-13.34900134647953,benefits_from_ut,-27907.41771046011
EST,Estonia,2022,-1582.039995469073,-1.582039995469073,benefits_from_ut,-27907.41771046011
FIN,Finland,2016,-524.8537934957923,-0.5248537934957923,benefits_from_ut,-15599.012780979856
FIN,Finland,2017,8587.097280003009,8.58709728000301,benefits_from_ut,-15599.012780979856
FIN,Finland,2018,-17127.543757181687,-17.127543757181687,benefits_from_ut,-15599.012780979856
FIN,Finland,2019,-3743.4506464266424,-3.743450646426642,benefits_from_ut,-15599.012780979856
FIN,Finland,2020,-2450.048258983793,-2.450048258983793,benefits_from_ut,-15599.012780979856
