iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
DEU,Germany,-289647.96676466963,benefits_from_ut
BEL,Belgium,-245097.8771229668,benefits_from_ut
FRA,France,-224722.30529753285,benefits_from_ut
POL,Poland,-109102.53809418417,benefits_from_ut
ESP,Spain,-87285.82078093142,benefits_from_ut
ITA,Italy,-60404.657665451225,benefits_from_ut
ROU,Romania,-43123.130194678226,benefits_from_ut
CZE,Czechia,-35839.4186140055,benefits_from_ut
EST,Estonia,-27907.41771046011,benefits_from_ut
HUN,Hungary,-22748.078972947696,benefits_from_ut
FIN,Finland,-15599.012780979856,benefits_from_ut
SVK,Slovak Republic,-13370.072689446915,benefits_from_ut
LVA,Latvia,-8945.009549650484,benefits_from_ut
LTU,Lithuania,-7192.968737038873,benefits_from_ut
CYP,Cyprus,-6121.187011490905,benefits_from_ut
SVN,Slovenia,-6093.313191149661,benefits_from_ut
BGR,Bulgaria,-4525.022857883952,benefits_from_ut
PRT,Portugal,-4215.856123514601,benefits_from_ut
GRC,Greece,-3683.667412636282,benefits_from_ut
AUT,Austria,-1695.0278282564059,benefits_from_ut
HRV,Croatia,2338.7096757823297,loses_under_ut
MLT,Malta,41271.323077363435,loses_under_ut
LUX,Luxembourg,73800.80119510292,loses_under_ut
SWE,Sweden,78206.22035667239,loses_under_ut
DNK,Denmark,125212.69510654573,loses_under_ut
NLD,Netherlands,376386.98247015756,loses_under_ut
IRL,Ireland,385872.3172786042,loses_under_ut
