iso_partner,partner_jurisdiction,net_bn,reported_bn,etr,etr_pct,role
IRL,Ireland,385.8723172786042,478.7778047956934,0.11072926892105953,11.072926892105952,winner_haven
NLD,Netherlands,376.3869824701576,752.1296053020604,0.07781289544638086,7.781289544638086,winner_haven
DNK,Denmark,125.21269510654572,273.32129655908807,0.111615583555342,11.1615583555342,winner_haven
SWE,Sweden,78.20622035667239,405.2712738782252,0.10160741239526835,10.160741239526835,winner_haven
LUX,Luxembourg,73.8008011951029,-15.34172409568281,0.029678447842830972,2.967844784283097,winner_haven
MLT,Malta,41.271323077363434,44.816326469747935,0.031626360527869574,3.1626360527869575,winner_haven
HRV,Croatia,2.33870967578233,76.630009215835,0.15187483919900657,15.187483919900657,winner_haven
AUT,Austria,-1.695027828256408,184.331286450745,0.10367293820249553,10.367293820249552,loser_victim
GRC,Greece,-3.683667412636282,19.297777566175967,0.1549830506178514,15.498305061785139,loser_victim
PRT,Portugal,-4.215856123514602,77.03274166761152,0.10026252284178562,10.026252284178563,loser_victim
BGR,Bulgaria,-4.525022857883953,21.8933364669069,0.08557454118348207,8.557454118348208,loser_victim
SVN,Slovenia,-6.093313191149662,14.095270813545179,0.24856614818454428,24.856614818454428,loser_victim
CYP,Cyprus,-6.121187011490905,26.64757354944032,0.027944864062540813,2.794486406254081,loser_victim
LTU,Lithuania,-7.192968737038872,11.385591045259895,0.08993030731855108,8.993030731855107,loser_victim
LVA,Latvia,-8.945009549650482,55.74856985167421,0.05290399066988495,5.2903990669884955,loser_victim
SVK,Slovak Republic,-13.370072689446916,58.87778208532122,0.1063003845659948,10.63003845659948,loser_victim
FIN,Finland,-15.599012780979855,113.0964959677647,0.12121107254972618,12.121107254972618,loser_victim
HUN,Hungary,-22.748078972947695,48.21082273984474,0.1436894235857327,14.36894235857327,loser_victim
EST,Estonia,-27.907417710460113,8.298409621065288,0.07875545615669886,7.875545615669886,loser_victim
CZE,Czechia,-35.8394186140055,96.56067371803573,0.16121997587245832,16.121997587245833,loser_victim
ROU,Romania,-43.123130194678225,67.21360383822332,0.14280536869128732,14.280536869128731,loser_victim
ITA,Italy,-60.404657665451225,452.3675244692998,0.17240738270392145,17.240738270392146,loser_victim
ESP,Spain,-87.28582078093142,369.8292384782663,0.13396742262672895,13.396742262672895,loser_victim
POL,Poland,-109.10253809418418,154.7505432424757,0.18281761681702371,18.28176168170237,loser_victim
FRA,France,-224.72230529753284,799.367283900594,0.1784400198020652,17.84400198020652,loser_victim
BEL,Belgium,-245.0978771229668,229.67585785986313,0.17383767193561023,17.383767193561024,loser_victim
DEU,Germany,-289.64796676466966,1236.4326357123878,0.15528647277209534,15.528647277209535,loser_victim
