iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
DEU,Germany,0.23307918642010164,88.56078020598235,-88.32770101956226
BEL,Belgium,0.5127401462316993,75.6835975484509,-75.17085740221921
FRA,France,0.0,72.81431379136549,-72.81431379136549
LUX,Luxembourg,2.197369858504281,33.86214657621439,-31.66477671771011
ESP,Spain,1.7110689455227892,29.52310042118994,-27.81203147566715
POL,Poland,0.0,20.729482237894995,-20.729482237894995
ITA,Italy,0.0,17.024390924410447,-17.024390924410447
SWE,Sweden,5.499613364643626,14.047913399348518,-8.548300034704893
ROU,Romania,0.09727398160496728,7.461479150805733,-7.3642051692007655
FIN,Finland,1.1362819112185123,8.215541071290703,-7.079259160072191
NLD,Netherlands,12.362991290173817,19.33409483178539,-6.971103541611573
AUT,Austria,1.4581880762264825,8.308783267341349,-6.850595191114866
CZE,Czechia,0.0,6.8094895366610455,-6.8094895366610455
EST,Estonia,0.049610913920750475,5.821522425952913,-5.771911512032163
PRT,Portugal,0.7334655336009452,5.594763511629036,-4.861297978028091
LVA,Latvia,0.24382902161586145,5.08735101402773,-4.843521992411868
SVK,Slovak Republic,0.20691868332081517,4.601473084361792,-4.394554401040977
CYP,Cyprus,0.1791255669579629,3.4773647039553004,-3.2982391369973376
HUN,Hungary,0.21616376379938768,2.730453924871659,-2.5142901610722714
GRC,Greece,0.340557706151701,2.169886520939251,-1.8293288147875497
LTU,Lithuania,0.07975164838070825,1.3436533333857161,-1.263901685005008
SVN,Slovenia,0.0021282160849436234,1.1938720871610469,-1.1917438710761032
HRV,Croatia,0.2963659381682291,1.4523852609017733,-1.1560193227335442
BGR,Bulgaria,0.1112218639324529,0.8169500402577754,-0.7057281763253225
MLT,Malta,0.8404014163528055,1.4507142413015401,-0.6103128249487346
DNK,Denmark,6.591996658246912,4.664948742591991,1.9270479156549207
IRL,Ireland,11.742225468242593,5.316134768587766,6.426090699654827
