year,sample_name,formula_name,etr_name,rate_mode,n_countries,total_shifted_musd,total_tax_loss_musd,total_tax_gain_musd,total_revenue_gain_from_ut_musd,total_current_tax_paid_cash_musd,revenue_gain_from_ut_pct_of_current_tax_paid
2016,disaggregated,ccctb,average,loss_cit_gain_cit,226,513195.2707728316,168720.7978737902,92020.74082601524,76700.05704777499,746276.0173816935,10.27770627238925
2017,disaggregated,ccctb,average,loss_cit_gain_cit,226,911745.5624690774,286345.58615743404,154967.1057607554,131378.48039667864,1045079.5651875236,12.571146233550628
2018,disaggregated,ccctb,average,loss_cit_gain_cit,226,721121.2769373414,181777.97563442696,132040.13307455365,49737.84255987335,1259479.2582178037,3.9490799261159495
2019,disaggregated,ccctb,average,loss_cit_gain_cit,226,904266.5774665598,229404.37263317208,162509.71420310045,66894.65843007163,1323329.4093099632,5.0550269614995695
2020,disaggregated,ccctb,average,loss_cit_gain_cit,226,788000.9964625139,181930.9407339105,117023.67800140548,64907.26273250507,1195585.845617697,5.42890859492995
2021,disaggregated,ccctb,average,loss_cit_gain_cit,226,957490.459899294,223102.78263361155,135227.11705618905,87875.66557742251,1528308.0194238108,5.749866156597975
2022,disaggregated,ccctb,average,loss_cit_gain_cit,226,778998.1970434221,176899.3252462406,113766.8671650918,63132.4580811488,1821733.8969629752,3.465514814561959
2016,disaggregated,ccctb,average,loss_cit_gain_etr,226,513195.2707728316,168720.7978737902,28716.2015100525,140004.5963637377,746276.0173816935,18.76043087314306
2017,disaggregated,ccctb,average,loss_cit_gain_etr,226,911745.5624690774,286345.58615743404,54768.59169112907,231576.99446630492,1045079.5651875236,22.158790792617975
2018,disaggregated,ccctb,average,loss_cit_gain_etr,226,721121.2769373414,181777.97563442696,47629.82472491826,134148.15090950875,1259479.2582178037,10.651080598130047
2019,disaggregated,ccctb,average,loss_cit_gain_etr,226,904266.5774665598,229404.37263317208,63571.563380185486,165832.8092529866,1323329.4093099632,12.531483702116049
2020,disaggregated,ccctb,average,loss_cit_gain_etr,226,788000.9964625139,181930.9407339105,46262.720709395,135668.22002451553,1195585.845617697,11.347426077499504
2021,disaggregated,ccctb,average,loss_cit_gain_etr,226,957490.459899294,223102.78263361155,59199.31683434503,163903.46579926653,1528308.0194238108,10.724504727853224
2022,disaggregated,ccctb,average,loss_cit_gain_etr,226,778998.1970434221,176899.3252462406,49010.64910898925,127888.67613725136,1821733.8969629752,7.020162294309582
2016,disaggregated,ccctb,average,loss_etr_gain_etr,226,513195.2707728316,130163.26367174913,28716.2015100525,101447.06216169662,746276.0173816935,13.593772250329476
2017,disaggregated,ccctb,average,loss_etr_gain_etr,226,911745.5624690774,215523.45525158787,54768.59169112907,160754.8635604588,1045079.5651875236,15.382069357715723
2018,disaggregated,ccctb,average,loss_etr_gain_etr,226,721121.2769373414,142822.7684745798,47629.82472491826,95192.94374966151,1259479.2582178037,7.558119209073919
2019,disaggregated,ccctb,average,loss_etr_gain_etr,226,904266.5774665598,156937.2174943978,63571.563380185486,93365.65411421232,1323329.4093099632,7.055360022785023
2020,disaggregated,ccctb,average,loss_etr_gain_etr,226,788000.9964625139,121851.31983653206,46262.720709395,75588.59912713706,1195585.845617697,6.3223062906105545
2021,disaggregated,ccctb,average,loss_etr_gain_etr,226,957490.459899294,135977.45468692033,59199.31683434503,76778.13785257531,1528308.0194238108,5.023734540208821
2022,disaggregated,ccctb,average,loss_etr_gain_etr,226,778998.1970434221,116130.80847870228,49010.64910898925,67120.15936971303,1821733.8969629752,3.684410740866682
2016,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,521897.92402585095,169357.5253906406,94686.8602266797,74670.6651639609,746276.0173816935,10.005770442140516
2017,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,942172.7159056128,292345.48226847977,163817.10615985864,128528.37610862116,1045079.5651875236,12.298429745448011
2018,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,735718.762669412,186333.1274713929,135997.1136084076,50336.01386298532,1259479.2582178037,3.996573467530708
2019,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,917841.5805527392,233334.5617555997,166663.0392640028,66671.5224915969,1323329.4093099632,5.038165253681024
2020,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,787446.9747727305,180728.33509726328,118516.2352745198,62212.0998227435,1195585.845617697,5.203482464331262
2021,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,956549.0696881542,221187.35127134036,137774.21067845484,83413.14059288552,1528308.0194238108,5.457874952742394
2022,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,767887.4622460195,173874.22621404013,113642.5266646978,60231.699549342295,1821733.8969629752,3.3062841751890857
2016,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,521897.92402585095,169357.5253906406,29219.903693190307,140137.6216974503,746276.0173816935,18.77825609204522
2017,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,942172.7159056128,292345.48226847977,57855.79392640717,234489.68834207265,1045079.5651875236,22.43749625895681
2018,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,735718.762669412,186333.1274713929,48619.9388183399,137713.18865305302,1259479.2582178037,10.934137085188746
2019,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,917841.5805527392,233334.5617555997,64619.04318058648,168715.5185750132,1323329.4093099632,12.749321324536137
2020,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,787446.9747727305,180728.33509726328,46140.97160489151,134587.3634923718,1195585.845617697,11.257022152419136
2021,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,956549.0696881542,221187.35127134036,59265.12633386506,161922.22493747532,1528308.0194238108,10.5948685002989
2022,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,767887.4622460195,173874.22621404013,47836.7657266781,126037.460487362,1821733.8969629752,6.918543959547544
2016,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,521897.92402585095,131449.7695108507,29219.903693190307,102229.8658176604,746276.0173816935,13.698666905622064
2017,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,942172.7159056128,221057.57465478327,57855.79392640717,163201.78072837612,1045079.5651875236,15.616206283690184
2018,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,735718.762669412,147648.06695387556,48619.9388183399,99028.12813553563,1259479.2582178037,7.862624770467681
2019,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,917841.5805527392,161551.17383308324,64619.04318058648,96932.13065249677,1323329.4093099632,7.324867865140324
2020,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,787446.9747727305,122984.46032119798,46140.97160489151,76843.48871630649,1195585.845617697,6.427266515237594
2021,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,956549.0696881542,140718.1715095904,59265.12633386506,81453.04517572536,1528308.0194238108,5.329622310457683
2022,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,767887.4622460195,116601.53579434744,47836.7657266781,68764.77006766933,1821733.8969629752,3.7746879597677543
2016,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,562591.1536318252,186001.25409225145,96937.5140586414,89063.74003361001,746276.0173816935,11.93442345180672
2017,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,1051721.3178376602,329973.1888952438,176508.58139144228,153464.60750380153,1045079.5651875236,14.68449031210984
2018,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,856343.9516081415,218215.1135967665,153653.1295782202,64561.984018546274,1259479.2582178037,5.126085530769533
2019,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,1036242.6140056564,263716.32863421727,181349.5435817139,82366.7850525033,1323329.4093099632,6.224208762612827
2020,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,915486.4847595886,213972.42438048223,134396.21327323338,79576.21110724889,1195585.845617697,6.655834158536394
2021,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,1154977.169406344,273170.4077675877,165133.2803018001,108037.12746578763,1528308.0194238108,7.069067628560822
2022,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,961599.7407780295,219385.2186051382,139662.54879408178,79722.66981105642,1821733.8969629752,4.376197310922446
2016,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,562591.1536318252,186001.25409225145,32026.47816029225,153974.77593195916,746276.0173816935,20.63241647134516
2017,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,1051721.3178376602,329973.1888952438,63648.63833563152,266324.5505596123,1045079.5651875236,25.483662625421672
2018,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,856343.9516081415,218215.1135967665,56414.15487814742,161800.95871861908,1259479.2582178037,12.846655287326582
2019,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,1036242.6140056564,263716.32863421727,71466.94193895669,192249.38669526053,1323329.4093099632,14.52770454149485
2020,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,915486.4847595886,213972.42438048223,54696.16519684308,159276.2591836392,1195585.845617697,13.322026165452757
2021,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,1154977.169406344,273170.4077675877,74546.17484254976,198624.23292503797,1528308.0194238108,12.99634827539029
2022,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,961599.7407780295,219385.2186051382,61615.81388476381,157769.4047203744,1821733.8969629752,8.660397930970756
2016,disaggregated,employees_payroll,average,loss_etr_gain_etr,226,562591.1536318252,143963.05648743105,32026.47816029225,111936.5783271388,746276.0173816935,14.999353552840656
2017,disaggregated,employees_payroll,average,loss_etr_gain_etr,226,1051721.3178376602,249798.73033014892,63648.63833563152,186150.09199451745,1045079.5651875236,17.812049741984538
2018,disaggregated,employees_payroll,average,loss_etr_gain_etr,226,856343.9516081415,168099.20904880247,56414.15487814742,111685.05417065504,1259479.2582178037,8.867558035746642
2019,disaggregated,employees_payroll,average,loss_etr_gain_etr,226,1036242.6140056564,180600.7213701803,71466.94193895669,109133.77943122364,1323329.4093099632,8.246909549764359
2020,disaggregated,employees_payroll,average,loss_etr_gain_etr,226,915486.4847595886,145807.0096552684,54696.16519684308,91110.84445842529,1195585.845617697,7.620602468018768
2021,disaggregated,employees_payroll,average,loss_etr_gain_etr,226,1154977.169406344,175554.37317452504,74546.17484254976,101008.19833197528,1528308.0194238108,6.609151888770204
2022,disaggregated,employees_payroll,average,loss_etr_gain_etr,226,961599.7407780295,152077.20590665465,61615.81388476381,90461.39202189085,1821733.8969629752,4.965675402576612
