iso_partner,partner_jurisdiction,tax_loss_bn
DEU,Germany,155.88053876030938
FRA,France,108.94350473708917
BEL,Belgium,97.17344098570831
ESP,Spain,60.390140297073955
LUX,Luxembourg,51.94043560610861
NLD,Netherlands,40.66116979711052
POL,Poland,33.77518645494326
SWE,Sweden,30.086183129576803
ITA,Italy,29.53955972702252
FIN,Finland,22.388900059730567
LVA,Latvia,21.002702519170843
EST,Estonia,17.189338383612778
AUT,Austria,15.390072670029172
ROU,Romania,14.522087391276239
CZE,Czechia,12.011370716389731
IRL,Ireland,10.579638118334998
PRT,Portugal,9.402514885304962
DNK,Denmark,9.19988241743016
SVK,Slovak Republic,7.59196114038997
CYP,Cyprus,5.09951703501144
HUN,Hungary,4.8891248438335015
GRC,Greece,3.6897578717966137
HRV,Croatia,2.601307354447923
LTU,Lithuania,2.2612293557330787
SVN,Slovenia,1.9537778387790847
MLT,Malta,1.7668949536918985
BGR,Bulgaria,1.4336416588165282
