year,iso_responsible,iso_affected,shifted_profit_musd
2016,JPN,DEU,25460.318254051155
2016,NLD,BEL,17456.244589566744
2016,VNM,DEU,8357.155141468202
2016,JPN,ITA,6372.227534547204
2016,CHN,DEU,5474.1110442049585
2016,JPN,BEL,4258.193819304985
2016,NLD,FRA,3295.992644835949
2016,NLD,DEU,2454.2539879598403
2016,NLD,LUX,2284.479281022232
2016,VNM,ITA,2104.62730777649
2016,JPN,FRA,1741.9401194720413
2016,ESP,ITA,1674.8424856995366
2016,NLD,POL,1412.8632151538918
2016,VNM,BEL,1400.7945549452663
2016,HKG,DEU,1364.1151847722301
2016,JPN,POL,1319.6865911654843
2016,CHN,ITA,1288.826089253657
2016,VGB,DEU,1246.6733709884095
2016,NLD,IRL,1160.493565771771
2016,SWE,DEU,1130.8963301435003
2016,SWE,POL,1104.7730613702013
2016,CHN,BEL,1026.804655279379
2016,NLD,GRC,1012.55944138166
2016,KOR,POL,964.3556864050678
2016,GBR,BEL,961.9823929127517
2016,KOR,DEU,955.7516280816441
2016,BRA,ESP,939.0580367942148
2016,BRA,AUT,917.4499141130696
2016,SWE,FRA,852.3996191528952
2016,NLD,ROU,833.5025939537172
2016,CHL,ITA,820.1652310910924
2016,SWE,BEL,781.9582482080388
2016,JPN,ESP,780.4386118324812
2016,KOR,FRA,709.391964038486
2016,LUX,POL,708.8461475337051
2016,DNK,ESP,700.3571006924211
2016,HKG,POL,698.3098039140438
2016,KOR,BEL,618.7254831183799
2016,CHE,POL,614.0993399242673
2016,SWE,ESP,605.4200147073068
2016,IRL,DEU,603.1768399067727
2016,CYM,DEU,592.1775538156458
2016,DNK,DEU,579.0340713368198
2016,BMU,DEU,576.0374736023834
2016,MEX,ESP,573.4981989876792
2016,BRA,PRT,570.531319039228
2016,NLD,ESP,552.9763818352252
2016,CHN,FRA,542.3090448964019
2016,KOR,ESP,537.9808166754563
2016,VNM,FRA,533.6468393859997
2016,KOR,SWE,527.2377173534655
2016,LBY,ITA,525.1016551929063
2016,GBR,FRA,499.5281951798533
2016,PER,DEU,498.61813801112146
2016,JPN,CYP,495.4173701494568
2016,LUX,ITA,493.990134705528
2016,NLD,ITA,486.8138021231641
2016,IRL,ITA,473.5164604446086
2016,HKG,FRA,473.06558868936537
2016,JPN,ROU,472.0675591635643
2016,ASM,DEU,471.0628424109468
2016,NLD,CYP,464.3834964133223
2016,FRA,POL,464.22593498904826
2016,SWE,CYP,463.6364769457069
2016,IRL,POL,458.32780937806086
2016,PAN,DEU,457.6318470376873
2016,HKG,BEL,441.4458094986699
2016,KAZ,ITA,435.2621429264994
2016,CHN,POL,427.7668021983327
2016,VGB,BEL,421.51194960986703
2016,SWE,ROU,417.7340802272242
2016,KOR,ROU,384.54394288259834
2016,KOR,CYP,377.0386544768935
2016,NOR,POL,376.6139996507809
2016,VNM,POL,369.1495924542282
2016,JPN,SVK,368.8907919511201
2016,DNK,FRA,360.4802586629192
2016,NLD,CZE,349.86820674806
2016,BRA,DEU,341.86174736708693
2016,SGP,DEU,339.95672258561694
2016,SWE,SVK,338.72319369452737
2016,BRA,NLD,331.14886618958997
2016,VGB,FRA,330.9055038753491
2016,SGP,POL,328.4552454149789
2016,HKG,ESP,322.48809252716273
2016,NLD,SVK,320.1127196457062
2016,JPN,EST,318.3203926295477
2016,SGP,FRA,313.7679718626091
2016,KOR,SVK,308.3309543903108
2016,CYM,FRA,305.00917546814514
2016,NLD,EST,300.63940110937045
2016,JPN,CZE,300.25468930430566
2016,SWE,EST,296.88336079099844
2016,IRL,ESP,296.6592953580616
2016,VGB,POL,285.2860271661037
2016,DNK,BEL,281.52391748859037
2016,IRL,FRA,277.4057181347994
2016,GBR,ITA,275.52795970322273
2016,BMU,FRA,272.02495252070287
2016,SWE,CZE,262.59304157921895
2016,CYM,POL,260.08265185910665
2016,SGP,ESP,259.70052212014417
2016,NLD,SWE,255.6840207587165
2016,MLT,DEU,254.18935438095212
2016,DEU,ITA,250.1305178722375
2016,JPN,LUX,249.32989084220907
2016,PAN,BEL,247.47812811447258
2016,LUX,ESP,245.66101412694547
2016,CHE,ESP,245.01505966387882
2016,KOR,EST,244.29759091095315
2016,ASM,FRA,242.63039762760826
2016,PRI,DEU,234.75003102752152
2016,CHN,ESP,233.10735684447934
2016,JPN,SWE,230.84177740844765
2016,JPN,FIN,228.58421402549584
2016,CYM,ESP,228.57583852753413
2016,KOR,CZE,226.17304130190357
2016,ASM,ESP,223.25877105239255
2016,CYM,BEL,221.99987786964505
2016,NLD,DNK,221.20344235775153
2016,BMU,ESP,217.35668524895772
2016,NLD,HRV,216.57460968022158
2016,DNK,POL,211.11198326410434
2016,SWE,FIN,210.47359144206274
2016,NOR,DEU,210.39559174566438
2016,SWE,ITA,210.33363212769768
2016,NLD,FIN,208.06881477691894
2016,BMU,POL,207.73818523406436
2016,DNK,AUT,206.22706702818417
2016,ESP,PRT,204.3395187392035
2016,VNM,ESP,204.07532918023293
2016,SWE,AUT,203.46886174133357
2016,BHS,DEU,203.1090328972841
2016,PRI,LUX,201.94414333024835
2016,NOR,FRA,201.35565801433938
2016,ASM,LUX,200.10096544614993
2016,KOR,ITA,195.80924474619485
2016,IRL,LUX,195.798760530393
2016,MLT,POL,195.19769864307858
2016,PAN,POL,194.72598887631827
2016,ASM,POL,194.61658233849454
2016,NLD,PRT,191.93247279841955
2016,DZA,ITA,190.7439230024167
2016,HKG,CYP,190.40748119323925
2016,PRI,ESP,189.56112683690858
2016,COL,ITA,188.63963558155763
2016,HKG,SWE,187.65429966640207
2016,LUX,CYP,186.38166441290647
2016,PRI,FRA,185.08288167425292
2016,LUX,BEL,183.03107486731338
2016,BMU,LUX,181.66984549261105
2016,NLD,HUN,180.90160170342875
2016,CHN,IRL,178.11518540711938
2016,SGP,LUX,177.8989978795628
2016,CYM,LUX,177.44637765267524
2016,NLD,LVA,177.1323960993174
2016,TLS,DEU,177.00058410736142
2016,KOR,FIN,176.7683574264139
2016,VGB,ITA,176.63468151497804
2016,KOR,AUT,173.98002955475107
2016,GBR,DEU,173.84811293377535
2016,BMU,ITA,171.7457883112693
2016,CHE,CYP,168.6591409636326
2016,CHE,FRA,167.44136159057936
2016,KOR,HRV,167.07389898822336
2016,PER,ITA,166.7794841817369
2016,LUX,DEU,165.8490381346674
2016,CHE,BEL,165.17575426792376
2016,KOR,LVA,162.84832772534915
2016,BMU,BEL,162.276767461205
2016,LUX,FRA,160.98023978223137
2016,PAN,FRA,159.71804109795139
2016,JPN,DNK,158.0908905015073
2016,CHE,DEU,157.48730184208887
2016,VNM,CYP,155.52387512224936
2016,VGB,ESP,153.2172429636773
2016,BHS,LUX,153.0499979659706
2016,CHN,CZE,152.35626332550638
2016,CHN,ROU,150.3243463122731
2016,CHN,CYP,150.31100533943575
2016,JPN,LTU,149.84294897077214
2016,NOR,BEL,149.33539602839693
2016,GBR,LUX,148.45506588401096
2016,CHN,SWE,148.38544010650048
2016,BHS,ESP,148.0764747384716
2016,BHS,FRA,147.16864868611535
2016,CHL,POL,145.47065761676498
2016,SWE,LTU,144.90943659577488
2016,SWE,DNK,144.5958186727242
2016,JEY,DEU,144.06453433305293
2016,IRL,BEL,143.74933472395702
2016,DNK,FIN,141.40835541137517
2016,LUX,ROU,141.28235248433853
2016,VNM,ROU,140.08476198930302
2016,HKG,ROU,139.01869601252042
2016,HKG,CZE,138.92709823510646
2016,JPN,PRT,137.4184423153793
2016,NOR,CYP,137.34284023871862
2016,JPN,HUN,135.9264524947224
2016,LUX,SWE,135.39793908174676
2016,NOR,ESP,134.3887232530261
2016,SWE,HUN,132.80722191589877
2016,ESP,BEL,132.18185772247736
2016,HKG,EST,129.0955840265956
2016,VGB,SWE,128.9836929976584
2016,IRL,ROU,126.78389369891487
2016,CHL,DEU,126.56296708090504
2016,KOR,DNK,125.48555067518187
2016,PAN,ITA,125.40016306047926
2016,CZE,ITA,125.35928976335008
2016,SWE,LVA,124.6981437390524
2016,MLT,BEL,124.10906284824067
2016,NLD,LTU,123.61828538109269
2016,ZAF,SWE,122.84888648806711
2016,NOR,ROU,121.99441294338897
2016,MLT,FRA,121.06968460537976
2016,FRA,ESP,120.52786135683954
2016,CHE,SWE,120.18514718685702
2016,THA,POL,119.73351680226304
2016,CHN,EST,118.69756987566103
2016,LUX,EST,118.47209461924881
2016,KOR,LTU,117.7897926698022
2016,JPN,HRV,117.50886304599098
2016,SWE,PRT,117.30480705250478
2016,ARG,DEU,116.58322764413936
2016,NOR,SWE,116.25432036624913
2016,VNM,SVK,115.17409598296145
2016,KOR,HUN,114.2791069497226
2016,MEX,AUT,113.17056949765461
2016,CHL,ESP,113.0429692098621
2016,IMN,DEU,112.40630365539549
2016,HKG,FIN,112.31396759667719
2016,PRI,POL,111.68881622737784
2016,JPN,AUT,111.17201666007003
2016,VGB,IRL,110.13413213773912
2016,JEY,POL,110.09407889192501
2016,NPL,DEU,108.48041345162994
2016,SGP,BEL,108.16204659640104
2016,LBY,DEU,108.00667230429605
2016,DNK,CZE,106.76894067581252
2016,CHE,EST,106.48213222423733
2016,HKG,LUX,106.45499572679516
2016,PER,BEL,105.70821466520138
2016,VGB,CZE,104.01270743357637
2016,TLS,FRA,103.9926200924442
2016,CHL,PRT,102.54112316461081
2016,KOR,PRT,102.5264730830414
2016,CHN,NLD,101.4135885314936
2016,CHL,BEL,101.41160270261338
2016,PER,IRL,100.17013132231251
2016,VGB,CYP,99.85522883256075
