iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group,total_net_misalignment_musd
AUT,Austria,2016,-2090.3900895389443,-2.0903900895389445,benefits_from_ut,-28765.83502054087
AUT,Austria,2017,-4146.325234991068,-4.146325234991068,benefits_from_ut,-28765.83502054087
AUT,Austria,2018,-11649.676156568323,-11.649676156568322,benefits_from_ut,-28765.83502054087
AUT,Austria,2019,-6102.253880599394,-6.1022538805993936,benefits_from_ut,-28765.83502054087
AUT,Austria,2020,491.0979748094578,0.4910979748094578,benefits_from_ut,-28765.83502054087
AUT,Austria,2021,3231.9198182037962,3.2319198182037963,benefits_from_ut,-28765.83502054087
AUT,Austria,2022,-8500.207451856395,-8.500207451856395,benefits_from_ut,-28765.83502054087
BEL,Belgium,2016,-25849.1834493392,-25.8491834493392,benefits_from_ut,-305944.8734570047
BEL,Belgium,2017,-64402.05572493153,-64.40205572493153,benefits_from_ut,-305944.8734570047
BEL,Belgium,2018,-57165.32426595468,-57.16532426595468,benefits_from_ut,-305944.8734570047
BEL,Belgium,2019,-76394.06233306235,-76.39406233306235,benefits_from_ut,-305944.8734570047
BEL,Belgium,2020,-7457.210845822258,-7.457210845822258,benefits_from_ut,-305944.8734570047
BEL,Belgium,2021,-25313.813357422212,-25.313813357422212,benefits_from_ut,-305944.8734570047
BEL,Belgium,2022,-49363.2234804725,-49.3632234804725,benefits_from_ut,-305944.8734570047
BGR,Bulgaria,2016,-102.48428626736336,-0.10248428626736336,benefits_from_ut,-10568.539018016874
BGR,Bulgaria,2017,-2028.1326945964054,-2.0281326945964055,benefits_from_ut,-10568.539018016874
BGR,Bulgaria,2018,-1568.6103344893538,-1.5686103344893538,benefits_from_ut,-10568.539018016874
BGR,Bulgaria,2019,-1595.0366740711966,-1.5950366740711965,benefits_from_ut,-10568.539018016874
BGR,Bulgaria,2020,-527.0948004632254,-0.5270948004632254,benefits_from_ut,-10568.539018016874
BGR,Bulgaria,2021,-2640.9519656996326,-2.6409519656996325,benefits_from_ut,-10568.539018016874
BGR,Bulgaria,2022,-2106.2282624296977,-2.1062282624296977,benefits_from_ut,-10568.539018016874
CYP,Cyprus,2016,-2034.9926814522298,-2.0349926814522297,benefits_from_ut,-17855.191582954132
CYP,Cyprus,2017,-4381.151039206161,-4.381151039206161,benefits_from_ut,-17855.191582954132
CYP,Cyprus,2018,-6343.288062652561,-6.343288062652561,benefits_from_ut,-17855.191582954132
CYP,Cyprus,2019,-5876.196415036331,-5.876196415036331,benefits_from_ut,-17855.191582954132
CYP,Cyprus,2020,-3713.6971832638155,-3.7136971832638155,benefits_from_ut,-17855.191582954132
CYP,Cyprus,2021,7014.44870260621,7.0144487026062095,benefits_from_ut,-17855.191582954132
CYP,Cyprus,2022,-2520.3149039492437,-2.520314903949244,benefits_from_ut,-17855.191582954132
CZE,Czechia,2016,-1645.419190775977,-1.645419190775977,benefits_from_ut,-48202.15799123993
CZE,Czechia,2017,-7807.092676928622,-7.8070926769286215,benefits_from_ut,-48202.15799123993
CZE,Czechia,2018,-6032.347523443808,-6.032347523443808,benefits_from_ut,-48202.15799123993
CZE,Czechia,2019,-6615.428320686485,-6.615428320686485,benefits_from_ut,-48202.15799123993
CZE,Czechia,2020,-5027.073122722549,-5.027073122722549,benefits_from_ut,-48202.15799123993
CZE,Czechia,2021,-10588.17203359802,-10.58817203359802,benefits_from_ut,-48202.15799123993
CZE,Czechia,2022,-10486.625123084468,-10.486625123084469,benefits_from_ut,-48202.15799123993
DEU,Germany,2016,-49460.514336865715,-49.460514336865714,benefits_from_ut,-459097.44698664994
DEU,Germany,2017,-49493.447052295785,-49.493447052295785,benefits_from_ut,-459097.44698664994
DEU,Germany,2018,-76409.46808291048,-76.40946808291048,benefits_from_ut,-459097.44698664994
DEU,Germany,2019,-27305.709226436968,-27.305709226436967,benefits_from_ut,-459097.44698664994
DEU,Germany,2020,-83723.33748010149,-83.72333748010149,benefits_from_ut,-459097.44698664994
DEU,Germany,2021,-131500.52411638387,-131.50052411638387,benefits_from_ut,-459097.44698664994
DEU,Germany,2022,-41204.446691655634,-41.20444669165563,benefits_from_ut,-459097.44698664994
ESP,Spain,2016,-4063.657732374193,-4.063657732374193,benefits_from_ut,-209732.23273405893
ESP,Spain,2017,-11824.534761438983,-11.824534761438983,benefits_from_ut,-209732.23273405893
ESP,Spain,2018,-21425.243416458845,-21.425243416458844,benefits_from_ut,-209732.23273405893
ESP,Spain,2019,-46718.50967366063,-46.71850967366063,benefits_from_ut,-209732.23273405893
ESP,Spain,2020,-40048.96708888383,-40.04896708888383,benefits_from_ut,-209732.23273405893
ESP,Spain,2021,-40941.59836693406,-40.94159836693406,benefits_from_ut,-209732.23273405893
ESP,Spain,2022,-44709.72169430837,-44.70972169430837,benefits_from_ut,-209732.23273405893
EST,Estonia,2016,-2574.459698768378,-2.574459698768378,benefits_from_ut,-84648.28870476759
EST,Estonia,2017,-3948.487073009507,-3.948487073009507,benefits_from_ut,-84648.28870476759
EST,Estonia,2018,-4169.813308309297,-4.169813308309297,benefits_from_ut,-84648.28870476759
EST,Estonia,2019,-4070.7013797428863,-4.070701379742887,benefits_from_ut,-84648.28870476759
EST,Estonia,2020,-4450.112405228462,-4.450112405228462,benefits_from_ut,-84648.28870476759
EST,Estonia,2021,-62125.32925283041,-62.12532925283041,benefits_from_ut,-84648.28870476759
EST,Estonia,2022,-3309.3855868786604,-3.3093855868786606,benefits_from_ut,-84648.28870476759
FIN,Finland,2016,-1269.3747493340793,-1.2693747493340792,benefits_from_ut,-85980.88183948354
FIN,Finland,2017,6898.451220889781,6.898451220889782,benefits_from_ut,-85980.88183948354
FIN,Finland,2018,-73817.7533250583,-73.81775332505829,benefits_from_ut,-85980.88183948354
FIN,Finland,2019,-5938.244254408375,-5.938244254408375,benefits_from_ut,-85980.88183948354
FIN,Finland,2020,-3765.395539368146,-3.765395539368146,benefits_from_ut,-85980.88183948354
