iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
DEU,Germany,-443539.4462266039,benefits_from_ut
BEL,Belgium,-300578.9458052708,benefits_from_ut
FRA,France,-294967.81605464435,benefits_from_ut
ESP,Spain,-202184.61899917916,benefits_from_ut
POL,Poland,-161288.58592298545,benefits_from_ut
ROU,Romania,-84259.580392528,benefits_from_ut
FIN,Finland,-81872.56331757698,benefits_from_ut
LVA,Latvia,-80680.28252125434,benefits_from_ut
EST,Estonia,-79140.96704846754,benefits_from_ut
CZE,Czechia,-46556.32576848759,benefits_from_ut
ITA,Italy,-45148.30238410717,benefits_from_ut
HUN,Hungary,-37424.7178362922,benefits_from_ut
AUT,Austria,-28242.318077710806,benefits_from_ut
SVK,Slovak Republic,-26615.258308611865,benefits_from_ut
CYP,Cyprus,-18078.797703567197,benefits_from_ut
PRT,Portugal,-15079.079292055054,benefits_from_ut
LTU,Lithuania,-12844.726387700422,benefits_from_ut
BGR,Bulgaria,-10185.57042713748,benefits_from_ut
SVN,Slovenia,-8063.075936927877,benefits_from_ut
GRC,Greece,-6451.720262078808,benefits_from_ut
SWE,Sweden,8784.40454203892,loses_under_ut
LUX,Luxembourg,11608.683679810094,loses_under_ut
HRV,Croatia,11813.224195718776,loses_under_ut
MLT,Malta,35965.4962093014,loses_under_ut
DNK,Denmark,105922.09644853996,loses_under_ut
NLD,Netherlands,298157.1917668858,loses_under_ut
IRL,Ireland,347974.1409423083,loses_under_ut
