iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
DEU,Germany,3.0548515150431608,150.70323983240058,-147.64838831735742
FRA,France,2.3298824284127537,105.45321818921228,-103.12333576079952
BEL,Belgium,1.2935162491565786,95.77300915612405,-94.47949290696747
ESP,Spain,1.711283462693611,58.24779997575188,-56.536516513058274
LUX,Luxembourg,2.2168628135576447,49.49029185407865,-47.273429040521
POL,Poland,0.9645805368542857,32.732931892738556,-31.76835135588427
NLD,Netherlands,12.362997907139766,38.95908672672479,-26.596088819585027
ITA,Italy,3.9977116880059937,28.631980376988302,-24.63426868898231
SWE,Sweden,5.499276324903721,28.8558794093041,-23.35660308440038
FIN,Finland,1.143132891078844,21.470251178610127,-20.327118287531285
LVA,Latvia,0.24335869134839783,19.372710480168095,-19.129351788819697
EST,Estonia,0.04961083293829732,16.0682322935544,-16.018621460616103
ROU,Romania,0.09694797111725412,14.043311182461697,-13.946363211344442
AUT,Austria,1.4580184846523347,14.94560582970495,-13.487587345052615
CZE,Czechia,0.804130033179741,11.595207693327154,-10.791077660147414
PRT,Portugal,0.742613152758747,9.082049457798822,-8.339436305040076
SVK,Slovak Republic,0.20656690332898925,7.3935100864065495,-7.1869431830775605
CYP,Cyprus,0.17912556695796283,4.972066040464837,-4.7929404735068735
HUN,Hungary,0.3606040523994472,4.772448217729568,-4.4118441653301215
GRC,Greece,0.48851262421514635,3.6769622817811185,-3.188449657565972
DNK,Denmark,6.59185584397576,8.90888044735326,-2.3170246033775
LTU,Lithuania,0.07975159759994668,2.1914169809849486,-2.111665383385002
SVN,Slovenia,0.12346004349612069,1.9000059041056765,-1.7765458606095559
HRV,Croatia,1.2147247774931746,2.5321194820594797,-1.317394704566305
BGR,Bulgaria,0.11113809397132336,1.3830047971831279,-1.2718667032118045
MLT,Malta,0.8400492708898379,1.716005584704641,-0.875956313814803
IRL,Ireland,11.741134005613745,10.053406810624756,1.6877271949889892
