year,sample_name,formula_name,etr_name,rate_mode,n_countries,total_shifted_musd,total_tax_loss_musd,total_tax_gain_musd,total_revenue_gain_from_ut_musd,total_current_tax_paid_cash_musd,revenue_gain_from_ut_pct_of_current_tax_paid
2016,disaggregated,ccctb,average,loss_cit_gain_cit,226,759433.6733825696,247125.97063295555,158477.50663612297,88648.46399683252,746276.0173816935,11.878777011735592
2017,disaggregated,ccctb,average,loss_cit_gain_cit,226,1331918.3024311676,404264.2575554129,271101.0767876305,133163.1807677824,1045079.5651875236,12.74191795568104
2018,disaggregated,ccctb,average,loss_cit_gain_cit,226,1208361.5772552397,297985.50719615706,253112.1625292567,44873.34466690036,1259479.2582178037,3.562849040515152
2019,disaggregated,ccctb,average,loss_cit_gain_cit,226,1310953.417064989,327163.2621271174,267670.02254237985,59493.23958473752,1323329.4093099632,4.495724130831466
2020,disaggregated,ccctb,average,loss_cit_gain_cit,226,1244290.179256711,277349.8172973598,231188.1954252019,46161.62187215793,1195585.845617697,3.8610043805184575
2021,disaggregated,ccctb,average,loss_cit_gain_cit,226,1525455.7520978786,351595.0626268491,273719.9666689036,77875.0959579455,1528308.0194238108,5.095510523284781
2022,disaggregated,ccctb,average,loss_cit_gain_cit,226,1592541.9655893338,344962.6975930321,319940.02300475945,25022.674588272646,1821733.8969629752,1.3735636488945018
2016,disaggregated,ccctb,average,loss_cit_gain_etr,226,759433.6733825696,247125.97063295555,83547.43001842989,163578.54061452564,746276.0173816935,21.919308245820403
2017,disaggregated,ccctb,average,loss_cit_gain_etr,226,1331918.3024311676,404264.2575554129,155448.7529489519,248815.50460646095,1045079.5651875236,23.8082833972373
2018,disaggregated,ccctb,average,loss_cit_gain_etr,226,1208361.5772552397,297985.50719615706,167488.29886208946,130497.20833406762,1259479.2582178037,10.361203448377912
2019,disaggregated,ccctb,average,loss_cit_gain_etr,226,1310953.417064989,327163.2621271174,158070.8875187138,169092.3746084036,1323329.4093099632,12.777799194878856
2020,disaggregated,ccctb,average,loss_cit_gain_etr,226,1244290.179256711,277349.8172973598,147329.48555569438,130020.3317416654,1195585.845617697,10.875031033383523
2021,disaggregated,ccctb,average,loss_cit_gain_etr,226,1525455.7520978786,351595.0626268491,192192.0331875197,159403.02943932937,1528308.0194238108,10.430032913092091
2022,disaggregated,ccctb,average,loss_cit_gain_etr,226,1592541.9655893338,344962.6975930321,227906.7544546372,117055.9431383949,1821733.8969629752,6.425523691113156
2016,disaggregated,ccctb,average,loss_etr_gain_etr,226,759433.6733825696,189472.65593138715,83547.43001842989,105925.22591295728,746276.0173816935,14.193840274352585
2017,disaggregated,ccctb,average,loss_etr_gain_etr,226,1331918.3024311676,296252.91770447977,155448.7529489519,140804.16475552786,1045079.5651875236,13.473056927513715
2018,disaggregated,ccctb,average,loss_etr_gain_etr,226,1208361.5772552397,229802.6102709918,167488.29886208946,62314.31140890235,1259479.2582178037,4.947625060302998
2019,disaggregated,ccctb,average,loss_etr_gain_etr,226,1310953.417064989,224929.0937779901,158070.8875187138,66858.20625927634,1323329.4093099632,5.0522723812311305
