sample_name,formula_name,etr_name,etr_col,etr_threshold,threshold_rate_col,rate_mode,loss_rate_col,gain_rate_col,n_country_rows,n_misalignment_rows,n_years,total_shifted_musd_all_years,total_tax_loss_musd_all_years,total_tax_gain_musd_all_years,total_revenue_gain_from_ut_musd_all_years,total_current_tax_paid_cash_musd_all_years,revenue_gain_from_ut_pct_of_current_tax_paid_all_years,total_revenue_gain_from_ut_low_income_musd_all_years,total_revenue_gain_from_ut_middle_income_musd_all_years,country_file,misalignment_file,aggregate_file
disaggregated,employees_payroll,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,71278,7,10921743.295557734,2737816.734012787,1401276.7659895713,1336539.968023216,8919792.012101468,14.98398131043789,-14461.167260360178,112188.30807840389,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\country_estimates__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\misalignment__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\aggregate_results__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv
disaggregated,employees_payroll,average,etr_average_corrected,inf,etr_average_corrected,loss_etr_gain_etr,etr_average_corrected,etr_average_corrected,1582,71278,7,10921743.295557734,1915246.5022873944,1401276.7659895713,513969.73629782273,8919792.012101468,5.762126915072916,-17544.746163802847,-7212.609888558341,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\country_estimates__employees_payroll__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\misalignment__employees_payroll__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\aggregate_results__employees_payroll__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv
disaggregated,employees_payroll,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_cit,cit,cit,1582,71278,7,10921743.295557734,2737816.734012787,2183855.5808814685,553961.1531313186,8919792.012101468,6.210471638573639,-22268.767499339574,-41725.47058539992,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\country_estimates__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\misalignment__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\aggregate_results__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv
disaggregated,ccctb,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,71278,7,8972954.867077889,2250446.575028884,1131983.6425460363,1118462.9324828475,8919792.012101468,12.539114487932348,-7517.216921618127,-9929.622050184691,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\country_estimates__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\misalignment__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\aggregate_results__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv
disaggregated,ccctb,average,etr_average_corrected,inf,etr_average_corrected,loss_etr_gain_etr,etr_average_corrected,etr_average_corrected,1582,71278,7,8972954.867077889,1562935.9913499309,1131983.6425460363,430952.3488038943,8919792.012101468,4.831417013078577,-9443.970524222657,-97904.75471602142,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\country_estimates__ccctb__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\misalignment__ccctb__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\aggregate_results__ccctb__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv
disaggregated,ccctb,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_cit,cit,cit,1582,71278,7,8972954.867077889,2250446.575028884,1775208.9535942548,475237.62143462885,8919792.012101468,5.327900255856579,-13841.32548834465,-129457.19432084242,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\country_estimates__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\misalignment__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\aggregate_results__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv
disaggregated,double_weighted_sales,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,71278,7,8844240.103057005,2213882.625870934,1103846.9455110831,1110035.6803598513,8919792.012101468,12.44463636432181,-3875.7419906245705,205064.30654668604,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\country_estimates__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\misalignment__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\aggregate_results__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv
disaggregated,double_weighted_sales,average,etr_average_corrected,inf,etr_average_corrected,loss_etr_gain_etr,etr_average_corrected,etr_average_corrected,1582,71278,7,8844240.103057005,1566945.3342301066,1103846.9455110831,463098.38871902355,8919792.012101468,5.1918070297013506,-6262.316156931565,90962.95666455854,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\country_estimates__double_weighted_sales__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\misalignment__double_weighted_sales__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\aggregate_results__double_weighted_sales__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv
disaggregated,double_weighted_sales,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_cit,cit,cit,1582,71278,7,8844240.103057005,2213882.625870934,1751837.8420094694,462044.7838614648,8919792.012101468,5.179995040631098,-9661.062877172055,110270.70918607556,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\country_estimates__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\misalignment__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\aggregate_results__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv
disaggregated,sales_employees,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,71278,7,9748167.60655402,2441019.08492112,1226881.5229080738,1214137.5620130466,8919792.012101468,13.611725030873233,-3622.391050665482,485114.1170598738,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\country_estimates__sales_employees__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\misalignment__sales_employees__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\all_multinationals_sotj\tables\disaggregated\aggregate_results__sales_employees__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv
