mne_group,year,shifted_bn,eu_out_bn,total_profit_bn,shifted_pct_of_profit,eu_out_pct_of_profit
US,2016,325.7770108393221,14.042604288743755,726.8434227396315,44.82079642564522,1.9319985363304404
US,2017,479.7459859702993,31.365908642031094,1277.1118655676662,37.564914938524666,2.456003227883972
US,2018,292.71577332006325,17.693936979857384,880.1589776157215,33.25714794309163,2.0103114812040896
US,2019,356.1848890744923,36.08820679174165,886.936125181167,40.159023740490596,4.0688619808298165
US,2020,533.3888893029228,80.70078068845116,1709.6330710391603,31.199027343259974,4.720356786231275
US,2021,502.18860507653,196.34471902866397,2706.209288817233,18.556901979152357,7.255341256864792
US,2022,472.8050529886987,73.99464150072023,2195.5124869031774,21.53506553978208,3.3702673950669
EU,2016,163.7725811158904,71.75882325723198,611.8209465832075,26.768057228262514,11.728729403263868
EU,2017,402.2190520525409,199.255814386224,1356.1072164037835,29.659826832805486,14.693219826277746
EU,2018,433.7422456263567,229.9600423006229,1515.8824188975225,28.613185311682063,15.170044815736382
EU,2019,474.91149213869704,239.587237261232,1351.3140998084086,35.14441921430634,17.729944303489546
EU,2020,269.9617616471329,145.02957309061097,687.6220874820204,39.26019343498644,21.091465171179966
EU,2021,367.00898038096847,235.0575227923444,1348.2992788148695,27.220142155943503,17.43363112965214
EU,2022,358.6031274938962,229.983564498208,1259.2809285067776,28.476817156209805,18.263086440204926
All,2016,868.4376477205122,176.025819907888,2876.630230840765,30.189408371290398,6.1191674209875835
All,2017,1530.3808615821447,348.5701098403299,5461.215688306,28.022714152439004,6.382646826909192
All,2018,1527.5312281134857,481.85324015946077,6015.510266017095,25.39321122503666,8.01018066383417
All,2019,1522.2591921222884,412.19293234734096,5997.838449607016,25.3801299403459,6.872358030489272
All,2020,1466.8764930160428,376.3788975060802,4918.190681638269,29.82553113470217,7.652791887701005
All,2021,2394.0236786723412,811.2454220018714,8823.850240111316,27.131281850066166,9.193780491809855
All,2022,1957.3196120984176,530.4025609236206,7903.373259064111,24.765622828880492,6.711090866362915
