iso_partner,partner_jurisdiction,tax_loss_bn
BEL,Belgium,70.08165040051813
FRA,France,57.42240176012858
DEU,Germany,50.359447477737845
ESP,Spain,25.446246959889642
ITA,Italy,17.36541365824053
NLD,Netherlands,13.852152632401033
IRL,Ireland,10.873492246381144
POL,Poland,9.284431082671054
LUX,Luxembourg,6.189595188861189
ROU,Romania,5.252792789371355
SWE,Sweden,4.808719997445708
PRT,Portugal,4.266400246298153
AUT,Austria,3.4887537098176424
EST,Estonia,3.1633240764222377
GRC,Greece,2.7667923684872733
CYP,Cyprus,2.3157921053454684
FIN,Finland,1.969443887576854
CZE,Czechia,1.9151052191620441
HRV,Croatia,1.5446723506786277
DNK,Denmark,1.3536463309276396
SVK,Slovak Republic,1.2462691443702538
LVA,Latvia,1.0262621436256811
HUN,Hungary,0.8678754621716311
LTU,Lithuania,0.5968610730059835
SVN,Slovenia,0.4329971779672227
BGR,Bulgaria,0.34343606050402764
MLT,Malta,0.13885471849984188
