year,iso_responsible,iso_affected,shifted_profit_musd
2016,NLD,BEL,16483.111661461997
2016,NLD,FRA,2876.6891479410824
2016,NLD,LUX,1945.9857602229172
2016,NLD,DEU,1615.192897507211
2016,ESP,ITA,1590.403179551078
2016,NLD,POL,1171.4520009946305
2016,NLD,IRL,1101.9858121649645
2016,SWE,DEU,1068.2754388162687
2016,SWE,POL,1046.4075430639014
2016,NLD,GRC,960.2681972173139
2016,GBR,BEL,900.801812667286
2016,SWE,FRA,805.005337780923
2016,CHL,ITA,758.367332163573
2016,SWE,BEL,742.5348015072564
2016,NLD,ROU,723.5651753656078
2016,DNK,ESP,663.5297342445148
2016,LUX,POL,649.6871222481415
2016,SWE,ESP,569.1772889455643
2016,CHE,POL,564.0015485665334
2016,DNK,DEU,549.8317794528648
2016,HKG,POL,521.3734039286709
2016,LBY,ITA,482.35845303117105
2016,LUX,ITA,465.4579686801054
2016,FRA,POL,440.82139624508426
2016,SWE,CYP,439.97890307160935
2016,NLD,CYP,421.40409341779934
2016,KAZ,ITA,413.0197885038248
2016,SWE,ROU,395.59083384249254
2016,IRL,ITA,380.85903552499747
2016,NLD,ITA,360.41935469277223
2016,DNK,FRA,339.8699951032542
2016,SWE,SVK,320.9578724055271
2016,IRL,POL,307.97549032686
2016,NLD,ESP,283.9268438143281
2016,SWE,EST,281.8700390399817
2016,NLD,EST,271.2852408146432
2016,NLD,CZE,268.1450516293675
2016,DNK,BEL,267.2824030934047
2016,NLD,SVK,261.2735434091025
2016,GBR,ITA,260.6589798850327
2016,SWE,CZE,248.21827018798047
2016,DEU,ITA,237.51987086750452
2016,HKG,BEL,235.70215713063735
2016,NLD,SWE,215.2786354360914
2016,VGB,BEL,207.88811124678023
2016,NLD,HRV,202.63961709812747
2016,DNK,POL,200.3712976675047
2016,SWE,FIN,199.86229082671855
2016,SWE,ITA,199.72934118610917
2016,NLD,DNK,198.1350866103739
2016,DNK,AUT,195.63524130860048
2016,ESP,PRT,194.03748297860378
2016,SWE,AUT,192.86607063927
2016,LUX,ESP,192.43086718959515
2016,NLD,FIN,188.14514291847968
2016,HKG,DEU,186.1965671734913
2016,SGP,POL,180.87341506713204
2016,DZA,ITA,179.91399961768238
2016,PAN,BEL,179.14700541517098
2016,COL,ITA,178.12579229457015
2016,VGB,POL,172.24563931114383
2016,HKG,ESP,168.4319603294922
2016,LUX,CYP,167.5521775163569
2016,NLD,LVA,167.16995760272005
2016,NLD,HUN,166.0400790902583
2016,CHE,ESP,164.8122444705368
2016,HKG,FRA,161.4069469564351
2016,LUX,BEL,161.1742315545992
2016,MLT,POL,160.62335917029623
2016,CYM,BEL,159.83672110202087
2016,HKG,CYP,159.26859544291656
2016,PAN,POL,159.15257418804578
2016,CHE,CYP,152.25891673625077
2016,NLD,PRT,149.5731018595103
2016,CHE,BEL,148.25370769319775
2016,GBR,FRA,146.26995645806795
2016,VGB,DEU,143.05685918927958
2016,SWE,LTU,137.57524512486327
2016,SWE,DNK,137.1373272180387
2016,CHN,POL,136.5674931723682
2016,CYM,POL,136.15340477849998
2016,DNK,FIN,134.21012956142098
2016,PAN,DEU,132.05654193104093
2016,VGB,FRA,131.3866603520527
2016,LUX,DEU,127.27722279937542
2016,SWE,HUN,126.11157753988509
2016,LUX,ROU,125.66991591502276
2016,ESP,BEL,125.51774187468855
2016,CHE,DEU,121.0344530897001
2016,JPN,POL,120.79344277152269
2016,PAN,FRA,120.25271424487929
2016,CZE,ITA,119.03914232425538
2016,CHN,DEU,118.41692968024662
2016,SWE,LVA,118.41131021535683
2016,LUX,SWE,118.15414690988739
2016,CHL,POL,114.71961988786009
2016,FRA,ESP,114.45129650287487
2016,CYM,DEU,113.0918212606529
2016,SWE,PRT,110.76542675504696
2016,LUX,FRA,110.10243939186529
2016,NLD,LTU,109.93254966610498
2016,MLT,DEU,108.53153699383901
2016,GBR,LUX,108.30348463865451
2016,HKG,SWE,107.59500949574954
2016,CHE,FRA,107.22714261160506
2016,CHE,SWE,106.66998992657999
2016,LUX,EST,106.55618792558563
2016,CYM,FRA,103.54262516600105
2016,THA,POL,103.4082452361797
2016,BMU,ITA,103.22835127014754
2016,DNK,CZE,101.37809466479278
2016,HKG,EST,100.40059662880392
2016,CHN,FRA,97.06356119934476
2016,CHE,EST,96.46603251787452
2016,BMU,BEL,96.14177305753749
2016,SWE,HRV,94.74042695563843
2016,MLT,FRA,93.56413435604517
2016,HKG,ROU,92.52721339820927
2016,CHL,PRT,92.46642220049792
2016,IRL,ESP,91.25883471783007
2016,ESP,ROU,90.91315390171567
2016,JEY,POL,90.46424008948954
2016,CHN,BEL,89.99864374239303
2016,MLT,BEL,88.27203744040997
2016,DNK,HUN,87.77699784041849
2016,CHE,ROU,87.26052624822671
2016,IRL,CYP,83.78448469963848
2016,FRA,CYP,83.48507815223536
2016,IRL,BEL,82.5908869410503
2016,VGB,CYP,79.83304891037548
2016,BMU,POL,79.64499272552393
2016,SGP,DEU,79.50380027079535
2016,DNK,PRT,78.96692657195781
2016,HRV,POL,78.89985786609452
2016,SVK,ITA,76.56119561601867
2016,DNK,SVK,76.39121613604132
2016,DNK,SWE,75.72275256782993
2016,PER,ITA,75.13168154258996
2016,PAN,CYP,74.24432271429242
2016,GBR,DEU,73.96498180441638
2016,LUX,FIN,72.20265350199318
2016,SGP,BEL,72.09215261784132
2016,IRL,DEU,69.75567881272579
2016,IRL,ROU,69.70018069032206
