iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group,total_net_misalignment_musd
BEL,Belgium,2016,-21488.609179152743,-21.488609179152743,benefits_from_ut,-216992.40800275406
BEL,Belgium,2017,-55132.39779658167,-55.132397796581664,benefits_from_ut,-216992.40800275406
BEL,Belgium,2018,-46592.914856408126,-46.59291485640813,benefits_from_ut,-216992.40800275406
BEL,Belgium,2019,-75425.43957308304,-75.42543957308304,benefits_from_ut,-216992.40800275406
BEL,Belgium,2020,-4306.851557437224,-4.306851557437224,benefits_from_ut,-216992.40800275406
BEL,Belgium,2021,-10095.746413221212,-10.095746413221212,benefits_from_ut,-216992.40800275406
BEL,Belgium,2022,-3950.4486268700434,-3.9504486268700436,benefits_from_ut,-216992.40800275406
BGR,Bulgaria,2016,93.00701438624523,0.09300701438624523,benefits_from_ut,-168.20203060065444
BGR,Bulgaria,2017,-654.531593522716,-0.654531593522716,benefits_from_ut,-168.20203060065444
BGR,Bulgaria,2018,-263.00041894524304,-0.26300041894524306,benefits_from_ut,-168.20203060065444
BGR,Bulgaria,2019,-247.22089560278317,-0.24722089560278318,benefits_from_ut,-168.20203060065444
BGR,Bulgaria,2020,261.85692546765694,0.26185692546765693,benefits_from_ut,-168.20203060065444
BGR,Bulgaria,2021,113.74448517174824,0.11374448517174823,benefits_from_ut,-168.20203060065444
BGR,Bulgaria,2022,527.9424524444373,0.5279424524444373,benefits_from_ut,-168.20203060065444
CYP,Cyprus,2016,-2837.1300318119957,-2.837130031811996,benefits_from_ut,-16363.25175126913
CYP,Cyprus,2017,-2424.8852297462768,-2.424885229746277,benefits_from_ut,-16363.25175126913
CYP,Cyprus,2018,-2602.686016278531,-2.6026860162785312,benefits_from_ut,-16363.25175126913
CYP,Cyprus,2019,-2550.07156648701,-2.5500715664870097,benefits_from_ut,-16363.25175126913
CYP,Cyprus,2020,-1582.6481522289005,-1.5826481522289004,benefits_from_ut,-16363.25175126913
CYP,Cyprus,2021,-1231.890942844714,-1.2318909428447138,benefits_from_ut,-16363.25175126913
CYP,Cyprus,2022,-3133.939811871702,-3.133939811871702,benefits_from_ut,-16363.25175126913
DEU,Germany,2016,-3791.3497472433905,-3.7913497472433906,benefits_from_ut,-114333.07253492379
